date,shares,amount,buy_flag
2015-05-06,318000.0,6042000.0,1
2015-06-12,3000.0,53460.0,1
2015-07-30,15.0,218.4,1
2015-08-17,7000.0,103105.8,1
2015-08-18,8000.0,116511.2,1
2015-08-19,2000.0,28745.8,1
2015-08-21,7050.0,100209.5,1
2015-08-24,6950.0,95315.775,1
2015-08-27,6687.0,99990.0423,1
2015-11-12,52000.0,718806.0978,1
2015-11-13,21981.0,313598.4141,1
2015-11-16,9000.0,129207.6,1
2015-11-17,5519.0,77481.8902,1
2015-11-18,10200.0,144786.96,1
2015-11-20,2100.0,30186.8,1
2016-03-10,3979.0,53697.0029,1
2016-03-14,11410.0,156437.946,1
2016-05-13,3000.0,48270.0,1
2016-11-10,5400.0,97392.78,1
2016-11-14,5400.0,95168.52,1
2016-11-15,6000.0,107344.2,1
2016-11-16,8000.0,143814.4,1
2016-11-17,3000.0,54632.99999999999,1
2016-11-28,13000.0,246082.2,1
2017-01-12,11319.0,214052.4799,0
2017-01-13,6600.0,124266.78,0
2017-01-17,10303.0,193484.931,0
2017-01-18,3934.0,73452.1964,0
2017-01-19,1700.0,31976.15,0
2017-01-20,1200.0,22612.68,0
2017-01-23,2094.0,38893.7466,0
2017-03-02,9900.0,173242.81,1
2017-03-03,8400.0,147230.16,1
2017-03-06,7000.0,120434.3,0
2017-03-07,851.0,14525.3786,0
2017-03-07,1000.0,17040.0,1
2017-04-03,18000.0,293887.80000000005,0
2017-05-11,12000.0,203554.8,1
2017-05-12,5600.0,94697.12,1
2017-06-09,26400.0,421261.325,1
2018-01-09,45792.0,837982.5005999999,0
2018-01-10,17590.0,321174.31399999995,0
2018-01-11,144.0,2668.7088,0
2018-03-01,6664.0,114824.052,0
2018-03-01,14240.0,245758.192,1
2018-03-05,25000.0,432757.50000000006,0
2018-03-06,15000.0,261493.5,1
2018-04-16,25000.0,438275.0,0
2018-09-12,17400.0,323361.6,0
2018-10-15,1300.0,22784.97,0
2018-10-16,12930.0,227424.477,0
2018-11-09,300.0,5085.0,1
2018-11-12,6887.0,116271.8436,1
2018-11-13,4213.0,70032.69900000001,1
2018-11-16,1175.0,20044.09,1
2018-12-06,15300.0,248409.27,1
2019-01-09,34002.0,555728.6880000001,0
2019-02-04,8000.0,140101.59999999998,0
2019-03-07,26382.0,461859.1212,0
2019-03-08,33618.0,577231.1454,0
2019-03-12,18783.0,325321.56,0
2019-03-13,6217.0,107060.4702,0
2019-04-15,18799.0,328689.2356,0
2019-04-16,7926.0,138182.6766,0
2019-04-17,6557.0,114121.3065,0
2019-04-22,400.0,7400.0,0
2019-05-06,15358.0,284258.1504,0
2019-05-07,45.0,844.65,0
2019-05-08,100.0,1850.0,0
2019-06-10,5350.0,87954.0,1
2019-06-14,2.0,31.7,0
2020-01-08,30000.0,389697.0,0
2020-01-09,4707.0,62365.86719999999,0
2020-02-28,5032.0,43288.786400000005,0
2021-05-06,50000.0,525500.0,0
2021-05-19,50000.0,491000.0,0
2021-08-31,7500.0,74805.75,0
2022-02-25,60000.0,709362.0,0
2022-03-01,40000.0,489712.00000000006,0
2022-08-04,20000.0,297922.0,1
2022-08-05,30000.0,446250.0,1
2022-09-12,25000.0,406812.5,1
2022-09-13,25000.0,404955.0,1
2022-09-14,25000.0,409785.0,1
2022-09-15,24631.0,401586.2871,1
2022-11-03,25000.0,481545.0,1
2022-11-04,5300.0,102866.11,0
2022-11-04,25000.0,487197.5,1
2022-12-06,25000.0,432805.0,1
2022-12-07,23492.0,406068.6168,1
2023-02-24,32500.0,497955.25,1
2023-02-27,30000.0,467262.0,1
2023-03-06,34250.0,542843.4550000001,1
2023-05-04,100000.0,1505570.0,0
2023-05-05,31800.0,494006.64,1
2023-11-02,25000.0,456840.0,1
2023-11-03,25000.0,458592.5,1
2023-11-06,25000.0,455182.5,1
2023-11-07,24577.0,441422.5816,1
2023-11-08,9000.0,153987.3,1
2023-11-16,21703.0,371950.3546,1
2023-11-17,22297.0,390001.2864,1
2023-12-07,29000.0,463614.3000000001,1
2023-12-08,2075.0,33617.49,1
2024-02-26,3250.0,50277.175,1
2024-08-15,34200.0,500004.0,1
2024-08-26,18532.0,274957.4308,0
2024-09-06,100000.0,1411800.0,1
2025-05-21,14500.0,196069.0,1
2025-05-29,36900.0,500338.17,0
2025-08-07,19710.0,241295.733,1
2025-08-08,27500.0,335546.75,1
2025-08-11,25000.0,302505.0,1
2025-08-12,9200.0,113723.04,1
2025-08-19,20000.0,239330.0,1
2025-08-20,21000.0,252619.5,1
2025-09-08,13527.0,160937.4825,1
2025-09-09,1307.0,15769.6085,1
2025-09-10,10536.0,129794.0376,1
2025-09-11,1300.0,16108.95,1
2025-09-12,14000.0,176204.0,1
2026-03-05,30276.0,461584.8684,0
2026-04-06,29386.0,424677.6562,0
