date,shares,amount,buy_flag
2003-07-29,2500.0,0.0,0
2003-08-05,300.0,4725.0,0
2003-08-12,800.0,0.0,0
2003-08-13,1200.0,0.0,0
2003-08-14,300.0,4689.0,0
2003-08-15,500.0,7815.0,0
2003-08-22,1900.0,29260.0,0
2003-08-27,405.0,6313.95,0
2003-08-29,10.232,159.51688,1
2003-09-05,96000.0,1414500.0,0
2003-11-03,2500.0,40150.0,0
2003-11-06,9849.0,160341.72,1
2003-11-10,10000.0,164164.0,0
2003-11-17,5000.0,82750.0,0
2003-11-25,4966.0,83430.81,0
2003-12-11,4.743,80.5655466,1
2003-12-24,315.0,5169.15,0
2003-12-30,3885.0,61965.75,0
2004-02-04,5000.0,78750.0,0
2004-03-05,2500.0,39875.0,1
2004-08-06,10.908,183.794346,1
2004-08-10,1000.0,16650.0,1
2004-09-02,5100.0,84996.0,0
2004-09-03,134.0,2233.78,0
2004-09-07,1866.0,31198.9,0
2004-09-10,900.0,15075.0,0
2004-11-12,10000.0,194058.5,0
2004-11-18,10.282,205.305835,1
2004-11-26,10000.0,205062.0,0
2004-12-01,1300.0,27300.0,0
2004-12-02,8700.0,182700.0,0
2005-02-02,21.19,487.37,0
2005-04-27,4900.0,95550.0,0
2005-04-28,400.0,7790.000000000001,0
2005-04-29,1700.0,33150.0,0
2005-07-29,1100.0,26818.0,0
2005-08-10,122.0,2867.0,0
2005-08-31,878.0,20633.0,0
2005-09-01,530.0,12720.0,0
2005-09-02,273.0,6415.5,0
2005-10-04,500.0,11450.0,0
2005-10-27,4500.0,104625.0,0
2005-11-02,31.0,744.0,0
2005-11-09,103.0,2472.0,0
2005-11-10,2356.0,56560.4,0
2005-11-11,975.0,23400.0,0
2005-11-14,590.0,14160.0,0
2005-11-17,31.0,744.0,0
2005-11-18,4884.0,117216.0,0
2006-02-01,4000.0,0.0,0
2006-03-01,100.0,2555.0,1
2006-03-08,1579.0,40276.75,1
2006-03-08,5000.0,0.0,0
2006-03-09,1621.0,41618.02,1
2006-03-09,5000.0,0.0,0
2006-03-10,586.0,14982.61,1
2006-03-14,2500.0,65250.0,0
2006-03-15,2400.0,62880.0,0
2006-03-16,2200.0,57550.0,0
2006-03-17,4700.0,122895.0,0
2006-03-20,1000.0,26000.0,0
2006-03-21,1300.0,33800.0,0
2006-03-29,4200.0,108383.1,0
2006-03-31,1100.0,28325.0,0
2006-04-03,2300.0,59225.0,0
2006-04-19,4690.0,118422.5,0
2006-04-21,1897.0,47899.25,0
2006-04-26,1175.0,29668.75,0
2006-05-02,2838.0,71659.5,0
2006-05-26,17700.0,460200.0,0
2006-06-01,14589.0,376824.62,0
2006-06-02,5411.0,139495.58000000002,0
2006-06-12,5000.0,130750.0,0
2006-07-27,10000.0,292500.0,0
2006-07-28,7827.0,228939.75,0
2006-07-31,2173.0,63560.25,0
2006-08-28,9610.0,304925.3,0
2006-11-01,2500.0,76587.34,0
2006-12-05,316.0,9954.0,0
2006-12-06,44.0,1386.0,0
2006-12-07,2275.0,71662.5,0
2006-12-08,644.0,20286.0,0
2006-12-13,225.0,7087.5,0
2007-02-08,8496.0,250632.0,0
2007-02-26,30000.0,853500.0,0
2007-05-04,990.0,27770.300000000003,0
2007-05-25,3300.0,92406.27,0
2007-05-29,1200.0,33600.0,0
2007-05-30,1000.0,28000.0,0
2007-05-31,500.0,14005.0,0
2007-06-01,1000.0,28035.2,0
2007-08-24,1708.0,51621.36,0
2007-08-28,10400.0,299080.0,0
2007-09-10,13300.0,381736.0,0
2007-09-11,2700.0,76680.0,0
2007-09-18,700.0,21126.0,0
2007-09-19,17192.0,505643.8,0
2007-09-21,5156.0,155556.52000000002,0
2007-10-05,10000.0,301500.0,0
2007-10-31,700.0,19250.0,0
2007-11-14,100.0,2750.0,0
2007-12-07,13200.0,330000.0,0
2008-02-06,110.0,2530.0,1
