date,shares,amount,buy_flag
2023-01-09,326350.0,979050.0,1
2023-01-09,1730768.0,5192304.0,0
2023-02-07,375000.0,1218750.0,1
2023-04-04,10867.0,64382.6282,0
2023-07-05,6240.0,40573.104,0
2024-07-09,11376.0,86084.4672,0
2024-09-09,32874.0,203848.3866,0
2025-03-13,750000.0,2411775.0,1
2025-03-14,106509.0,372270.2568,1
2025-03-17,258593.0,1006915.45,1
2025-03-31,106000.0,351920.0,1
2025-04-03,7321.0,23745.6635,1
2025-04-04,23741.0,76954.0774,1
2025-04-07,43378.0,136705.767,1
2025-04-08,34907.0,111985.1467,1
2025-04-09,13532.0,43402.5368,1
2025-04-16,1000.0,3291.5,1
2025-04-17,6874.0,22614.7726,1
2025-04-21,8801.0,28781.910300000003,1
2025-04-30,1933.0,6371.168,1
2025-05-06,436037.0,1422265.4866,1
2025-05-07,11677.0,39107.4407,1
