date,shares,amount,buy_flag
2023-11-17,70000.0,150082.0,0
2024-03-20,14512.0,36005.7232,0
2024-03-21,15488.0,40112.3712,0
2024-03-27,62865.0,124900.182,0
2024-03-28,12865.0,25214.1135,0
2024-04-01,50000.0,86325.0,0
2024-04-24,2906976.0,4999998.72,0
2024-04-29,50000.0,87655.0,0
2024-05-06,14250.0,27166.2,0
2024-05-07,55750.0,98957.75,0
2024-05-29,600.0,1207.02,0
2024-05-30,49400.0,99382.92,0
2024-06-03,47399.0,89851.6479,0
2024-06-04,22601.0,43002.9227,0
2024-07-01,34908.0,62380.596,0
2024-07-02,30837.0,51490.3205,0
2024-07-03,10152.0,16881.7608,0
2024-07-05,4103.0,6897.5533000000005,0
2024-08-01,19542.0,32347.8726,0
2024-08-02,50458.0,77862.7624,0
2024-08-05,19422.0,29909.88,1
2024-08-09,97804.0,162354.63999999998,1
2024-08-12,38560.0,65552.0,1
2024-08-19,2500.0,4300.0,0
2024-09-03,20000.0,31218.0,0
2024-09-05,10000.0,15541.0,0
2024-09-06,15000.0,22620.0,0
2024-09-09,11383.0,17246.383299999998,0
2024-09-10,13617.0,20425.5,0
2024-10-01,20100.0,30417.33,0
2024-10-02,14900.0,22370.86,0
2024-11-01,6804.0,10206.0,0
2024-11-05,18196.0,27294.0,0
2024-11-11,125000.0,376487.5,0
2024-12-02,50000.0,92950.0,0
2024-12-05,28322.0,56992.36060000001,0
2024-12-06,1000.0,1790.0,0
2025-01-02,38070.0,60599.415,0
2025-01-03,16930.0,27211.589,0
2025-01-07,7000.0,9030.0,0
2025-02-03,55000.0,83401.5,0
2025-03-03,3109.0,3458.9358999999995,0
2025-04-01,29524.0,42476.1788,0
2025-04-03,20476.0,27210.5564,0
2025-06-02,3188.0,12688.24,0
2025-08-14,22000.0,92670.6,0
2025-09-05,81857.0,285690.3733,0
2025-09-08,68116.0,247458.6164,0
2025-09-09,188000.0,688080.0,0
2025-09-18,69785.0,272161.5,0
2025-09-19,84852.0,318195.0,0
2025-09-22,71293.0,259506.52,0
2025-10-01,454882.0,1769490.98,0
2025-10-02,197954.0,762122.9,0
2025-10-03,196896.0,754041.6799999999,0
2025-10-06,436498.0,1924956.18,0
2025-10-07,878213.0,3064963.37,0
2025-10-08,425813.0,1426473.55,0
2025-11-03,99210.0,255879.7,0
2025-11-04,88559.0,220511.91000000003,0
2025-11-05,168967.0,456210.9,0
2025-12-01,7000.0,9940.0,0
2026-02-02,7000.0,7140.0,0
