date,shares,amount,buy_flag
2002-12-02,99.0,3198.69,1
2003-11-26,111.0,4373.178000000001,1
2004-02-06,1690.0,63053.9,0
2004-09-02,6211.0,262911.63,0
2004-11-04,13750.0,594000.0,0
2004-11-16,19179.0,862117.2,0
2004-11-24,5988.0,270837.24,0
2004-11-30,12832.0,570895.68,0
2005-02-01,9915.0,407903.1,0
2005-02-02,33000.0,1370820.0,0
2005-02-03,33166.0,1382358.88,0
2005-02-15,1049.0,44110.45,0
2005-07-29,13089.0,597512.85,0
2005-08-01,67591.0,3087784.23,0
2005-08-02,18249.0,845293.68,0
2005-08-03,14564.0,678245.48,0
2005-08-05,44736.0,2026093.44,0
2006-05-11,12500.0,497525.0,0
2006-05-12,10000.0,394392.44000000006,0
2006-05-16,2000.0,78952.0,1
2006-06-05,500.0,20135.0,1
2006-06-05,4537.0,182432.77,0
2006-06-08,998.0,39999.84,1
2006-07-25,14541.0,634714.65,0
2006-07-26,3379.0,147425.77000000002,0
2006-07-27,73818.0,3219410.1300000004,0
2006-07-28,7674.0,331799.25,0
2006-08-01,4309.0,187527.68,0
2006-08-22,14960.0,680829.6,0
2006-10-31,17865.0,853411.05,0
2006-12-05,5323.0,266522.61,0
2007-05-04,17112.0,834222.32,0
2007-11-13,16111.0,672312.0299999999,0
2007-11-16,13636.0,581439.04,0
2008-08-07,10000.0,335100.0,1
2009-03-02,1566.0,40340.16,0
2009-08-24,2293.0,75783.65,0
2009-09-14,22192.0,723681.12,0
2009-12-14,79201.0,2987461.72,0
2012-03-06,179.0,8303.81,0
2012-08-13,1500.0,79605.0,0
2012-09-04,1549.0,80857.8,0
2012-11-23,2000.0,98320.0,0
2012-12-05,6000.0,310440.0,0
2013-02-27,1838.0,101531.12,0
2013-03-07,1500.0,85635.0,0
2013-03-12,2137.0,121573.93,0
2013-05-07,800.0,48992.0,0
2013-05-16,4000.0,240000.0,0
2013-05-20,2000.0,120360.0,0
2013-12-31,10500.0,555390.0,0
2014-11-07,2444.0,151943.48,0
2014-11-12,2000.0,123700.0,0
2014-11-20,3000.0,186810.0,0
2014-11-21,2332.0,145586.76,0
2014-12-02,6450.0,417121.5,0
2014-12-04,5000.0,327200.0,0
2014-12-10,2554.0,166980.52,0
2015-03-10,4195.0,261713.1,0
2015-06-09,5000.0,284100.0,0
2015-11-18,4339.0,267716.3,0
2015-12-07,6423.0,403492.86,0
2015-12-14,5000.0,306250.0,0
2016-02-29,3000.0,205020.0,0
2016-03-02,1805.0,123281.5,0
2016-03-09,4275.0,302336.25,0
2016-05-06,2000.0,145740.0,0
2016-05-11,6500.0,478985.0,0
2016-05-13,5500.0,406945.0,0
2016-06-08,4300.0,325725.0,0
2016-09-12,4523.0,340446.21,0
2016-12-05,5000.0,367050.0,0
2016-12-12,36066.0,2768921.7300000004,0
2016-12-13,25265.0,1962414.6,0
2017-02-19,1841.0,156024.75,0
2017-03-03,66603.0,5514806.19,0
2017-03-06,5500.0,458095.00000000006,0
2017-03-07,14902.0,1231054.22,0
2017-05-04,10000.0,843499.0,0
2017-05-05,54399.0,4607436.75,0
2017-05-09,5570.0,469328.2,0
2017-05-11,1776.0,148917.59999999998,0
2017-05-15,5000.0,423600.0,0
2017-05-16,1900.0,159600.0,0
2017-05-26,2800.0,244468.0,0
2017-08-23,35013.0,3136114.41,0
2017-08-24,4600.0,413908.0,0
2017-08-25,1806.0,163045.68,0
2017-11-09,20165.0,1805232.06,0
2017-12-14,4500.0,400815.0,0
2018-01-19,24216.0,1918149.36,0
2018-02-27,17000.0,1357410.0,0
2018-03-01,39083.0,3018266.44,0
2018-03-07,2666.0,200909.76,0
2018-03-13,2145.0,163320.3,0
2018-03-14,2126.0,162107.5,0
2018-05-29,9534.0,753376.6799999999,0
2018-09-09,2468.0,190011.32,0
2018-11-14,15876.0,1406473.08,0
2018-11-27,3320.0,294749.6,0
2018-12-13,7258.0,664581.6,0
2019-02-26,1000.0,93500.0,0
2019-02-27,33279.0,3090053.49,0
2019-02-28,3000.0,278670.0,0
2019-03-08,1395.0,128981.7,0
2019-03-11,3374.0,315266.56,0
2019-03-14,2358.0,225589.86,0
2019-05-03,3014.0,283677.68,0
2019-05-13,5000.0,479500.0,0
2019-11-13,1750.0,150832.5,0
2020-02-25,21628.0,2150510.94,0
2020-02-26,2500.0,245450.00000000003,0
2020-03-05,4742.0,468462.18000000005,0
2021-10-12,247.0,16692.26,0
2021-11-09,3327.0,212129.52,0
2022-05-17,3489.0,259058.25,0
2022-12-06,689.0,53659.32,0
2023-08-24,1491.0,119174.21,0
2023-12-08,1610.0,122279.5,0
2024-08-05,500.0,43270.0,1
2024-08-08,2700.0,230256.0,0
2024-08-09,4950.0,424710.0,0
2024-11-13,9474.0,860239.2,0
2025-03-03,2272.0,212231.92,0
2025-05-06,1503.0,141182.25,0
2025-08-11,6496.0,600035.52,0
