date,shares,amount,buy_flag
2004-06-03,10000.0,17523.0,1
2004-07-30,50000.0,55715.0,0
2004-11-30,50000.0,45170.16,1
2006-04-13,2200000.0,550000.0,1
2007-02-01,9000000.0,2250000.0,1
2009-01-23,5000.0,2000.0,1
2010-12-31,47398.0,473.98,0
2011-12-28,23696.0,29759.8064,0
2011-12-30,2.0,3.0,0
2012-09-28,700003.0,630002.7000000001,1
2012-12-18,11900.0,10827.81,0
2015-06-29,4477.0,3374.7626,1
2015-10-22,139551.0,93499.17,1
2015-10-26,53214.0,30452.4592,0
2015-10-27,80000.0,44000.0,0
2015-11-03,2500.0,1250.0,0
2015-11-05,54500.0,27250.0,0
2015-11-06,5000.0,2500.0,0
2015-11-24,1073999.0,4299217.997,0
2015-11-30,5206.0,3240.2144,1
2015-12-01,43794.0,30125.8926,1
2015-12-30,18500.0,11342.35,1
2015-12-31,11000.0,7330.4,1
2016-01-04,1000.0,600.0,0
2016-01-05,10000.0,5000.0,1
2016-01-06,8000.0,5280.0,0
2016-01-06,17520.0,11563.2,1
2016-01-26,60000.0,30000.0,0
2016-11-22,125000.0,75000.0,1
2016-11-29,156667.0,94000.2,1
2016-12-22,25980.0,15567.216,1
2020-01-24,22218.0,44436.0,0
2021-10-04,12500.0,20000.0,1
2022-10-31,79300.0,151463.0,1
2022-11-30,332.0,1992.0,1
2024-08-15,7768.0,142382990.1,1
2024-11-20,14400.0,72000.0,0
2026-03-30,63887.0,229993.2,1
