date,shares,amount,buy_flag
2024-06-03,48839.0,93640.54,1
2024-06-05,22000.0,42900.0,1
2024-06-06,20000.0,38800.0,1
2024-06-07,18000.0,33500.0,1
2024-06-20,7700.0,12705.0,1
2024-06-21,2000.0,3259.0999999999995,1
2024-07-16,28000.0,43680.0,1
2024-09-09,10000.0,16000.0,1
2024-09-10,11000.0,17820.0,1
2024-09-11,17800.0,30438.0,1
2024-09-19,9055.0,16380.495,1
2024-09-20,31000.0,58621.0,1
2024-09-23,5000.0,9350.0,1
2024-09-24,10000.0,16500.0,1
2024-11-13,21000.0,34440.0,1
2024-11-14,5367.0,9606.93,1
2024-11-18,5000.0,9150.0,1
2024-11-19,5000.0,8650.0,1
2024-11-20,11000.0,19060.0,1
2024-11-22,5000.0,9600.0,1
2024-11-25,1.0,1.88,1
2024-11-26,3500.0,7104.999999999999,1
2025-02-20,5500.0,11550.0,1
2025-02-24,4700.0,9400.0,1
2025-02-26,7700.0,13860.0,1
2025-03-05,8700.0,16269.000000000002,1
2025-03-10,5200.0,8944.0,1
2025-03-18,7000.0,12040.0,1
2025-03-27,3200.0,4832.0,1
2025-03-28,4500.0,6570.0,1
2025-03-31,5200.0,7852.0,1
2025-08-21,5700.0,8493.0,1
2025-08-22,11100.0,16539.0,1
2025-09-04,10000.0,15800.0,1
2025-11-14,10700.0,23112.0,1
2025-11-19,11000.0,24200.000000000004,1
2025-11-26,7373.0,18211.31,1
2025-12-05,5700.0,12312.0,1
2025-12-16,6100.0,12688.0,1
2026-03-12,6300.0,13986.000000000002,1
2026-03-23,2980.0,7003.0,1
2026-04-17,14700.0,31614.95,1
