date,shares,amount,buy_flag
2021-05-21,1000.0,25000.0,1
2021-09-02,10000.0,72800.0,0
2021-09-15,10000.0,63300.0,0
2022-08-19,25000.0,109250.0,0
2022-09-01,5000.0,18150.0,0
2022-11-23,10000.0,21150.000000000004,0
2022-12-02,10000.0,22200.000000000004,0
2023-02-16,10500.0,19845.0,0
2023-02-22,50000.0,102000.0,1
2023-03-23,55000.0,88024.995,1
2023-08-18,5000.0,9850.0,1
2023-08-24,3000.0,73410.0,1
2023-08-25,1000.0,24550.0,1
2023-11-13,9500.0,20287.57,1
2024-02-15,181230.0,453075.0,0
2024-02-16,11343.0,28357.5,0
2024-02-28,8000.0,18640.0,1
2024-02-29,5699.0,13677.6,0
2024-03-01,30590.0,73416.0,0
2024-03-04,221138.0,537365.3400000001,0
