date,shares,amount,buy_flag
2000-01-12,200.0,1198.0,1
2003-10-08,33.1756,431.7496880000001,1
2004-03-23,636.271,12907.56005122,1
2004-04-30,385.6521,8227.22689349,1
2004-11-17,515.6374000000001,14773.0427476,1
2004-12-13,10000000.0,295000000.0,0
2005-08-09,15443054.0,0.0,0
2006-01-26,200.0,4900.0,1
2006-02-07,20000.0,480000.0,1
2007-01-09,3865506.0,81175626.0,1
2007-02-12,100050.0,3102880.0,0
2007-02-13,1307.0,40973.0123,1
2007-11-19,12571.0,300001.8866,1
2008-06-24,300.0,4170.0,1
2010-02-23,50000.0,452507.00000000006,0
2010-02-24,100000.0,906672.2,0
2010-02-25,124637.0,1132948.33,0
2010-02-26,30700.0,277850.0,0
2010-11-05,21000000.0,125160000.0,0
2010-11-05,35000000.0,208600000.0,1
2010-11-17,61123.0,397953.5161,0
2010-11-18,118458.0,771884.1738,0
2010-11-23,54144.0,354507.84,0
2010-12-10,27824.0,223148.48,0
2011-02-07,80382.0,649285.6050000001,0
2011-02-08,71615.0,581227.34,0
2011-02-09,59180.0,483583.452,0
2011-02-11,62206.0,528974.9416,0
2011-02-16,26617.0,215107.9472,0
2011-02-17,200000.0,1680720.0000000002,0
2011-02-22,83240.0,673686.2919999999,0
2011-02-23,52092.0,406010.2572,0
2011-05-04,4000.0,22200.0,0
2011-05-06,200000.0,1122400.0,0
2011-05-11,4802.0,26651.1,0
2011-05-13,20633.0,115798.5859,0
2011-05-17,10000.0,58500.0,0
2011-05-19,60000.0,340020.0,0
2011-05-20,41364.0,237541.0428,0
2011-11-19,20419.0,132112.9719,0
2012-03-12,18924438.0,107680052.22,0
2012-03-12,75697752.0,430720208.88000005,1
2012-11-02,2000.0,11273.6,1
2012-11-16,455269.0,2731614.0,0
2012-11-16,1821076.0,10926456.0,1
2012-12-07,255366.0,1818205.92,0
2013-05-14,30000.0,342447.0,0
2013-08-06,10432.0,192530.9056,0
2014-08-06,30000.0,870465.0,0
2014-11-04,24250.0,734719.225,0
2015-02-20,121347.0,3344970.0372,0
2015-02-23,25400.0,699655.7000000001,0
2017-02-17,80710.0,1666180.439,0
2018-02-27,100000.0,2535600.0,0
2018-08-09,2500.0,43405.29,1
2019-02-20,86425.0,1754427.5,0
2019-08-06,125932.0,3560786.5624,0
2020-02-26,3988.0,88977.86319999999,0
2021-04-06,2951.0,71293.209,0
2022-05-05,171000.0,4854484.8,0
2022-06-06,77741.0,2675868.5423,0
2022-08-22,33471.0,1006134.9129,0
2023-02-16,15039.0,366350.04,0
2024-03-14,40000.0,1332936.0,0
2024-08-06,71500.0,3173859.0,0
2025-02-18,5483.0,286828.8892,0
2025-06-09,70000.0,3208121.0,0
2026-02-18,6963.0,303015.83400000003,0
