date,shares,amount,buy_flag
2004-01-29,93605.0,4260950.5367,0
2004-01-30,18218.0,833766.6,0
2004-02-02,14409.0,659691.66,0
2004-02-04,8339.846,380096.193146,0
2004-03-01,21141.0,978961.4883,0
2004-06-03,350.0,14977.2,0
2004-07-29,23871.0,1100386.2612,0
2004-07-30,10900.0,502054.0,0
2004-08-05,1000.0,46606.0,0
2004-08-10,42420.0,1987153.0,0
2004-08-18,1000.0,47230.0,0
2004-09-03,9426.0,457632.42,0
2005-02-03,67603.0,3694626.482,0
2005-02-04,2852.0,156860.0,0
2005-02-07,38523.0,2143066.86,0
2005-02-15,50000.0,2761824.0,0
2005-02-16,84000.0,4618447.0,0
2005-03-01,65654.3578,3575991.174412,0
2005-03-02,90000.1897,4894239.346238,0
2005-03-03,4975.0,267887.83,0
2005-03-04,11150.0,606498.0,0
2005-03-07,16.0,881.28,0
2005-05-06,4450.0,245099.0,0
2005-05-09,21697.0,1215032.0,0
2005-05-11,11200.0,633616.0,0
2005-06-07,32100.0,1879224.0,0
2005-06-08,145.0,8350.550000000001,0
2005-08-16,1000.0,62103.70000000001,0
2005-09-08,64600.0,2087189.0,0
2005-10-03,9.094,300.0137882,1
2006-03-07,39097.0,1193941.9,0
2006-03-08,9900.0,303472.1,0
2006-03-09,9400.0,287072.0,0
2006-03-10,21233.0,648982.06,0
2006-03-14,5237.0,162347.0,0
2006-03-21,15572.0,473789.52,0
2006-03-30,800.0,23749.2,0
2006-05-19,2393.0,71612.67869999999,0
2006-05-22,19456.0,583680.0,0
2006-06-12,10032.0,317534.44,0
2006-06-28,1115.0,35089.05,0
2006-08-08,10810.0,374674.6,0
2006-08-10,1000.0,34584.3,0
2006-08-15,320043.0,11169500.7,0
2006-08-21,47119.0,1649165.0,0
2006-08-23,10000.0,343706.00000000006,0
2006-08-24,122675.0,4235212.5225,0
2006-08-25,1325.0,45805.25,0
2006-08-31,8259.0,286587.30000000005,0
2006-11-13,1000.0,34075.4,0
2006-12-05,3600.0,131436.0,0
2007-03-09,3000.0,112261.8,0
2007-03-14,6692.0,250727.1564,0
2007-03-20,5700.0,221141.76,0
2007-03-27,11312.0,466107.52,0
2007-05-11,32910.0,1497669.9,0
2007-05-21,18885.0,864479.1,0
2007-06-20,7217.0,334221.65,0
2007-06-21,73800.0,3410182.0,0
2007-08-03,17758.0,891141.76,0
2007-08-06,30172.0,1501258.48,0
2007-08-08,10390.0,535684.1,0
2007-08-27,35829.0,1721810.91,0
2007-09-18,1444.0,70756.0,0
2007-09-19,7000.0,346570.0,0
2007-11-28,850.0,42652.065,0
2007-12-04,63086.0,3280494.0,0
2008-01-02,10000.0,508223.54,0
2008-01-28,19750.0,926883.15,0
2008-02-20,108735.0,5203189.92,0
2008-03-24,31195.0,1431470.82,0
2008-04-04,16358.0,785184.0,0
2008-05-20,8400.0,420000.0,0
2008-05-21,3900.0,198900.0,0
2008-05-30,11914.0,607614.0,0
2008-06-23,15404.0,801326.5,0
2008-09-04,72200.0,2983578.0,0
2008-10-06,35652.0,1258567.0599999998,0
2008-12-16,5000.0,148923.0,1
2009-01-22,70940.0,2246949.27,0
