date,shares,amount,buy_flag
2022-03-03,7000.0,26600.0,1
2022-03-14,2806.0,11348.7,1
2022-03-15,694.0,2664.96,1
2022-04-01,2000.0,8179.6,1
2022-05-16,10000.0,30800.0,1
2022-07-11,15500.0,43339.7,1
2022-08-15,504.0,1350.72,1
2022-08-16,846.0,2267.28,1
2022-09-20,4000.0,9800.0,1
2022-11-16,3818.0,9086.84,0
2022-12-21,990.0,2781.9,1
2023-03-21,15971.0,52704.3,0
2023-04-03,3980.0,18507.0,0
2023-06-08,14.0,64.68,0
2023-08-23,3650.0,12516.5,1
2023-09-01,3000.0,10020.0,1
2023-09-05,10000.0,31700.0,1
2024-01-18,10000.0,29500.0,1
2024-03-28,23413.0,97163.95,0
2024-04-11,21500.0,133730.0,0
2024-04-12,46500.0,278535.0,0
2024-09-30,21500.0,201025.0,0
2024-10-18,40000.0,402800.0,0
2025-02-20,32346.0,298877.04000000004,0
2025-02-21,16160.0,135876.0,1
2025-02-24,9450.0,75505.5,1
2025-02-26,5780.0,49476.8,1
2025-03-05,70880.0,625161.6000000001,0
2025-03-28,20000.0,220000.0,0
2025-04-24,6500.0,90025.0,0
2025-06-16,7575757.0,99999992.4,1
2025-09-02,10000.0,183100.0,0
2025-10-06,14911.0,353688.92,0
2025-12-23,6490.0,178799.5,0
2025-12-24,5000.0,131550.0,0
2026-01-05,66328.0,1756256.92,0
2026-01-06,10900.0,290981.0,0
2026-01-07,3000.0,87270.0,0
2026-02-12,43722.0,1205601.96,0
2026-04-02,12778.0,376421.31,0
