date,shares,amount,buy_flag
2003-03-04,724.0,16000.4,1
2004-03-01,4794.0,169113.24000000002,1
2004-06-28,18918.0,638482.5,0
2004-07-16,9704.0,319843.84,0
2004-08-12,2250.0,72562.5,1
2004-11-11,6577.0,257818.4,0
2004-11-30,10800.0,421848.0,0
2004-12-01,39200.0,1533504.0,0
2005-03-01,3150.0,131733.00000000003,1
2005-03-02,300.0,12522.0,1
2005-03-07,538.0,22526.06,0
2005-04-07,3562.0,138739.90000000002,0
2005-06-13,5000.0,202950.00000000003,0
2005-06-14,45302.0,1835184.02,0
2005-12-12,50000.0,2568500.0,0
2005-12-13,20.0,1026.8000000000002,1
2005-12-13,10000.0,514700.0,0
2005-12-14,75156.0,3881521.52,0
2006-01-06,6282.0,317806.38,0
2006-01-25,250.0,12667.5,1
2006-03-01,2556.0,133397.64,1
2006-03-02,22457.0,1180115.35,0
2006-03-03,103.0,5384.84,0
2006-03-21,3148.0,164577.44,0
2006-04-28,2500.0,125950.0,0
2006-05-24,4000.0,186440.0,0
2006-08-08,9000.0,452160.0,0
2006-08-11,7274.0,359917.52,0
2006-09-12,20000.0,1011400.0,0
2006-09-13,9000.0,459270.0,0
2006-11-08,2465.0,125468.5,0
2006-11-16,973.0,50450.05,0
2006-12-18,1362.0,68644.8,0
2007-03-01,2301.0,117765.18,1
2007-03-27,56.0,2931.04,0
2007-04-04,12424.0,649294.6000000001,0
2007-04-09,8056.0,423576.88,0
2007-04-12,11365.0,597417.3,0
2007-05-14,10000.0,564800.0,0
2007-05-22,5700.0,325584.0,0
2007-05-23,4300.0,246132.0,0
2007-07-09,6737.0,377272.0,0
2007-08-10,5743.0,298379.0,0
2007-08-13,391.0,20719.09,0
2007-08-17,300.0,16902.0,0
2007-11-12,18578.0,1031728.89,0
2007-11-14,20000.0,1128817.91,0
2007-11-21,4900.0,269510.0,0
2007-11-23,9900.0,545540.0,0
2007-11-26,5200.0,286532.0,0
2007-11-28,20000.0,1109157.62,0
2007-12-03,10797.0,598276.8,0
2007-12-06,5800.0,321505.0,0
2007-12-10,1000.0,56500.0,0
2007-12-21,9000.0,508587.0,0
2007-12-24,10000.0,572630.0,0
2008-01-24,10456.0,606995.02,0
2008-02-29,6386.0,342231.0,0
2008-03-03,2808.0,149469.83999999997,1
2008-03-04,300.0,15968.999999999998,1
2008-03-19,1000.0,53000.0,0
2008-03-20,1000.0,53500.0,0
2008-03-24,87.0,4679.7608,0
2008-05-29,10804.0,540254.02,0
2008-06-27,24066.0,1195208.67,0
2008-07-08,32857.0,1578049.61,0
2008-07-09,44304.0,2165463.25,0
2008-08-11,5295.0,291262.065,0
2008-08-12,6705.0,368976.15,0
2008-08-13,100.0,5500.0,0
2008-08-14,52900.0,2911616.0,0
2008-08-15,35000.0,1945300.0,0
2008-08-18,1329.0,72430.5,0
2008-08-20,29909.0,1607608.75,0
2008-08-21,6129.0,327227.31,0
2008-09-08,8494.0,475664.0,0
2008-09-09,16506.0,924831.18,0
2009-03-02,2940.0,139650.0,1
2009-03-06,34.0,1434.46,0
2009-08-05,11452.0,599970.28,0
2010-01-04,4000.0,216960.0,0
2010-03-01,2961.0,159745.95,1
2010-05-28,11302.0,667383.1,0
2010-09-03,9812.0,539856.24,0
2010-12-02,1250.0,75037.5,0
2010-12-17,2993.0,184967.4,0
2011-03-03,2261.0,142103.85,0
2011-05-11,2000.0,135200.0,0
2011-05-13,1000.0,68980.0,0
2011-05-23,100.0,6843.000000000001,1
2011-06-24,400.0,27900.0,0
2011-06-27,12187.0,852675.55,0
2011-12-20,2379.0,190320.0,0
2011-12-22,100.0,8000.0,0
2011-12-27,2038.0,163040.0,0
2012-09-11,500.0,44620.0,1
2012-09-24,3000.0,270000.0,0
2013-05-29,1000.0,49870.0,1
2014-08-07,2000.0,87300.0,1
2014-08-25,5000.0,229200.00000000003,1
2015-09-08,3065.0,149418.75,1
2017-06-23,320.0,19200.0,0
2017-06-26,2835.0,170440.19999999998,0
2017-06-27,100.0,6000.0,0
2017-06-28,13745.0,830335.45,0
2017-07-03,4402.0,271207.22,0
2017-07-05,427.0,26260.5,0
2017-07-07,6171.0,379948.47,0
2017-08-09,2000.0,110000.0,1
2017-08-11,2500.0,136875.0,1
2017-08-18,2500.0,136250.0,1
2018-01-10,2442.0,134310.0,0
2018-01-11,21227.0,1167485.0,0
2018-01-12,25896.0,1424538.96,0
2018-01-16,10736.0,590480.0,0
2018-01-17,89699.0,4949321.723,0
2018-05-07,2000.0,81500.0,1
2018-05-08,3000.0,122250.0,1
2018-06-13,2000.0,78400.0,1
2019-06-25,933.0,33765.27,0
2020-05-13,339.0,4905.33,1
