date,shares,amount,buy_flag
2021-09-17,1701800.0,46545000.0,1
2022-03-11,940.0,22960.628,1
2022-03-18,1249000.0,37345100.0,0
2022-05-16,678.0,23770.68,0
2022-06-21,20000.0,719653.3295,0
2022-12-16,20000.0,839348.0,0
2022-12-19,20000.0,864594.2138,0
2022-12-27,3064.0,125308.0144,0
2023-01-03,21463.0,869688.8892999999,0
2023-01-04,466.0,18521.0302,0
2023-03-03,15000.0,542158.6457999999,0
2023-03-07,7954.0,272462.5484,0
2023-03-08,22046.0,757546.8565999999,0
2023-03-16,6591.0,209857.44,0
2023-04-11,21930.0,772514.9519999999,0
2023-06-15,22631.0,794911.6118999999,0
2023-07-27,7903.0,316129.4836,0
2023-11-13,25000.0,804810.0,0
2023-12-06,89456.0,3479420.7658,0
2023-12-07,3837.0,153480.0,0
2023-12-08,6888.0,275639.85120000003,0
2023-12-13,71465.0,2862216.129,0
2023-12-14,3204.0,137617.5672,0
2023-12-15,11796.0,506843.4504,0
2024-01-09,33310.0,1499721.719,0
2024-02-07,6210.0,310253.271,0
2024-02-09,43371.0,2170692.8592,0
2024-02-12,22349.0,1121061.5984,0
2024-03-04,20000.0,970642.6972,0
2024-03-06,17122.0,799083.7399999999,0
2024-03-18,7100.0,346693.0,0
2024-05-01,20000.0,1200000.0,0
2024-05-03,30432.0,1916427.55,0
2024-06-10,26046.0,1777498.8516000002,0
2024-06-17,10000.0,621763.9256,0
2024-09-03,35220.0,2680810.6925000004,0
2024-09-04,53632.0,4044997.5958,0
2024-09-05,13305.0,1016084.8095,0
2024-09-10,36500.0,2780570.001,0
2024-09-11,38698.0,3000647.6128,0
2024-09-12,44867.0,3594377.2339000003,0
2024-09-16,25000.0,2062679.21,0
2024-10-15,25000.0,1811653.29,0
2024-10-30,288461.0,26249951.0,0
2024-11-05,33000.0,3187835.0694000004,0
2024-11-06,33000.0,3202444.3036,0
2024-11-07,34000.0,3243158.3876,0
2024-11-13,26420.0,2485572.707,0
2024-11-20,26420.0,2445723.6632000003,0
2024-11-27,26420.0,2584637.9078,0
2024-12-04,54515.0,5297418.361199999,0
2025-03-06,26807.0,1643537.1700000002,0
2025-03-18,6771.0,386353.26,0
2025-06-03,25000.0,1516474.9745999998,0
2025-06-04,25000.0,1525555.8,0
2025-06-05,25000.0,1619830.2198,0
2025-06-06,20000.0,1282637.4472000003,0
2025-06-10,25000.0,1597710.9652,0
2025-06-11,25000.0,1584525.461,0
2025-06-12,25000.0,1537255.9206,0
2025-08-13,20000.0,785138.0,1
2026-03-05,167246.0,4278548.7322,1
2026-03-06,13613.0,322653.9647,0
2026-03-06,160317.0,3781503.4725,1
2026-03-09,98699.0,2422890.7532,1
2026-03-10,3243.0,83197.2581,0
2026-03-17,1010.0,28434.732,0
2026-03-19,5363.0,139230.7703,0
