date,shares,amount,buy_flag
2014-01-16,5000.0,787961.72,0
2014-02-03,3182253.0,79429034.88000001,0
2014-02-14,22270.0,3338599.9682,0
2014-02-20,134.0,21399.8402,0
2014-03-11,200.0,33009.92,0
2014-03-24,10000.0,1577162.4085,0
2014-03-31,2555.0,394236.5,0
2014-05-15,1000.0,131250.08000000002,0
2014-06-13,141.0,19939.938,0
2014-08-25,2533.0,375998.52,0
2014-08-26,15032.0,2234474.356,0
2014-08-27,4519.0,672345.735,0
2014-08-29,1250.0,186624.5,0
2014-09-02,5256.0,786633.16,0
2014-09-03,2116.0,317495.0,0
2014-10-01,3515.0,529780.8,0
2014-11-03,3515.0,564506.75,0
2014-11-10,5626.0,879356.8330000001,0
2014-11-14,200.0,30883.16,0
2015-02-20,517.0,78160.52530000001,0
2015-03-12,140.0,23277.744,0
2015-03-13,2000.0,331000.0,0
2015-04-13,1300.0,257972.0,0
2015-04-14,8800.0,1762376.0,0
2015-04-29,1700.0,323459.0,0
2015-08-24,4468.0,793870.0,0
2015-08-25,3452.0,626089.24,0
2015-11-18,550.0,85601.99999999999,0
2015-11-19,2726.0,420721.862,0
2015-11-30,350.0,52860.5,0
2015-12-28,10183.0,1497579.17,0
2016-01-06,27737.0,3950075.3598,0
2016-02-17,125000.0,1000000.0,1
2016-02-24,2776.0,343474.48,0
2016-03-02,1490.0,186667.2,0
2016-03-18,761.0,97628.69,0
2016-04-13,2776.0,350386.72,0
2016-08-26,2095.0,184946.6,0
2016-09-08,1073.0,97594.715,0
2016-09-09,5814.0,522973.8,0
2016-09-26,3206.0,310212.56000000006,0
2016-10-24,2092.0,189158.64,0
2016-11-21,750.0,66511.5,0
2016-11-21,2500.0,221875.0,1
2016-11-25,2097.0,187555.68,0
2017-08-18,865.0,67812.175,0
2017-08-30,616.0,47370.4,0
2017-08-31,1500.0,118545.0,0
2017-09-07,519.73,42493.650029,0
2017-09-12,3856.0,344860.88499999995,0
2017-11-16,213.0,18585.315,0
2017-11-28,220.0,19109.2,0
2017-11-29,168.0,14725.224,0
2017-12-07,450.0,37390.05,0
2017-12-14,700.0,60060.0,1
2017-12-28,1500.0,132780.0,0
2018-03-05,7500.0,613862.5900000001,1
2018-05-15,250000.0,18802013.38,1
2018-05-16,100000.0,7582610.0,1
2018-05-17,50000.0,3794645.0,1
2018-08-14,7200.0,499896.00000000006,1
2018-11-09,22783.0,1450880.4902,1
2018-11-12,3000.0,196058.1,1
2018-11-13,3500.0,228901.75,1
2019-08-09,4000.0,187892.8,1
2019-08-22,826.0,39673.606,0
2019-11-08,2424.0,120967.296,0
2019-11-11,2050.0,100614.0,0
2019-12-20,2300.0,126293.0,0
2020-03-13,2000.0,85000.0,1
2020-05-07,4595.0,238925.49,0
2020-08-11,2828.0,149910.3004,1
2020-11-09,6637.0,311010.0116,1
2021-01-06,7513.0,326665.24,1
2021-03-10,2662.0,109766.239,0
2021-03-17,2500.0,103217.75,1
2021-12-02,2800.0,99874.04,1
2021-12-03,27500.0,990929.5,1
2021-12-06,3655.0,135599.4,1
2021-12-16,18000.0,663678.8,1
2021-12-17,3000.0,112648.2,1
2022-03-07,3954.0,145232.397,0
2022-03-14,26744.0,993181.8759,0
2022-12-16,2368.0,74947.2,0
2023-03-06,5000.0,190270.0,1
2023-03-08,4500.0,166133.25,0
2023-03-10,9000.0,321309.0,0
2023-03-13,3723.0,132434.633,0
2023-05-11,197646.0,7066358.379600001,0
2023-05-23,2900.0,96902.34,1
2023-06-13,10000.0,330637.0,1
2023-11-14,16000.0,464749.5,1
2023-11-16,2040.0,59853.6,1
2023-11-24,5550.0,172105.5,1
2024-02-29,17045.0,448237.8,1
2024-03-01,371.0,9757.3,1
2024-03-05,2490.0,67877.40000000001,1
2024-05-28,1000.0,27900.0,1
2024-08-20,34983.0,968560.275,0
2024-08-26,13000.0,382245.5,0
2024-09-13,8954.0,244444.2,0
2024-12-09,17598.0,497495.46,0
2025-03-10,7800.0,214032.0,0
2025-05-12,3500.0,94850.0,1
2025-08-08,4460.0,99766.352,1
2025-08-18,7375.0,168704.05,1
2025-08-22,1488.0,35857.824,1
2025-09-05,1000.0,23200.0,1
2025-09-08,1255.0,28124.55,1
2025-11-12,7500.0,106350.0,1
