date,shares,amount,buy_flag
2012-06-13,250.0,11952.5,0
2013-05-06,5892.0,386463.84,0
2013-05-08,18344.0,1208319.28,0
2013-05-13,6289.0,407778.76,0
2013-05-15,7830.0,529777.7999999999,0
2013-05-30,8736.0,614140.7999999999,0
2013-06-10,1100.0,79871.0,0
2013-07-10,10888.0,845235.44,0
2013-08-13,36809.0,2966077.31,0
2013-09-04,5000.0,392500.0,0
2013-09-09,22073.0,1720590.35,0
2013-09-13,78.0,6214.26,0
2013-09-18,9001.0,734481.6,0
2013-10-30,65.0,5311.8,1
2013-11-11,33470.0,2887718.5,0
2013-11-13,6000.0,522300.0,0
2013-11-18,280902.0,25084548.6,0
2013-11-25,17565.0,1575404.85,0
2014-01-22,16.0,1443.68,0
2014-02-11,138749.0,11540430.989999998,0
2014-02-21,9624.0,808993.4400000001,0
2014-03-06,2200.0,191290.0,0
2014-03-07,68047.0,5988136.0,0
2014-03-10,22533.0,1990790.55,0
2014-03-12,21926.0,1893529.36,0
2014-05-08,1.0,83.72,0
2014-06-06,2376.0,211749.12,0
2014-08-18,18866.0,1682658.54,0
2014-08-19,408076.0,36490155.92,0
2014-08-21,21.0,1897.14,0
2014-12-12,26094.0,2289396.3,0
2014-12-23,3129.0,287868.0,0
2015-02-13,64792.0,5183360.0,0
2015-02-24,8606.0,699839.9199999999,0
2015-03-03,3785.0,307455.55,0
2015-05-07,30000.0,2550000.0,0
2015-05-12,3681.0,318075.21,0
2015-06-05,996.0,88026.48,0
2015-06-10,26465.0,2381850.0,0
2015-08-10,1561.0,142347.59,0
2015-08-17,10690.0,950661.7,0
2015-10-15,25.0,1945.5,0
2015-11-03,92574.0,7868790.0,0
2015-12-01,82640.0,7186208.290000001,0
2016-02-16,7400.0,462944.0,1
2016-07-25,14.0,1055.46,0
2016-08-01,10.0,752.3000000000001,0
2016-08-08,38290.0,2949865.8,0
2016-09-09,94300.0,7544130.39,0
2016-10-05,66634.0,5663890.0,0
2016-10-10,85490.0,7266157.13,0
2016-10-14,9379.0,797730.96,0
2016-11-07,132193.0,11651171.54,0
2016-11-09,454131.0,40920597.0,0
2016-11-10,286915.0,27108327.0,0
2016-11-14,22368.0,2236800.0,0
2017-02-16,82147.0,9202094.04,0
2017-02-17,6087.0,674135.25,0
2017-02-21,450.0,49999.5,1
2017-02-23,500.0,55365.0,1
2017-02-27,14316.0,1583028.8,0
2017-03-02,33743.0,3808711.22,0
2017-03-03,200.0,22562.0,1
2017-05-08,222857.0,24077470.28,0
2017-07-03,201585.0,22174350.0,0
2017-08-07,4133.0,463639.94,0
2017-08-09,14897.0,1638670.0,0
2017-09-25,25000000.0,289000000000000.0,1
2017-11-08,44630.0,4994543.3,0
2017-11-09,44860.0,5014002.2,0
2017-11-29,10527.0,1210605.0,0
2017-12-13,33600000.0,850000040000000.0,1
2018-01-02,16801.0,1934971.17,0
2018-02-20,35703.0,3876474.91,0
2018-02-21,5026.0,552960.52,0
2018-09-28,23300.0,2323905.0,0
2018-10-16,48880000.0,402000022000000.0,1
2018-12-10,250.0,20882.5,1
2019-02-15,6532.0,614922.48,0
2019-02-20,26006.0,2445593.44,0
2019-03-14,13000.0,1238250.0,0
2019-09-09,13580.0,1137848.4,1
2019-10-15,12994.0,1169460.0,0
2020-02-11,500.0,47910.0,1
2020-02-11,39748.0,3833297.12,0
2020-02-12,33603.0,3236640.96,0
