date,open,high,low,close,volume
2025-04-07,0.18,0.18,0.18,0.18,112.0
2025-04-08,0.18,0.18,0.18,0.18,0.0
2025-04-09,0.18,0.18,0.18,0.18,0.0
2025-04-10,0.18,0.5746,0.17,0.18,795449.0
2025-04-11,0.18,0.18,0.18,0.18,0.0
2025-04-14,0.18,0.18,0.18,0.18,88.0
2025-04-15,0.18,0.18,0.18,0.18,81.0
2025-04-16,0.18,0.18,0.18,0.18,12.0
2025-04-17,0.18,0.18,0.18,0.18,38.0
2025-04-21,0.18,0.18,0.18,0.18,203.0
2025-04-22,0.2,0.2,0.179,0.1801,75318.0
2025-04-23,0.1801,0.1801,0.1801,0.1801,4.0
2025-04-24,0.1928,0.2063,0.1928,0.2063,205.0
2025-04-25,0.1866,0.22,0.18,0.2,278070.0
2025-04-28,0.2,0.2,0.2,0.2,74.0
2025-04-29,0.1966,0.1966,0.1966,0.1966,154.0
2025-04-30,0.22,0.22,0.22,0.22,158.0
2025-05-01,0.22,0.22,0.22,0.22,296.0
2025-05-02,0.212,0.24,0.212,0.24,10898.0
2025-05-05,0.24,0.24,0.24,0.24,192.0
2025-05-06,0.24,0.24,0.23,0.2301,2900.0
2025-05-07,0.205,0.205,0.205,0.205,100.0
2025-05-08,0.205,0.205,0.205,0.205,141.0
2025-05-09,0.205,0.205,0.205,0.205,105.0
2025-05-12,0.205,0.205,0.205,0.205,191.0
2025-05-13,0.23,0.23,0.23,0.23,418.0
2025-05-14,0.23,0.23,0.23,0.23,323.0
2025-05-15,0.22,0.24,0.22,0.235,10299.0
2025-05-16,0.2399,0.2399,0.2399,0.2399,346.0
2025-05-19,0.2399,0.2399,0.2399,0.2399,55.0
2025-05-20,0.2399,0.2399,0.2399,0.2399,0.0
2025-05-21,0.24,0.24,0.24,0.24,511.0
2025-05-22,0.2,0.24,0.2,0.24,401966.0
2025-05-23,0.22,0.24,0.22,0.24,50800.0
2025-05-27,0.24,0.24,0.24,0.24,106.0
2025-05-28,0.24,0.24,0.24,0.24,1.0
2025-05-29,0.2002,0.24,0.2002,0.24,2300.0
2025-05-30,0.21,0.216,0.21,0.2159,628.0
