date,open,high,low,close,volume
2025-05-08,18.5,19.45,16.7,16.9,3693277.0
2025-05-09,17.59,18.06,16.11,17.25,824850.0
2025-05-12,17.56,17.56,16.81,17.25,143210.0
2025-05-13,17.2,17.48,16.93,17.41,86331.0
2025-05-14,17.24,17.325,17.0,17.25,75658.0
2025-05-15,17.25,17.25,16.445,16.7,188892.0
2025-05-16,16.54,16.72,16.3927,16.43,51798.0
2025-05-19,16.34,16.44,16.02,16.43,106654.0
2025-05-20,16.59,16.95,16.15,16.89,103077.0
2025-05-21,16.61,16.9,16.34,16.67,31730.0
2025-05-22,16.82,16.8425,16.5,16.54,45633.0
2025-05-23,16.3,16.674,16.3,16.54,63381.0
2025-05-27,16.61,16.65,16.39,16.49,76035.0
2025-05-28,16.3,16.8,16.3,16.8,68582.0
2025-05-29,16.74,16.9,16.58,16.75,25499.0
2025-05-30,16.46,16.95,16.46,16.57,105901.0
2025-06-02,16.48,16.63,16.285,16.6,353650.0
2025-06-03,16.54,16.73,16.305,16.68,177541.0
2025-06-04,16.65,16.96,16.34,16.49,107581.0
2025-06-05,16.5,16.7,16.319,16.57,87731.0
2025-06-06,16.87,17.45,16.68,17.0,90634.0
2025-06-09,17.21,17.4,16.5977,17.0,181805.0
2025-06-10,17.53,17.53,16.39,16.41,134770.0
2025-06-11,17.03,17.03,16.09,16.11,107600.0
2025-06-12,16.0,16.105,15.775,16.0,253614.0
2025-06-13,15.93,16.62,15.775,16.46,191483.0
2025-06-16,16.62,16.68,16.14,16.54,198191.0
2025-06-17,16.59,16.77,16.16,16.49,146512.0
2025-06-18,16.33,16.85,16.33,16.72,135403.0
2025-06-20,16.87,16.94,16.42,16.63,618329.0
2025-06-23,16.55,17.01,16.425,17.01,175846.0
2025-06-24,17.04,17.99,16.95,17.86,407739.0
2025-06-25,17.85,18.0,17.3019,17.65,148455.0
2025-06-26,17.64,18.0,17.59,17.98,100868.0
2025-06-27,17.88,17.99,17.55,17.82,112823.0
2025-06-30,17.92,18.5,17.615,18.39,478323.0
2025-07-01,18.39,19.0,18.14,18.43,395357.0
2025-07-02,18.57,19.17,17.745,17.85,280651.0
2025-07-03,18.37,18.5,17.765,17.81,27752.0
2025-07-07,17.81,18.48,17.29,17.53,95888.0
2025-07-08,17.52,17.99,17.4,17.78,132301.0
2025-07-09,17.8,17.89,17.465,17.76,278956.0
2025-07-10,17.93,18.02,17.2,17.24,69095.0
2025-07-11,17.05,17.67,17.03,17.34,31888.0
2025-07-14,17.28,18.07,17.28,18.07,48100.0
2025-07-15,18.07,18.43,17.66,17.67,172986.0
2025-07-16,17.75,18.19,17.65,17.73,105362.0
2025-07-17,17.69,17.99,17.51,17.83,99652.0
2025-07-18,17.82,18.0,17.51,17.66,57660.0
2025-07-21,17.8,17.8,16.88,16.89,72868.0
2025-07-22,16.8,17.59,16.8,17.5,89726.0
2025-07-23,17.51,17.75,17.37,17.55,90300.0
2025-07-24,17.55,17.95,17.35,17.51,81636.0
2025-07-25,17.38,17.51,17.22,17.33,41427.0
2025-07-28,17.44,17.57,17.1,17.18,36275.0
2025-07-29,17.06,17.68,16.9605,17.6,123737.0
2025-07-30,17.77,18.78,17.69,18.6,66682.0
2025-07-31,18.68,18.865,18.5212,18.66,40226.0
2025-08-01,18.56,18.77,18.13,18.48,52060.0
2025-08-04,18.595,18.995,18.4,18.58,60064.0
