date,open,high,low,close,volume
2013-11-04,0.011,0.011,0.006,0.006,120000.0
2013-11-05,0.005,0.005,0.0005,0.0014,4299356.0
2013-11-06,0.001,0.0018,0.001,0.0015,468930.0
2013-11-07,0.0017,0.0017,0.0017,0.0017,25000.0
2013-11-08,0.0018,0.0019,0.0017,0.0019,489000.0
2013-11-11,0.0019,0.0019,0.0018,0.0018,55290.0
2013-11-12,0.0018,0.0018,0.0018,0.0018,0.0
2013-11-13,0.0018,0.0018,0.0018,0.0018,0.0
2013-11-14,0.0018,0.0018,0.0018,0.0018,0.0
2013-11-15,0.0018,0.0018,0.0018,0.0018,75100.0
2013-11-18,0.0018,0.0018,0.0018,0.0018,0.0
2013-11-19,0.0017,0.0018,0.0014,0.0014,284015.0
2013-11-20,0.0011,0.0011,0.0011,0.0011,46000.0
2013-11-21,0.0011,0.0011,0.0011,0.0011,45250.0
2013-11-22,0.0011,0.0011,0.0011,0.0011,16000.0
2013-11-25,0.0011,0.002,0.0011,0.002,57700.0
2013-11-26,0.0011,0.0011,0.001,0.001,94700.0
2013-11-27,0.0013,0.0013,0.0013,0.0013,30000.0
2013-11-29,0.0013,0.0013,0.0013,0.0013,100.0
2013-12-02,0.0013,0.0013,0.0013,0.0013,50550.0
2013-12-03,0.0013,0.0013,0.0013,0.0013,18000.0
2013-12-04,0.0013,0.0021,0.001,0.001,945170.0
2013-12-05,0.001,0.0011,0.001,0.001,186500.0
2013-12-06,0.001,0.0012,0.0008,0.0008,136000.0
2013-12-09,0.0012,0.0012,0.0008,0.0008,224250.0
2013-12-10,0.0008,0.0008,0.0008,0.0008,3000.0
2013-12-11,0.0008,0.0008,0.0008,0.0008,27000.0
2013-12-12,0.0008,0.0008,0.0008,0.0008,19374.0
2013-12-13,0.0008,0.0008,0.0008,0.0008,20000.0
2013-12-16,0.0008,0.0018,0.0008,0.001,399827.0
2013-12-17,0.001,0.001,0.001,0.001,1786600.0
2013-12-18,0.0008,0.0008,0.0008,0.0008,2400.0
2013-12-19,0.0008,0.0008,0.0008,0.0008,59553.0
2013-12-20,0.0008,0.0008,0.0008,0.0008,0.0
2013-12-23,0.0008,0.0014,0.0008,0.001,311500.0
2013-12-24,0.001,0.001,0.001,0.001,0.0
2013-12-26,0.001,0.001,0.001,0.001,43000.0
2013-12-27,0.001,0.001,0.001,0.001,44350.0
2013-12-30,0.001,0.001,0.001,0.001,329000.0
2013-12-31,0.001,0.0015,0.001,0.001,135750.0
2014-01-02,0.001,0.001,0.001,0.001,0.0
2014-01-03,0.001,0.0015,0.001,0.0015,98000.0
2014-01-06,0.0015,0.0015,0.0015,0.0015,0.0
2014-01-07,0.0015,0.0015,0.0015,0.0015,250.0
2014-01-08,0.0011,0.0011,0.0011,0.0011,26170.0
2014-01-09,0.0015,0.0015,0.0015,0.0015,2000.0
2014-01-10,0.0018,0.0018,0.0011,0.0011,43049.0
2014-01-13,0.0015,0.0015,0.001,0.001,2058900.0
2014-01-14,0.001,0.001,0.001,0.001,3000.0
2014-01-15,0.001,0.001,0.001,0.001,7000.0
2014-01-16,0.001,0.001,0.001,0.001,4000.0
2014-01-17,0.0012,0.0012,0.0012,0.0012,54270.0
2014-01-21,0.0015,0.0015,0.0012,0.0012,46083.0
2014-01-22,0.0012,0.0012,0.0012,0.0012,0.0
2014-01-23,0.0015,0.0022,0.0015,0.0022,754235.0
2014-01-24,0.0026,0.008,0.0022,0.0026,595195.0
2014-01-27,0.0035,0.0038,0.002,0.0038,430000.0
2014-01-28,0.003,0.003,0.003,0.003,1000.0
2014-01-29,0.003,0.004,0.003,0.004,10500.0
2014-01-30,0.0035,0.0035,0.0035,0.0035,59000.0
2014-01-31,0.004,0.0045,0.0035,0.0045,157500.0
2014-02-03,0.0044,0.0044,0.0035,0.0044,29998.0
2014-02-04,0.002,0.005,0.002,0.005,3100.0
2014-02-05,0.005,0.01,0.002,0.0085,873495.0
2014-02-06,0.0098,0.01,0.0068,0.0068,74310.0
2014-02-07,0.01,0.01,0.0054,0.0054,32150.0
2014-02-10,0.06,0.06,0.007,0.014,3638280.0
2014-02-11,0.015,0.03,0.015,0.0226,1601888.0
2014-02-12,0.0215,0.0215,0.0192,0.02,828236.0
2014-02-13,0.02,0.02,0.016,0.016,635690.0
2014-02-14,0.016,0.016,0.0116,0.0116,105000.0
2014-02-18,0.0118,0.0119,0.007,0.007,332010.0
2014-02-19,0.007,0.007,0.007,0.007,79137.0
2014-02-20,0.007,0.0122,0.007,0.0122,5311.0
2014-02-21,0.007,0.007,0.007,0.007,10900.0
