date,open,high,low,close,volume
2006-12-28,6.42,6.6,6.3,6.5,5900.0
2006-12-29,6.6,6.7,6.6,6.7,1000.0
2007-01-03,6.75,7.65,6.75,7.55,2200.0
2007-01-04,7.6,7.78,7.27,7.78,2100.0
2007-01-05,7.79,8.3,7.79,8.15,5000.0
2007-01-08,8.15,8.25,8.11,8.25,1600.0
2007-01-09,8.34,8.45,7.87,8.01,3400.0
2007-01-10,7.91,8.0,7.4,7.87,6900.0
2007-01-11,7.8,7.8,7.48,7.48,1900.0
2007-01-12,7.43,7.43,7.43,7.43,100.0
2007-01-16,7.33,7.33,6.84,6.84,1500.0
2007-01-17,6.91,6.91,6.91,6.91,500.0
2007-01-18,6.88,6.88,6.88,6.88,200.0
2007-01-19,6.88,6.88,6.88,6.88,200.0
2007-01-22,6.8,6.8,6.6,6.73,2100.0
2007-01-23,6.8,6.9,6.8,6.9,300.0
2007-01-24,6.8,6.9,6.8,6.9,300.0
2007-01-25,6.99,6.99,6.99,6.99,100.0
2007-01-26,6.99,6.99,6.99,6.99,100.0
2007-01-29,6.95,6.96,6.95,6.96,5200.0
2007-01-30,7.01,7.01,7.0,7.01,3500.0
2007-01-31,7.15,7.15,7.0,7.01,3600.0
2007-02-01,7.02,7.02,7.02,7.02,2700.0
2007-02-02,7.02,7.02,7.02,7.02,2700.0
2007-02-05,7.02,7.02,7.02,7.02,2700.0
2007-02-06,7.02,7.02,7.02,7.02,2700.0
2007-02-07,7.02,7.02,7.02,7.02,2700.0
2007-02-08,7.02,7.02,7.02,7.02,2700.0
2007-02-09,7.02,7.02,7.02,7.02,700.0
2007-02-12,7.09,7.09,7.0,7.0,2100.0
2007-02-13,7.08,7.08,6.95,6.95,200.0
2007-02-14,7.08,7.08,6.95,6.95,200.0
2007-02-15,6.9,7.7,6.9,7.7,8900.0
2007-02-16,7.8,8.2,7.8,7.95,6600.0
2007-02-20,7.72,7.95,7.5,7.71,7500.0
2007-02-21,7.72,7.95,7.5,7.71,7500.0
2007-02-22,7.7,7.7,7.7,7.7,500.0
2007-02-23,7.7,7.7,7.7,7.7,0.0
2007-02-26,7.8,7.95,7.7,7.95,2600.0
2007-02-27,7.85,7.9,7.67,7.67,3000.0
2007-02-28,7.65,7.7,7.55,7.65,2300.0
2007-03-01,7.55,7.8,7.55,7.65,1000.0
2007-03-02,7.6,7.6,7.6,7.6,500.0
2007-03-05,7.64,7.64,7.64,7.64,600.0
2007-03-06,7.59,7.75,7.55,7.6,5500.0
2007-03-07,7.75,7.78,7.3,7.4,5100.0
2007-03-08,7.35,7.4,7.18,7.18,2000.0
2007-03-09,7.2,7.2,7.2,7.2,100.0
2007-03-12,7.3,7.37,7.3,7.37,2300.0
2007-03-13,7.49,7.49,7.49,7.49,500.0
2007-03-14,7.42,7.55,7.42,7.55,1600.0
2007-03-15,7.64,7.64,7.64,7.64,100.0
2007-03-16,7.75,7.75,7.65,7.65,600.0
2007-03-19,7.75,7.75,7.75,7.75,300.0
2007-03-20,7.71,7.85,7.71,7.85,700.0
2007-03-21,7.71,7.85,7.71,7.85,700.0
2007-03-22,7.75,7.75,7.75,7.75,200.0
2007-03-23,7.5,7.75,7.49,7.75,2500.0
2007-03-26,7.88,7.95,7.88,7.95,1700.0
2007-03-27,8.0,8.0,7.95,7.95,2200.0
2007-03-28,8.0,8.0,7.95,7.95,2200.0
2007-03-29,8.0,8.0,7.95,7.95,2200.0
2007-03-30,8.0,8.0,7.95,7.95,2200.0
2007-04-02,8.0,8.0,7.95,7.95,0.0
2007-04-03,8.0,8.0,7.95,7.95,0.0
2007-04-04,8.05,8.2,7.75,7.75,3000.0
2007-04-05,7.85,7.85,7.85,7.85,200.0
2007-04-09,7.9,8.1,7.76,7.9,1400.0
2007-04-10,7.85,8.1,7.81,7.92,3300.0
2007-04-11,8.15,8.15,8.0,8.0,900.0
2007-04-12,7.9,7.9,7.75,7.75,800.0
2007-04-13,7.7,7.9,7.65,7.75,3000.0
2007-04-16,7.85,7.9,7.8,7.85,1400.0
2007-04-17,7.8,7.95,7.7,7.84,2100.0
2007-04-18,7.8,7.8,7.65,7.77,2200.0
2007-04-19,7.7,7.7,7.5,7.65,1300.0
2007-04-20,7.65,7.69,7.65,7.69,300.0
2007-04-23,7.65,7.65,7.65,7.65,1100.0
