date,open,high,low,close,volume
2023-10-23,23.01,575.41,23.01,406.67,32239.0
2023-10-24,160.0,220.01,100.0,100.0,10085.0
2023-10-25,93.88,93.88,60.59,60.59,21258.0
2023-10-26,72.0,90.21,46.0,46.0,63347.0
2023-10-27,48.66,48.66,21.83,23.17,89631.0
2023-10-30,26.0,26.9899,22.51,24.75,71169.0
2023-10-31,24.62,25.0,18.3001,19.35,82366.0
2023-11-01,18.05,25.0,15.0,17.5,99125.0
2023-11-02,15.75,15.75,9.65,10.4,334919.0
2023-11-03,9.62,10.42,8.85,8.99,225464.0
2023-11-06,11.64,12.5,8.57,9.15,1348905.0
2023-11-07,8.38,8.67,7.41,7.76,226055.0
2023-11-08,7.03,7.08,5.8201,6.25,239855.0
2023-11-09,5.82,6.0999,4.85,4.95,193400.0
2023-11-10,5.0,5.65,4.17,4.4,447192.0
2023-11-13,4.6,5.89,4.05,5.89,3618949.0
2023-11-14,11.2,14.88,6.9205,12.0,27173481.0
2023-11-15,9.9,13.84,9.72,12.2,6364758.0
2023-11-16,11.64,15.9,10.94,12.1,5157681.0
2023-11-17,11.76,11.9499,9.1,9.39,1797018.0
2023-11-20,8.7,8.84,6.71,7.19,1691611.0
2023-11-21,4.1,4.4911,3.91,4.41,4509729.0
2023-11-22,4.39,4.48,3.81,3.95,1158707.0
2023-11-24,4.06,4.2,3.92,4.08,475336.0
2023-11-27,4.0,4.25,3.65,3.65,932322.0
2023-11-28,3.62,3.71,3.02,3.25,1259339.0
2023-11-29,3.05,3.7999,3.05,3.55,1248355.0
2023-11-30,3.59,3.75,3.2,3.41,738401.0
2023-12-01,3.1,3.4,3.09,3.4,475542.0
2023-12-04,3.29,3.46,3.191,3.46,397031.0
2023-12-05,3.39,3.9794,3.25,3.7,830551.0
2023-12-06,3.71,3.94,3.31,3.51,593925.0
2023-12-07,3.49,3.56,3.238,3.27,291165.0
2023-12-08,3.35,3.35,2.86,2.9,689990.0
2023-12-11,2.94,3.0492,2.54,2.54,557771.0
2023-12-12,2.57,2.68,2.1,2.25,712682.0
2023-12-13,2.3,2.3,2.0,2.28,372280.0
2023-12-14,2.3,2.5,2.1816,2.25,435572.0
2023-12-15,2.36,2.5499,2.26,2.48,605241.0
2023-12-18,2.46,2.46,2.18,2.3,752293.0
2023-12-19,2.28,2.4,2.23,2.315,182345.0
2023-12-20,2.27,3.1,2.26,2.41,1317556.0
2023-12-21,2.47,2.48,2.28,2.42,506787.0
2023-12-22,2.5,2.5,2.31,2.34,317422.0
2023-12-26,2.38,2.44,2.1,2.15,588836.0
2023-12-27,2.17,2.1917,1.93,2.01,567800.0
2023-12-28,2.01,2.05,1.9586,1.97,380643.0
2023-12-29,1.93,2.0,1.9,1.99,296373.0
2024-01-02,1.91,2.02,1.9,1.935,152523.0
2024-01-03,1.91,1.92,1.76,1.8,468414.0
2024-01-04,1.85,1.85,1.72,1.75,256991.0
2024-01-05,1.76,1.76,1.55,1.6,445993.0
2024-01-08,1.69,1.69,1.58,1.68,569696.0
2024-01-09,1.65,1.65,1.46,1.5,444748.0
2024-01-10,1.49,1.56,1.43,1.47,347602.0
2024-01-11,1.45,1.4899,1.36,1.48,269874.0
2024-01-12,1.44,1.52,1.4001,1.51,153207.0
2024-01-16,1.41,1.53,1.41,1.52,147979.0
2024-01-17,1.48,1.51,1.4208,1.51,106319.0
2024-01-18,1.45,1.46,1.31,1.39,144484.0
2024-01-19,1.38,1.4099,1.29,1.34,153105.0
2024-01-22,1.31,1.3488,1.2,1.28,247780.0
2024-01-23,1.28,1.2998,1.21,1.25,167695.0
2024-01-24,1.25,1.55,1.21,1.46,632667.0
2024-01-25,1.51,1.51,1.33,1.39,218512.0
2024-01-26,1.36,1.4099,1.3269,1.33,66799.0
2024-01-29,1.39,1.43,1.3,1.36,79722.0
2024-01-30,1.36,1.389,1.22,1.26,193388.0
2024-01-31,1.22,1.31,1.22,1.28,200406.0
2024-02-01,1.27,1.31,1.16,1.23,192993.0
2024-02-02,1.2,1.2883,1.17,1.26,193407.0
2024-02-05,1.24,1.24,1.14,1.16,159878.0
2024-02-06,1.16,1.2099,1.1,1.18,222772.0
2024-02-07,1.36,1.36,1.2,1.24,430017.0
2024-02-08,1.2,1.4,1.1,1.37,1801234.0
2024-02-09,1.5,1.5,1.2,1.34,1247539.0
2024-02-12,1.3,1.34,1.21,1.27,359791.0
2024-02-13,1.27,1.4,1.22,1.26,754707.0
2024-02-14,1.23,1.37,1.22,1.32,1157276.0
2024-02-15,1.32,1.36,1.24,1.3,704753.0
2024-02-16,1.37,1.4,1.27,1.38,926348.0
2024-02-20,1.39,1.39,1.2305,1.3,490795.0
2024-02-21,1.27,1.31,1.22,1.31,266423.0
2024-02-22,1.33,1.33,1.22,1.25,390738.0
2024-02-23,1.3,1.6,1.24,1.5,2299888.0
2024-02-26,1.6,2.22,1.53,1.96,6430444.0
2024-02-27,2.15,2.2,1.72,1.9,4191582.0
2024-02-28,1.82,1.96,1.7,1.72,1135795.0
2024-02-29,1.65,1.78,1.6,1.7,630879.0
2024-03-01,1.66,1.72,1.38,1.5,905666.0
2024-03-04,1.47,1.49,1.21,1.21,874131.0
2024-03-05,1.23,1.33,1.22,1.24,471477.0
2024-03-06,1.24,1.365,1.24,1.26,437810.0
2024-03-07,1.23,1.35,1.19,1.25,682356.0
2024-03-08,1.43,2.05,1.33,1.69,29635155.0
2024-03-11,1.68,1.98,1.514,1.79,2333267.0
2024-03-12,1.67,1.78,1.57,1.6,980949.0
2024-03-13,1.3,1.46,1.26,1.34,1155011.0
2024-03-14,1.37,1.38,1.29,1.36,492132.0
2024-03-15,1.33,1.53,1.31,1.38,822030.0
2024-03-18,1.41,1.43,1.3,1.37,435019.0
2024-03-19,1.34,1.3565,1.2487,1.3,352025.0
2024-03-20,1.3,1.34,1.28,1.3,263087.0
2024-03-21,1.31,1.3199,1.2301,1.25,349268.0
2024-03-22,1.27,1.28,1.19,1.24,233078.0
2024-03-25,1.26,1.28,1.21,1.235,145150.0
2024-03-26,1.27,1.27,1.185,1.19,185925.0
