date,open,high,low,close,volume
2021-05-10,9.91,9.91,9.8,9.8,17661.0
2021-05-11,9.9965,10.0,9.8,9.9965,6047.0
2021-05-12,9.8,9.82,9.755,9.755,12716.0
2021-05-13,9.76,9.7701,9.75,9.7701,14530.0
2021-05-14,9.79,9.79,9.75,9.75,18090.0
2021-05-17,9.63,9.63,9.63,9.63,297.0
2021-05-18,9.75,9.75,9.75,9.75,254.0
2021-05-19,9.75,9.75,9.75,9.75,196.0
2021-05-20,9.75,9.75,9.6001,9.675,1885.0
2021-05-21,9.675,9.675,9.675,9.675,17.0
2021-05-24,9.675,9.675,9.675,9.675,21.0
2021-05-25,9.675,9.675,9.675,9.675,52.0
2021-05-26,10.0025,10.11,9.79,9.96,10938.0
2021-05-27,9.96,9.96,9.96,9.96,4.0
2021-05-28,9.96,9.96,9.96,9.96,15.0
2021-06-01,9.8,9.8,9.63,9.63,543.0
2021-06-02,9.63,9.63,9.63,9.63,20.0
2021-06-03,9.635,9.73,9.62,9.63,8811.0
2021-06-04,9.63,9.63,9.63,9.63,1583.0
2021-06-07,9.64,9.64,9.64,9.64,1283.0
2021-06-08,9.7,9.7,9.625,9.64,37254.0
2021-06-09,9.69,9.69,9.63,9.64,6814.0
2021-06-10,9.65,9.68,9.62,9.64,134426.0
2021-06-11,9.6,9.66,9.6,9.63,34434.0
2021-06-14,9.65,9.65,9.61,9.63,256778.0
2021-06-15,9.65,9.6602,9.65,9.66,104373.0
2021-06-16,9.675,9.68,9.65,9.68,4847.0
2021-06-17,9.68,9.68,9.68,9.68,1653.0
2021-06-18,9.65,9.68,9.65,9.68,1581.0
2021-06-21,9.68,9.68,9.63,9.67,35177.0
2021-06-22,9.67,9.69,9.66,9.69,3111.0
2021-06-23,9.68,9.69,9.65,9.69,16749.0
2021-06-24,9.69,9.69,9.64,9.65,3699.0
2021-06-25,9.66,9.72,9.66,9.72,4693.0
2021-06-28,9.67,9.67,9.63,9.65,13975.0
2021-06-29,9.64,9.68,9.62,9.66,276740.0
2021-06-30,9.65,9.65,9.65,9.65,2110.0
2021-07-01,9.65,9.65,9.65,9.65,31.0
2021-07-02,9.65,9.65,9.65,9.65,1.0
2021-07-06,9.65,9.66,9.65,9.66,43218.0
2021-07-07,9.64,9.66,9.63,9.64,49566.0
2021-07-08,9.6546,9.66,9.64,9.66,4584.0
2021-07-09,9.7,9.7,9.7,9.7,5985.0
2021-07-12,9.63,9.72,9.63,9.72,6233.0
2021-07-13,9.7008,9.754,9.6613,9.6924,1242.0
2021-07-14,9.745,9.755,9.66,9.66,2944.0
2021-07-15,9.68,9.68,9.68,9.68,438.0
2021-07-16,9.68,9.68,9.68,9.68,113.0
2021-07-19,9.66,9.66,9.66,9.66,565.0
2021-07-20,9.65,9.65,9.62,9.62,3320.0
2021-07-21,9.625,9.63,9.62,9.63,4174.0
2021-07-22,9.63,9.63,9.63,9.63,44.0
2021-07-23,9.64,9.79,9.6375,9.79,2784.0
2021-07-26,9.65,9.66,9.6391,9.64,7962.0
2021-07-27,9.64,9.64,9.64,9.64,2512.0
2021-07-28,9.64,9.64,9.64,9.64,118.0
2021-07-29,9.64,9.64,9.63,9.63,19115.0
2021-07-30,9.66,9.66,9.63,9.63,8083.0
2021-08-02,9.645,9.68,9.645,9.68,28989.0
2021-08-03,9.68,9.68,9.63,9.63,18113.0
2021-08-04,9.655,9.66,9.63,9.66,238756.0
2021-08-05,9.63,9.67,9.63,9.67,4731.0
2021-08-06,9.67,9.67,9.67,9.67,110.0
2021-08-09,9.65,9.65,9.65,9.65,434.0
2021-08-10,9.65,9.65,9.65,9.65,15.0
2021-08-11,9.67,9.67,9.67,9.67,170.0
2021-08-12,9.64,9.695,9.64,9.695,1387696.0
2021-08-13,9.665,9.68,9.665,9.68,313.0
2021-08-16,9.64,9.7,9.64,9.68,7127.0
2021-08-17,9.63,9.65,9.63,9.65,6586.0
2021-08-18,9.65,9.65,9.65,9.65,16.0
2021-08-19,9.65,9.65,9.65,9.65,0.0
2021-08-20,9.65,9.65,9.63,9.64,125566.0
2021-08-23,9.62,9.63,9.62,9.63,1398.0
2021-08-24,9.63,9.63,9.63,9.63,73.0
2021-08-25,9.63,9.63,9.63,9.63,29.0
2021-08-26,9.64,9.64,9.64,9.64,176.0
2021-08-27,9.63,9.63,9.63,9.63,103.0
2021-08-30,9.63,9.63,9.63,9.63,114.0
2021-08-31,9.63,9.63,9.63,9.63,47.0
2021-09-01,9.63,9.63,9.63,9.63,13.0
2021-09-02,9.63,9.63,9.63,9.63,4717.0
2021-09-03,9.63,9.67,9.63,9.67,438.0
2021-09-07,9.6506,9.6506,9.6506,9.6506,174.0
2021-09-08,9.6506,9.6506,9.6506,9.6506,43.0
2021-09-09,9.6506,9.6506,9.6506,9.6506,19.0
2021-09-10,9.66,9.661,9.66,9.66,992.0
2021-09-13,9.6659,9.68,9.66,9.665,31167.0
2021-09-14,9.66,9.67,9.66,9.67,1231.0
2021-09-15,9.6566,9.67,9.6566,9.67,2658.0
2021-09-16,9.66,9.68,9.65,9.67,5122.0
2021-09-17,9.6899,9.72,9.66,9.72,30910.0
2021-09-20,9.67,9.712,9.66,9.7,8181.0
2021-09-21,9.67,9.7,9.67,9.7,1224.0
2021-09-22,9.65,9.7,9.65,9.7,7102.0
2021-09-23,9.7,9.7,9.7,9.7,7.0
2021-09-24,9.67,9.7,9.67,9.69,31317.0
2021-09-27,9.69,9.69,9.69,9.69,72.0
2021-09-28,9.69,9.69,9.69,9.69,52.0
2021-09-29,9.7,9.707,9.7,9.705,1452.0
2021-09-30,9.7,9.72,9.68,9.71,53786.0
2021-10-01,9.7,9.72,9.7,9.7,17338.0
2021-10-04,9.77,9.83,9.7,9.71,36140.0
2021-10-05,9.71,9.71,9.71,9.71,21.0
2021-10-06,9.71,9.74,9.71,9.74,25170.0
2021-10-07,9.755,9.755,9.705,9.72,2344.0
2021-10-08,9.72,9.83,9.72,9.83,1122.0
2021-10-11,9.83,9.83,9.83,9.83,58.0
2021-10-12,9.83,9.83,9.83,9.83,305.0
2021-10-13,9.83,9.83,9.83,9.83,3.0
2021-10-14,9.74,9.74,9.71,9.71,3470.0
2021-10-15,9.71,9.71,9.71,9.71,10.0
2021-10-18,9.71,9.71,9.71,9.71,878.0
2021-10-19,9.71,9.74,9.71,9.72,24808.0
2021-10-20,9.72,9.72,9.72,9.72,17.0
2021-10-21,9.72,9.72,9.71,9.71,8527.0
2021-10-22,9.71,9.71,9.71,9.71,563.0
2021-10-25,9.72,9.77,9.7,9.77,40838.0
2021-10-26,9.75,9.77,9.75,9.77,916.0
2021-10-27,9.72,9.7619,9.72,9.76,2020.0
2021-10-28,9.76,9.78,9.76,9.78,7239.0
2021-10-29,9.8,9.8,9.75,9.75,20059.0
2021-11-01,9.755,9.8,9.755,9.79,24578.0
2021-11-02,9.79,9.79,9.79,9.79,178.0
2021-11-03,9.75,9.75,9.75,9.75,2115.0
2021-11-04,9.75,9.75,9.75,9.75,54.0
2021-11-05,9.73,9.75,9.73,9.75,625.0
2021-11-08,9.74,9.75,9.74,9.75,12936.0
2021-11-09,9.76,9.7799,9.73,9.73,5101.0
2021-11-10,9.72,9.72,9.72,9.72,283.0
2021-11-11,9.73,9.75,9.71,9.73,19067.0
2021-11-12,9.72,9.74,9.72,9.73,28723.0
2021-11-15,9.72,9.74,9.72,9.74,4661.0
2021-11-16,9.77,9.77,9.77,9.77,2626.0
2021-11-17,9.73,9.74,9.67,9.74,109412.0
2021-11-18,9.74,9.74,9.74,9.74,25.0
2021-11-19,9.7,9.73,9.7,9.73,1153.0
2021-11-22,9.72,9.73,9.72,9.73,108566.0
2021-11-23,9.72,9.74,9.72,9.74,10906.0
2021-11-24,9.74,9.74,9.74,9.74,0.0
2021-11-26,9.72,9.74,9.72,9.74,14794.0
2021-11-29,9.74,9.74,9.74,9.74,31.0
2021-11-30,9.74,9.74,9.74,9.74,120.0
2021-12-01,9.73,9.74,9.73,9.74,8511.0
2021-12-02,9.74,9.74,9.74,9.74,22.0
2021-12-03,9.74,9.74,9.74,9.74,34.0
2021-12-06,9.73,9.765,9.73,9.75,14961.0
2021-12-07,9.75,9.75,9.75,9.75,20.0
2021-12-08,9.76,9.76,9.76,9.76,469.0
2021-12-09,9.75,9.75,9.736,9.75,1437.0
2021-12-10,9.73,9.75,9.73,9.75,28070.0
2021-12-13,9.79,9.79,9.79,9.79,655.0
2021-12-14,9.79,9.81,9.79,9.81,12912.0
2021-12-15,9.81,9.81,9.81,9.81,741.0
2021-12-16,9.77,9.79,9.77,9.79,730.0
2021-12-17,9.75,9.81,9.7,9.78,1348.0
2021-12-20,9.78,9.78,9.78,9.78,159.0
