date,open,high,low,close,volume
1999-11-01,15.88,16.0,15.75,16.0,68978.0
1999-11-02,16.0,16.38,16.0,16.38,33067.0
1999-11-03,16.38,16.38,16.19,16.38,12978.0
1999-11-04,16.31,16.44,16.25,16.44,6844.0
1999-11-05,16.38,17.0,16.25,16.88,21644.0
1999-11-08,16.94,17.12,16.63,16.63,15067.0
1999-11-09,16.75,16.94,16.75,16.81,3200.0
1999-11-10,16.56,16.94,16.56,16.94,10578.0
1999-11-11,16.94,16.94,16.63,16.63,23778.0
1999-11-12,16.63,16.69,16.63,16.63,844.0
1999-11-15,16.75,16.75,16.63,16.75,15067.0
1999-11-16,16.75,17.0,16.75,17.0,27867.0
1999-11-17,16.88,16.88,16.81,16.88,7200.0
1999-11-18,17.0,17.0,16.75,16.88,17644.0
1999-11-19,16.94,17.37,16.94,17.31,11867.0
1999-11-22,17.37,17.75,17.31,17.37,17244.0
1999-11-23,17.25,17.25,17.12,17.25,4844.0
1999-11-24,17.12,17.5,16.94,17.0,64578.0
1999-11-26,17.0,17.0,16.56,16.56,28400.0
1999-11-29,16.56,16.63,16.5,16.63,23644.0
1999-11-30,16.56,17.12,16.56,17.12,46578.0
1999-12-01,17.0,17.12,16.81,16.81,19867.0
1999-12-02,16.81,16.94,16.81,16.88,11067.0
1999-12-03,16.88,17.0,16.81,16.94,9378.0
1999-12-06,16.94,17.0,16.75,16.81,13600.0
1999-12-07,16.81,16.97,16.75,16.75,29600.0
1999-12-08,16.81,17.0,16.81,16.94,29644.0
1999-12-09,17.0,17.0,16.81,16.88,40267.0
1999-12-10,16.94,17.0,16.88,16.94,108044.0
1999-12-13,16.94,17.0,16.94,17.0,20400.0
1999-12-14,17.0,17.0,16.75,16.75,32267.0
1999-12-15,16.75,16.94,16.75,16.81,22178.0
1999-12-16,16.81,16.94,16.81,16.81,38267.0
1999-12-17,16.81,16.88,16.81,16.81,20267.0
1999-12-20,16.75,17.0,16.75,16.88,11244.0
1999-12-21,16.88,17.0,16.75,16.75,31600.0
1999-12-22,16.69,16.88,16.5,16.88,6667.0
1999-12-23,16.94,16.94,16.63,16.63,8400.0
1999-12-27,16.63,16.63,16.38,16.38,8267.0
1999-12-28,16.38,16.5,16.13,16.39,16000.0
1999-12-29,16.13,16.44,16.0,16.38,5644.0
1999-12-30,16.5,16.63,16.31,16.31,9778.0
1999-12-31,16.31,16.63,16.25,16.63,8578.0
2000-01-03,16.5,16.81,16.38,16.63,11067.0
2000-01-04,16.44,16.56,16.38,16.38,12400.0
2000-01-05,16.5,16.5,16.0,16.0,10400.0
2000-01-06,15.94,16.06,15.62,15.69,18978.0
2000-01-07,15.75,15.81,15.12,15.19,10844.0
2000-01-10,15.06,15.56,15.06,15.56,9644.0
2000-01-11,15.56,15.69,14.75,14.94,58444.0
2000-01-12,15.06,15.12,15.0,15.0,10444.0
2000-01-13,15.12,15.37,15.0,15.31,5867.0
2000-01-14,15.37,15.75,15.31,15.75,5200.0
2000-01-18,15.94,16.19,15.62,15.81,18400.0
2000-01-19,15.81,16.31,15.37,16.31,35200.0
2000-01-20,16.5,17.0,16.44,16.69,61600.0
2000-01-21,16.56,16.81,16.56,16.81,40267.0
2000-01-24,16.69,16.75,16.0,16.0,42667.0
2000-01-25,15.94,16.44,15.94,16.44,48844.0
2000-01-26,16.5,16.56,15.88,16.38,44000.0
2000-01-27,16.25,16.41,16.0,16.13,23244.0
2000-01-28,16.25,16.25,16.13,16.13,102400.0
2000-01-31,16.13,16.13,15.75,15.94,50178.0
2000-02-01,15.94,16.13,15.94,16.0,59778.0
2000-02-02,16.0,16.38,16.0,16.31,39644.0
2000-02-03,16.44,16.44,16.0,16.31,42000.0
2000-02-04,16.25,16.25,16.06,16.06,10267.0
2000-02-07,16.0,16.0,15.69,15.81,46044.0
2000-02-08,15.81,16.0,15.75,15.94,126178.0
2000-02-09,16.06,16.81,16.06,16.81,43467.0
2000-02-10,16.63,16.69,16.5,16.63,31067.0
2000-02-11,16.5,16.66,15.88,16.0,80578.0
2000-02-14,16.0,16.13,16.0,16.13,34044.0
2000-02-15,16.19,16.19,15.88,15.94,331244.0
2000-02-16,16.0,16.0,15.88,15.88,5867.0
2000-02-17,16.0,16.13,15.94,16.0,31244.0
2000-02-18,16.0,16.0,15.25,15.44,34000.0
2000-02-22,15.44,15.94,15.25,15.94,32000.0
2000-02-23,15.88,16.0,15.69,15.69,8044.0
2000-02-24,15.62,16.31,15.56,16.31,18400.0
2000-02-25,16.31,17.12,16.31,16.94,67378.0
2000-02-28,16.94,16.94,16.75,16.94,13200.0
2000-02-29,16.81,18.19,16.81,18.13,69778.0
2000-03-01,18.13,18.13,17.5,17.56,27778.0
2000-03-02,17.56,17.62,16.94,17.0,29467.0
2000-03-03,17.0,17.19,16.81,16.81,39200.0
2000-03-06,16.56,17.37,16.56,17.25,42978.0
2000-03-07,17.25,17.5,17.06,17.37,33244.0
2000-03-08,17.37,17.5,17.06,17.44,15644.0
2000-03-09,17.31,17.5,17.12,17.44,43867.0
2000-03-10,17.44,17.44,17.0,17.06,18444.0
2000-03-13,16.88,17.19,16.88,16.94,18667.0
2000-03-14,17.0,17.06,16.69,16.69,17067.0
2000-03-15,16.44,16.69,16.38,16.63,30044.0
2000-03-16,16.75,17.5,16.75,17.37,26444.0
2000-03-17,17.25,17.25,16.88,16.88,14444.0
2000-03-20,16.94,16.94,16.44,16.44,14178.0
2000-03-21,16.19,16.19,15.44,15.44,25867.0
2000-03-22,15.44,15.81,15.44,15.81,24978.0
2000-03-23,15.81,16.0,15.75,16.0,36044.0
2000-03-24,15.94,16.0,15.94,16.0,14400.0
2000-03-27,16.0,16.0,15.56,15.56,16578.0
2000-03-28,15.56,15.81,15.56,15.69,5200.0
2000-03-29,15.69,15.81,15.56,15.69,11600.0
2000-03-30,15.62,15.69,15.5,15.5,14800.0
2000-03-31,15.62,16.13,15.56,16.0,16267.0
2000-04-03,16.0,16.19,16.0,16.19,12178.0
2000-04-04,16.06,16.13,15.81,16.13,25778.0
2000-04-05,16.0,16.5,16.0,16.44,14978.0
2000-04-06,16.38,16.56,16.06,16.06,12578.0
2000-04-07,16.13,16.13,15.81,15.81,38178.0
2000-04-10,15.81,15.88,15.19,15.19,65644.0
2000-04-11,15.06,15.06,14.94,15.0,68844.0
2000-04-12,15.06,15.19,15.06,15.06,36800.0
2000-04-13,15.19,15.31,15.19,15.25,47067.0
2000-04-14,15.25,15.5,15.0,15.0,30667.0
2000-04-17,14.87,14.94,14.5,14.69,19244.0
2000-04-18,14.44,14.94,14.31,14.94,37467.0
2000-04-19,15.06,15.16,14.87,15.06,67867.0
2000-04-20,15.06,16.06,15.0,16.06,27778.0
2000-04-24,16.25,16.31,15.44,16.19,39644.0
2000-04-25,16.31,16.69,16.19,16.69,34800.0
2000-04-26,16.63,17.37,16.63,17.12,26178.0
2000-04-27,17.0,17.0,16.63,16.75,9867.0
2000-04-28,16.63,17.37,16.5,17.37,17244.0
2000-05-01,17.37,17.75,17.37,17.75,19600.0
2000-05-02,17.62,17.94,17.5,17.94,18178.0
2000-05-03,17.87,17.87,17.06,17.19,12978.0
2000-05-04,16.94,17.06,16.5,16.75,35644.0
2000-05-05,16.75,16.75,16.38,16.75,31467.0
2000-05-08,16.38,16.5,16.38,16.5,9467.0
2000-05-09,16.5,17.37,16.44,17.0,67600.0
2000-05-10,16.88,16.88,16.69,16.69,19467.0
2000-05-11,16.63,17.31,16.63,17.06,63600.0
2000-05-12,17.12,17.31,17.12,17.19,29644.0
2000-05-15,17.06,17.06,16.56,16.69,17867.0
2000-05-16,16.81,17.25,16.81,17.06,20667.0
2000-05-17,17.12,17.12,17.06,17.06,43867.0
2000-05-18,17.12,17.56,17.06,17.25,35867.0
2000-05-19,17.37,17.44,17.19,17.44,20044.0
2000-05-22,17.44,17.5,16.69,17.19,15644.0
2000-05-23,17.31,17.87,17.31,17.87,14400.0
2000-05-24,17.75,17.94,17.44,17.94,7467.0
2000-05-25,18.0,18.13,17.5,17.62,27467.0
2000-05-26,17.62,17.69,17.37,17.62,65600.0
2000-05-30,17.59,17.59,17.12,17.44,16667.0
2000-05-31,17.44,17.44,17.31,17.44,14444.0
2000-06-01,17.31,17.44,17.06,17.19,23644.0
2000-06-02,17.19,17.37,17.0,17.0,13378.0
2000-06-05,16.75,16.94,16.75,16.94,21378.0
2000-06-06,17.0,17.0,16.88,16.94,15378.0
2000-06-07,16.94,16.94,16.94,16.94,10978.0
2000-06-08,16.88,16.94,16.88,16.88,18800.0
2000-06-09,16.88,17.0,16.88,17.0,11778.0
2000-06-12,16.94,17.06,16.88,17.06,9467.0
2000-06-13,17.12,17.25,17.12,17.25,12444.0
2000-06-14,17.25,17.37,17.0,17.37,62800.0
2000-06-15,17.31,17.5,17.12,17.44,52400.0
2000-06-16,17.44,17.44,17.12,17.12,35467.0
2000-06-19,17.25,17.37,17.12,17.37,15244.0
2000-06-20,17.31,17.31,17.06,17.06,4978.0
2000-06-21,17.06,17.37,17.06,17.37,6800.0
2000-06-22,17.25,17.31,17.0,17.06,20667.0
2000-06-23,16.94,17.19,16.94,17.12,16267.0
2000-06-26,17.0,17.0,16.81,17.0,7244.0
2000-06-27,17.06,17.37,16.88,17.0,24267.0
2000-06-28,17.0,17.44,16.88,17.37,39200.0
2000-06-29,17.25,17.44,17.25,17.44,31467.0
2000-06-30,17.31,17.44,16.36,16.38,54578.0
2000-07-03,16.5,17.25,16.5,17.25,4844.0
2000-07-05,17.0,17.19,17.0,17.13,8978.0
2000-07-06,17.25,17.38,17.25,17.38,18044.0
2000-07-07,17.38,17.44,17.25,17.31,6178.0
2000-07-10,17.25,17.44,17.25,17.25,14400.0
2000-07-11,17.25,17.44,17.25,17.44,32578.0
2000-07-12,17.31,17.31,17.0,17.19,11200.0
2000-07-13,17.25,17.44,17.25,17.38,41778.0
2000-07-14,17.38,17.38,17.38,17.38,8400.0
2000-07-17,17.31,17.38,17.13,17.13,9467.0
2000-07-18,17.0,17.06,16.88,16.94,11867.0
2000-07-19,16.88,16.88,16.63,16.69,10267.0
2000-07-20,16.56,16.88,16.5,16.5,35867.0
2000-07-21,16.5,16.5,15.81,15.94,38400.0
2000-07-24,15.94,16.06,15.81,15.81,20978.0
2000-07-25,15.81,15.94,15.69,15.81,14578.0
2000-07-26,15.75,15.94,15.75,15.88,12844.0
2000-07-27,15.94,16.19,15.94,16.19,6178.0
2000-07-28,16.31,16.5,16.19,16.31,13644.0
2000-07-31,16.31,16.38,16.06,16.13,8178.0
2000-08-01,16.31,16.75,16.0,16.75,13067.0
2000-08-02,16.69,17.5,16.69,17.44,13467.0
2000-08-03,17.38,17.5,17.31,17.31,8800.0
2000-08-04,17.44,17.5,17.25,17.38,14267.0
2000-08-07,17.44,17.44,17.06,17.25,4844.0
2000-08-08,17.06,17.13,16.81,16.94,47600.0
2000-08-09,17.06,17.75,17.0,17.56,64267.0
2000-08-10,17.88,18.31,17.81,18.13,21378.0
2000-08-11,17.94,17.94,17.38,17.38,7644.0
2000-08-14,17.44,17.81,17.44,17.81,12578.0
2000-08-15,17.94,18.0,17.63,17.63,20400.0
2000-08-16,17.69,17.75,17.5,17.56,22844.0
2000-08-17,17.5,17.63,17.13,17.38,36400.0
2000-08-18,17.44,17.44,17.19,17.25,313644.0
2000-08-21,17.25,17.25,17.0,17.0,30978.0
2000-08-22,16.81,16.88,16.31,16.31,30400.0
2000-08-23,16.25,16.44,16.06,16.31,27378.0
2000-08-24,16.38,17.0,16.38,16.94,39200.0
2000-08-25,16.94,16.94,16.81,16.88,12978.0
2000-08-28,16.88,16.94,16.75,16.75,23644.0
2000-08-29,16.75,16.94,16.75,16.94,18978.0
2000-08-30,16.94,16.94,16.81,16.81,45067.0
2000-08-31,16.75,16.94,16.75,16.94,35644.0
2000-09-01,16.88,16.94,16.63,16.69,20667.0
2000-09-05,16.81,16.81,16.38,16.75,14667.0
2000-09-06,16.75,16.81,16.69,16.81,17867.0
2000-09-07,16.88,17.0,16.81,17.0,19067.0
2000-09-08,17.06,17.19,16.94,17.19,218400.0
2000-09-11,17.25,17.44,17.25,17.31,23867.0
2000-09-12,17.25,17.38,17.25,17.31,18044.0
2000-09-13,17.25,17.56,17.25,17.56,10667.0
2000-09-14,17.56,18.0,17.56,18.0,18178.0
2000-09-15,17.75,18.06,17.69,17.81,36578.0
2000-09-18,17.69,17.69,17.56,17.56,18800.0
2000-09-19,17.56,17.56,17.44,17.5,21600.0
2000-09-20,17.5,17.63,17.44,17.44,15467.0
2000-09-21,17.44,17.5,17.44,17.44,12667.0
2000-09-22,17.38,17.38,17.25,17.25,12578.0
2000-09-25,17.13,17.25,17.06,17.06,17378.0
2000-09-26,17.06,17.06,16.94,17.0,40044.0
2000-09-27,17.0,17.06,16.94,17.0,6667.0
2000-09-28,17.0,17.31,17.0,17.31,5244.0
2000-09-29,17.25,17.63,17.25,17.31,20000.0
2000-10-02,17.13,17.38,16.88,17.0,20267.0
2000-10-03,16.94,16.94,16.69,16.69,10578.0
2000-10-04,16.69,16.69,16.63,16.69,9244.0
2000-10-05,16.69,17.25,16.69,17.25,13867.0
2000-10-06,17.19,17.19,17.0,17.0,11200.0
2000-10-09,16.88,16.88,16.38,16.56,9600.0
2000-10-10,16.5,16.63,16.19,16.19,5600.0
