date,open,high,low,close,volume
2021-09-22,9.5,10.88,9.3,9.99,7448454.0
2021-09-23,9.9,9.97,9.5,9.7,1223174.0
2021-09-24,9.81,10.35,9.55,10.0,1376455.0
2021-09-27,9.99,10.18,9.52,9.93,1024565.0
2021-09-28,9.72,9.92,9.38,9.49,800544.0
2021-09-29,9.6,9.6,8.88,9.0,851726.0
2021-09-30,8.95,9.2016,8.36,8.56,527414.0
2021-10-01,8.53,8.76,8.01,8.6,893834.0
2021-10-04,8.45,8.67,7.95,8.43,941397.0
2021-10-05,8.43,8.72,8.31,8.47,227064.0
2021-10-06,8.3,8.42,7.975,8.22,327182.0
2021-10-07,8.2,8.35,7.79,8.2,596961.0
2021-10-08,8.06,8.44,8.01,8.21,329143.0
2021-10-11,8.2,8.57,8.2,8.29,192070.0
2021-10-12,8.35,8.49,8.16,8.43,219160.0
2021-10-13,8.5,8.57,8.3,8.4,245012.0
2021-10-14,8.39,8.52,8.33,8.41,132259.0
2021-10-15,8.37,8.64,8.31,8.52,187411.0
2021-10-18,8.75,8.92,8.57,8.92,861001.0
2021-10-19,9.08,9.89,8.99,9.86,1188755.0
2021-10-20,9.88,10.57,9.83,10.47,830398.0
2021-10-21,10.31,10.78,9.95,10.73,727057.0
2021-10-22,10.77,10.77,10.3101,10.32,266755.0
2021-10-25,10.38,10.41,9.69,9.77,499462.0
2021-10-26,9.66,10.2,9.65,9.79,282385.0
2021-10-27,9.66,10.28,9.59,10.0,177380.0
2021-10-28,9.96,10.247,9.86,9.89,178997.0
2021-10-29,9.91,10.18,9.77,10.17,180030.0
2021-11-01,10.11,10.39,10.07,10.14,176543.0
2021-11-02,10.16,10.83,10.16,10.83,240759.0
2021-11-03,10.8,11.58,10.8,11.45,321814.0
2021-11-04,11.5,11.95,11.5,11.88,401989.0
2021-11-05,11.95,11.99,10.99,11.6,572805.0
2021-11-08,11.59,11.97,11.39,11.49,145339.0
2021-11-09,11.28,11.62,11.05,11.36,271298.0
2021-11-10,12.0,12.1,11.38,11.85,593413.0
2021-11-11,11.97,12.42,11.78,12.41,352066.0
2021-11-12,12.45,12.94,12.41,12.73,288293.0
2021-11-15,13.0,14.37,12.99,14.27,411788.0
2021-11-16,13.85,15.23,13.6034,15.19,590939.0
2021-11-17,14.87,15.07,14.6,14.76,579866.0
2021-11-18,14.61,14.9517,14.42,14.42,230225.0
2021-11-19,14.17,14.295,13.22,13.73,319164.0
2021-11-22,13.9,14.16,13.4,13.45,180476.0
