date,open,high,low,close,volume
2025-10-22,9.98,10.0,9.98,9.99,2853107.0
2025-10-23,9.99,10.0,9.99,9.99,82221.0
2025-10-24,10.0,10.0,9.98,9.98,161452.0
2025-10-27,10.0,10.02,9.98,9.99,52445.0
2025-10-28,9.99,10.0,9.99,10.0,65608.0
2025-10-29,9.98,10.0099,9.98,9.995,124210.0
2025-10-30,10.0099,10.01,9.99,10.0,61533.0
2025-10-31,10.01,10.01,10.0044,10.0044,19954.0
2025-11-03,9.98,10.02,9.98,10.02,961.0
2025-11-04,10.01,10.01,10.0001,10.01,7957.0
2025-11-05,9.991,10.02,9.991,10.01,7965.0
2025-11-06,10.02,10.04,10.0,10.01,161545.0
2025-11-07,10.02,10.02,10.02,10.02,642.0
2025-11-10,10.03,10.03,10.03,10.03,300.0
2025-11-11,10.03,10.03,10.03,10.03,0.0
2025-11-12,10.0,10.05,9.99,10.01,2797.0
2025-11-13,10.0149,10.05,10.0149,10.02,2572.0
2025-11-14,10.02,10.02,10.02,10.02,0.0
2025-11-17,10.04,10.04,10.04,10.04,256.0
2025-11-18,10.04,10.04,10.04,10.04,154.0
2025-11-19,10.1,10.1,10.03,10.03,28545.0
2025-11-20,10.048,10.05,10.02,10.04,149172.0
2025-11-21,10.04,10.04,10.04,10.04,61.0
2025-11-24,10.1,10.1,10.03,10.08,10253.0
2025-11-25,10.12,10.13,10.1,10.13,7557.0
2025-11-26,10.15,10.15,10.15,10.15,308.0
2025-11-28,10.15,10.2,10.1401,10.2,9848.0
2025-12-01,10.17,10.17,10.15,10.15,25594.0
2025-12-02,10.175,10.2,10.15,10.2,25341.0
2025-12-03,10.21,10.21,10.21,10.21,424.0
2025-12-04,10.17,10.23,10.14,10.23,6030.0
2025-12-05,10.23,10.23,10.23,10.23,0.0
2025-12-08,10.15,10.2,10.12,10.15,1098.0
2025-12-09,10.16,10.16,10.16,10.16,26413.0
2025-12-10,10.25,10.25,10.25,10.25,120.0
2025-12-11,10.25,10.25,10.25,10.25,0.0
2025-12-12,10.486,10.84,10.16,10.25,3300.0
2025-12-15,10.25,10.25,10.25,10.25,0.0
2025-12-16,10.25,10.25,10.25,10.25,142.0
2025-12-17,10.2,10.2,10.2,10.2,60000.0
2025-12-18,10.2,10.2,10.2,10.2,0.0
2025-12-19,10.2,10.2,10.2,10.2,0.0
2025-12-22,10.28,10.28,10.26,10.27,9800.0
2025-12-23,10.27,10.27,10.27,10.27,0.0
2025-12-24,10.27,10.27,10.27,10.27,0.0
2025-12-26,10.27,10.27,10.27,10.27,0.0
2025-12-29,10.27,10.27,10.27,10.27,0.0
2025-12-30,10.34,10.3799,10.34,10.34,845.0
2025-12-31,10.38,10.45,10.38,10.45,585.0
2026-01-02,10.45,10.45,10.45,10.45,1500.0
2026-01-05,10.9,10.9,10.9,10.9,110.0
2026-01-06,10.26,10.505,10.26,10.505,3433.0
2026-01-07,10.7,10.7,10.7,10.7,250.0
2026-01-08,10.7,10.7,10.7,10.7,0.0
2026-01-09,10.7,10.7,10.7,10.7,0.0
2026-01-12,10.48,10.67,10.47,10.67,793.0
2026-01-13,10.65,10.65,10.63,10.63,626.0
2026-01-14,10.55,10.55,10.55,10.55,528.0
2026-01-15,10.56,10.56,10.5,10.5,2749.0
2026-01-16,10.7,10.75,10.5,10.5,5214.0
2026-01-20,10.52,10.6,10.52,10.54,2766.0
2026-01-21,10.71,10.72,10.71,10.71,300.0
2026-01-22,10.537,10.62,10.537,10.537,500.0
2026-01-23,10.6282,10.6282,10.55,10.552,800.0
2026-01-26,10.54,10.7185,10.52,10.62,7101.0
2026-01-27,10.63,10.63,10.63,10.63,700.0
2026-01-28,10.65,10.65,10.65,10.65,300.0
2026-01-29,10.61,10.63,10.61,10.63,200.0
2026-01-30,10.63,10.63,10.63,10.63,0.0
2026-02-02,10.63,10.63,10.63,10.63,2.0
2026-02-03,10.63,10.63,10.63,10.63,0.0
2026-02-04,10.63,10.63,10.63,10.63,0.0
2026-02-05,10.63,10.63,10.63,10.63,0.0
2026-02-06,10.63,10.63,10.63,10.63,0.0
2026-02-09,10.63,10.63,10.63,10.63,0.0
2026-02-10,10.63,10.63,10.63,10.63,0.0
2026-02-11,10.63,10.63,10.63,10.63,0.0
2026-02-12,10.63,10.63,10.63,10.63,0.0
2026-02-13,10.63,10.63,10.63,10.63,0.0
2026-02-17,10.4,10.49,10.4,10.49,2082.0
2026-02-18,10.48,10.5,10.48,10.5,4855.0
2026-02-19,10.5,10.5,10.5,10.5,380.0
2026-02-20,10.7,11.11,10.7,11.11,376.0
2026-02-23,11.11,11.11,11.11,11.11,0.0
2026-02-24,11.11,11.11,11.11,11.11,0.0
2026-02-25,11.11,11.11,11.11,11.11,0.0
2026-02-26,11.11,11.11,11.11,11.11,0.0
2026-02-27,11.11,11.11,11.11,11.11,0.0
2026-03-02,11.11,11.11,11.11,11.11,0.0
2026-03-03,11.05,11.05,11.05,11.05,300.0
2026-03-04,11.05,11.05,11.05,11.05,0.0
2026-03-05,11.05,11.05,11.05,11.05,0.0
2026-03-06,11.05,11.05,11.05,11.05,0.0
2026-03-09,11.05,11.05,11.05,11.05,63.0
2026-03-10,10.4,10.4,10.4,10.4,106.0
2026-03-11,10.4,10.5,10.4,10.5,2039.0
2026-03-12,10.5,10.5,10.5,10.5,0.0
2026-03-13,10.5,10.5,10.5,10.5,0.0
2026-03-16,10.5,10.5,10.5,10.5,0.0
2026-03-17,10.5,10.5,10.5,10.5,6.0
2026-03-18,10.5,10.5,10.5,10.5,0.0
2026-03-19,10.5,10.5,10.5,10.5,0.0
2026-03-20,10.52,10.52,10.51,10.51,212.0
2026-03-23,10.51,10.51,10.51,10.51,0.0
2026-03-24,10.51,10.51,10.51,10.51,0.0
2026-03-25,10.51,10.51,10.51,10.51,0.0
2026-03-26,10.51,10.51,10.51,10.51,0.0
2026-03-27,10.51,10.51,10.51,10.51,7.0
2026-03-30,10.51,10.51,10.51,10.51,0.0
2026-03-31,10.51,10.51,10.51,10.51,0.0
2026-04-01,10.51,10.51,10.51,10.51,0.0
2026-04-02,10.51,10.51,10.51,10.51,0.0
2026-04-06,10.51,10.51,10.51,10.51,0.0
2026-04-07,10.51,10.51,10.51,10.51,0.0
2026-04-08,10.51,10.51,10.51,10.51,0.0
2026-04-09,10.51,10.51,10.51,10.51,0.0
2026-04-10,10.51,10.51,10.51,10.51,0.0
2026-04-13,10.51,10.51,10.51,10.51,0.0
2026-04-14,10.51,10.51,10.51,10.51,0.0
2026-04-15,10.51,10.51,10.51,10.51,0.0
