date,open,high,low,close,volume
2025-11-19,9.9,9.92,9.9,9.919,14846.0
2025-11-20,9.9087,9.92,9.9,9.9,477819.0
2025-11-21,9.85,9.92,9.85,9.915,78233.0
2025-11-24,9.92,9.95,9.92,9.92,32734.0
2025-11-25,9.925,9.95,9.92,9.93,2737.0
2025-11-26,9.92,9.95,9.91,9.91,254734.0
2025-11-28,9.95,9.95,9.9,9.9,994.0
2025-12-01,9.91,9.91,9.9,9.9,170496.0
2025-12-02,9.9,9.91,9.9,9.91,1543.0
2025-12-03,9.91,9.91,9.9,9.9,66727.0
2025-12-04,9.9,9.9,9.9,9.9,3936.0
2025-12-05,9.9,9.9,9.9,9.9,5024.0
2025-12-08,9.9,9.9,9.9,9.9,1506.0
2025-12-09,9.91,9.91,9.895,9.9,208281.0
2025-12-10,9.905,9.91,9.905,9.91,5034.0
2025-12-11,9.905,9.91,9.9,9.91,6017.0
2025-12-12,9.91,9.91,9.91,9.91,72.0
2025-12-15,9.91,9.91,9.91,9.91,37468.0
2025-12-16,9.9038,9.91,9.9038,9.9099,7650.0
2025-12-17,9.9,9.91,9.9,9.91,356623.0
2025-12-18,9.91,9.91,9.91,9.91,2.0
2025-12-19,9.91,9.91,9.9,9.91,4505.0
2025-12-22,9.91,9.91,9.91,9.91,2.0
2025-12-23,9.91,9.91,9.9,9.9,602.0
2025-12-24,9.9,9.9,9.9,9.9,2.0
2025-12-26,9.91,9.93,9.91,9.93,99121.0
2025-12-29,9.93,9.95,9.92,9.93,5454.0
2025-12-30,9.93,9.93,9.93,9.93,1937.0
2025-12-31,9.93,9.94,9.93,9.93,16632.0
2026-01-02,9.94,9.95,9.935,9.95,35903.0
2026-01-05,9.95,9.95,9.94,9.94,51139.0
2026-01-06,9.94,9.94,9.94,9.94,27054.0
2026-01-07,9.94,9.94,9.94,9.94,0.0
2026-01-08,9.96,9.96,9.96,9.96,100.0
2026-01-09,9.96,9.96,9.96,9.96,0.0
2026-01-12,9.96,9.96,9.96,9.96,0.0
2026-01-13,9.97,9.97,9.97,9.97,400.0
2026-01-14,9.97,9.97,9.97,9.97,0.0
2026-01-15,9.96,9.96,9.95,9.95,424.0
2026-01-16,9.955,9.97,9.955,9.97,273.0
2026-01-20,9.9734,9.98,9.9734,9.98,5800.0
2026-01-21,9.98,9.98,9.98,9.98,1053.0
2026-01-22,10.04,10.04,10.04,10.04,201.0
2026-01-23,10.0,10.0,10.0,10.0,8250.0
2026-01-26,9.99,10.07,9.99,10.07,100438.0
2026-01-27,10.05,10.05,10.02,10.02,1908.0
2026-01-28,10.01,10.01,9.99,10.01,62132.0
2026-01-29,9.99,10.005,9.99,10.005,26879.0
2026-01-30,10.0,10.0,10.0,10.0,86978.0
2026-02-02,9.99,9.99,9.99,9.99,50253.0
2026-02-03,10.0,10.0,10.0,10.0,1101.0
2026-02-04,10.05,10.05,10.0,10.0,183687.0
2026-02-05,10.0,10.0,10.0,10.0,3.0
2026-02-06,10.0,10.0,10.0,10.0,429.0
2026-02-09,10.003,10.003,10.003,10.003,586.0
2026-02-10,10.0,10.0053,10.0,10.0053,997.0
2026-02-11,10.01,10.01,10.01,10.01,197.0
2026-02-12,10.01,10.01,10.01,10.01,38.0
2026-02-13,10.008,10.02,9.99,9.99,320277.0
2026-02-17,9.99,9.99,9.99,9.99,10147.0
2026-02-18,9.98,9.98,9.98,9.98,4114.0
2026-02-19,9.98,9.98,9.98,9.98,0.0
2026-02-20,9.98,9.98,9.98,9.98,31.0
2026-02-23,9.98,9.98,9.98,9.98,8.0
2026-02-24,9.98,9.98,9.98,9.98,7240.0
2026-02-25,9.98,9.98,9.98,9.98,4.0
2026-02-26,9.98,9.98,9.98,9.98,1.0
2026-02-27,9.98,9.98,9.98,9.98,0.0
2026-03-02,9.9801,9.9801,9.9801,9.9801,8800.0
2026-03-03,9.9801,9.9801,9.9801,9.9801,0.0
2026-03-04,9.9801,9.9801,9.9801,9.9801,0.0
2026-03-05,9.9801,9.9801,9.9801,9.9801,0.0
2026-03-06,9.9801,9.9801,9.9801,9.9801,0.0
2026-03-09,10.03,10.03,10.03,10.03,114.0
2026-03-10,10.0,10.0,10.0,10.0,413.0
2026-03-11,9.96,10.0,9.96,10.0,866.0
2026-03-12,10.0,10.0,9.99,9.99,47200.0
2026-03-13,9.99,9.99,9.99,9.99,1.0
2026-03-16,9.99,9.99,9.99,9.99,6.0
2026-03-17,10.0,10.0,10.0,10.0,4642.0
2026-03-18,10.02,10.02,10.02,10.02,2617.0
2026-03-19,10.01,10.01,10.0,10.01,1464.0
2026-03-20,10.01,10.01,10.01,10.01,25.0
2026-03-23,10.01,10.01,10.01,10.01,23.0
2026-03-24,10.01,10.01,10.01,10.01,8.0
2026-03-25,9.98,9.98,9.98,9.98,269.0
2026-03-26,9.98,9.98,9.98,9.98,16.0
2026-03-27,9.98,9.98,9.98,9.98,1.0
2026-03-30,9.98,9.98,9.98,9.98,25.0
2026-03-31,9.98,9.98,9.98,9.98,45.0
2026-04-01,9.98,9.98,9.98,9.98,3.0
2026-04-02,9.98,9.98,9.98,9.98,13.0
2026-04-06,9.98,9.98,9.98,9.98,12.0
2026-04-07,10.0,10.0,10.0,10.0,822.0
2026-04-08,10.0,10.0,10.0,10.0,0.0
2026-04-09,10.0,10.0,10.0,10.0,10.0
2026-04-10,10.0,10.0,10.0,10.0,23.0
2026-04-13,10.03,10.03,10.03,10.03,29.0
2026-04-14,10.0,10.0,10.0,10.0,6.0
2026-04-15,10.0,10.0,10.0,10.0,67.0
2026-04-16,10.0,10.0,10.0,10.0,5.0
2026-04-17,10.03,10.05,10.03,10.04,8812.0
2026-04-20,10.04,10.04,10.04,10.04,20.0
2026-04-21,10.04,10.04,10.04,10.04,0.0
2026-04-22,10.05,10.05,10.05,10.05,380.0
2026-04-23,10.03,10.04,10.03,10.04,15015.0
