date,open,high,low,close,volume
2021-12-21,14.85,18.2,8.81,10.5,102883.0
2021-12-22,11.0,14.95,10.97,12.625,186944.0
2021-12-23,12.62,13.447,11.8263,11.9741,54059.0
2021-12-27,12.0,12.5,10.6275,10.97,67378.0
2021-12-28,11.25,11.2504,9.5,9.68,76257.0
2021-12-29,9.68,9.8378,9.01,9.1,58453.0
2021-12-30,9.15,10.5871,8.5765,10.48,65032.0
2021-12-31,11.0,11.0,10.025,10.3745,11600.0
2022-01-03,11.0,12.8576,10.5,10.5981,51555.0
2022-01-04,10.75,11.1588,10.3,10.685,30903.0
2022-01-05,10.94,11.0,10.32,10.38,26447.0
2022-01-06,10.39,10.6,10.0,10.5,12739.0
2022-01-07,10.01,10.94,10.01,10.75,40544.0
2022-01-10,10.69,10.7,9.704,10.3,48073.0
2022-01-11,10.3,10.3,9.2,9.9,46595.0
2022-01-12,9.89,9.89,9.22,9.345,46011.0
2022-01-13,9.35,9.35,8.16,8.75,56850.0
2022-01-14,8.75,9.04,8.5,8.99,26018.0
2022-01-18,8.89,8.89,7.13,8.19,131893.0
2022-01-19,8.13,8.415,8.0,8.15,31104.0
2022-01-20,8.07,8.4,7.68,8.23,34168.0
2022-01-21,8.15,8.15,7.5472,7.97,32960.0
2022-01-24,7.9,7.91,6.7578,7.17,56510.0
2022-01-25,7.23,7.5,7.01,7.24,31356.0
2022-01-26,7.21,7.7119,7.21,7.4,23898.0
2022-01-27,7.51,7.549,7.0,7.28,25222.0
2022-01-28,7.15,7.8,7.15,7.8,29763.0
2022-01-31,8.06,8.45,7.8484,8.17,34670.0
2022-02-01,8.45,8.895,8.21,8.82,35273.0
2022-02-02,9.67,9.67,9.0139,9.3,26237.0
2022-02-03,9.1,9.2186,8.5759,8.7825,13564.0
2022-02-04,8.98,9.04,8.422,8.9,17794.0
2022-02-07,8.8,8.88,8.2983,8.42,20190.0
2022-02-08,8.4,9.0,7.8,8.14,71654.0
2022-02-09,8.14,8.6613,8.02,8.1,50237.0
2022-02-10,8.02,8.14,7.77,7.77,44127.0
2022-02-11,7.77,8.0282,7.7,7.9,21884.0
2022-02-14,7.9,7.9,6.4027,6.6,118803.0
2022-02-15,6.7,7.38,6.61,7.0,70939.0
2022-02-16,6.81,7.0,6.6,6.73,30421.0
2022-02-17,6.73,6.9,6.2339,6.3,41758.0
2022-02-18,6.26,6.59,6.1,6.59,38725.0
2022-02-22,6.0,6.0,3.6301,4.565,321603.0
2022-02-23,4.6,4.77,3.82,4.12,102740.0
2022-02-24,3.8,3.8,3.5,3.64,129494.0
2022-02-25,3.7,4.28,3.651,4.25,113728.0
2022-02-28,4.2,4.5,3.97,4.23,76812.0
2022-03-01,4.18,4.35,3.84,3.85,55461.0
2022-03-02,3.89,4.015,3.66,3.8,54123.0
2022-03-03,3.8,3.915,3.45,3.56,69412.0
2022-03-04,3.56,3.56,2.9275,2.98,93934.0
2022-03-07,3.0,3.2,2.69,2.7,145177.0
2022-03-08,2.63,2.86,2.275,2.4201,302970.0
2022-03-09,2.5,2.7145,2.5,2.7,153385.0
2022-03-10,2.68,2.7069,2.36,2.41,109690.0
2022-03-11,2.41,2.51,2.3,2.33,111837.0
2022-03-14,2.3,2.47,2.2694,2.28,127257.0
2022-03-15,2.3,2.505,2.2,2.32,89251.0
2022-03-16,2.29,2.325,2.2,2.2,91941.0
2022-03-17,2.2,2.23,2.03,2.07,109908.0
2022-03-18,2.03,2.33,1.92,1.93,239862.0
2022-03-21,2.0,2.6,2.0,2.27,423073.0
2022-03-22,2.43,2.65,2.36,2.38,259152.0
2022-03-23,2.48,2.79,2.43,2.48,174918.0
2022-03-24,2.58,2.75,2.27,2.27,83885.0
2022-03-25,2.31,2.32,2.11,2.13,98074.0
2022-03-28,2.1,2.2,2.0,2.0,129017.0
2022-03-29,2.0,2.16,2.0,2.02,136047.0
2022-03-30,2.02,2.12,2.0,2.09,183935.0
2022-03-31,2.14,2.14,2.0,2.04,145940.0
2022-04-01,2.15,2.15,2.0372,2.07,28828.0
2022-04-04,2.12,2.24,2.03,2.2,256496.0
2022-04-05,2.16,2.21,2.1,2.11,47398.0
2022-04-06,2.13,2.15,1.98,2.0,109699.0
2022-04-07,2.0,2.03,1.91,1.94,117227.0
2022-04-08,1.94,1.97,1.82,1.9,92183.0
2022-04-11,1.9,2.05,1.815,1.82,86541.0
2022-04-12,1.82,1.92,1.75,1.87,71756.0
2022-04-13,1.9,1.99,1.9,1.97,73515.0
2022-04-14,1.93,2.0,1.93,1.98,26954.0
2022-04-18,1.96,2.0,1.87,1.88,16913.0
2022-04-19,1.93,2.0,1.8801,1.94,43681.0
2022-04-20,1.95,2.0,1.89,1.99,42038.0
2022-04-21,1.99,2.04,1.98,2.0,52829.0
2022-04-22,2.0,2.09,1.985,2.02,49631.0
2022-04-25,1.95,1.95,1.82,1.84,80701.0
2022-04-26,1.85,1.93,1.55,1.5983,94293.0
2022-04-27,1.6,1.74,1.51,1.57,61827.0
2022-04-28,1.62,1.64,1.51,1.57,88434.0
2022-04-29,1.57,1.6,1.53,1.55,33425.0
2022-05-02,1.51,1.54,1.45,1.5,92929.0
2022-05-03,1.5,1.63,1.46,1.59,53313.0
2022-05-04,1.56,1.64,1.45,1.5,53017.0
2022-05-05,1.5,1.5103,1.42,1.48,40850.0
2022-05-06,1.42,1.44,1.4,1.42,27577.0
2022-05-09,1.4,1.41,1.29,1.3,59262.0
2022-05-10,1.27,1.35,1.27,1.29,26195.0
2022-05-11,1.25,1.28,1.23,1.25,27789.0
2022-05-12,1.26,1.272,1.11,1.11,44918.0
2022-05-13,1.11,1.23,1.1,1.23,42740.0
2022-05-16,1.25,1.29,1.25,1.25,44709.0
2022-05-17,1.35,1.45,1.35,1.42,43861.0
2022-05-18,1.4,1.52,1.4,1.45,36405.0
2022-05-19,1.54,1.65,1.54,1.64,46976.0
2022-05-20,1.65,2.4,1.65,2.05,712176.0
2022-05-23,2.2,2.55,2.15,2.38,277825.0
2022-05-24,2.52,2.8,2.35,2.35,227396.0
2022-05-25,2.36,2.44,2.05,2.07,121978.0
2022-05-26,2.17,2.17,2.03,2.06,51289.0
2022-05-27,2.15,3.3,2.15,2.87,3046845.0
2022-05-31,2.62,3.38,2.6068,2.83,497612.0
2022-06-01,2.8,2.8,2.3,2.5,243094.0
2022-06-02,2.5,3.05,2.4,2.94,294958.0
2022-06-03,2.95,3.15,2.75,2.99,115215.0
2022-06-06,3.01,3.09,2.65,2.73,68353.0
2022-06-07,2.75,3.0,2.7,2.87,71765.0
2022-06-08,2.9,2.93,2.51,2.72,94671.0
2022-06-09,2.63,2.63,2.21,2.23,194839.0
2022-06-10,2.2,2.2,1.96,2.02,109859.0
2022-06-13,2.0,2.0,1.68,1.71,120052.0
2022-06-14,1.68,1.85,1.62,1.81,64275.0
2022-06-15,1.91,1.99,1.7,1.73,84738.0
2022-06-16,1.7,1.7215,1.54,1.6,65781.0
2022-06-17,1.6,1.76,1.59,1.72,72348.0
2022-06-21,1.78,1.8,1.74,1.78,38664.0
2022-06-22,1.76,1.86,1.76,1.82,104353.0
2022-06-23,1.8,1.87,1.76,1.76,41828.0
2022-06-24,1.77,1.8499,1.76,1.79,59329.0
2022-06-27,1.82,1.82,1.76,1.77,41883.0
2022-06-28,1.77,1.92,1.76,1.84,75402.0
2022-06-29,1.81,1.84,1.6,1.63,53102.0
2022-06-30,1.61,1.61,1.22,1.32,178261.0
2022-07-01,1.31,1.32,1.25,1.3,60073.0
2022-07-05,1.26,1.26,1.16,1.22,64309.0
2022-07-06,1.22,1.33,1.22,1.26,51106.0
2022-07-07,1.3,1.34,1.22,1.28,62565.0
2022-07-08,1.31,1.47,1.25,1.35,83567.0
2022-07-11,1.3,1.362,1.28,1.32,41911.0
2022-07-12,1.3,1.33,1.22,1.24,67049.0
2022-07-13,1.22,1.33,1.22,1.28,15812.0
2022-07-14,1.28,1.34,1.28,1.31,10678.0
2022-07-15,1.31,1.31,1.16,1.18,157887.0
2022-07-18,1.22,1.23,1.11,1.11,61512.0
2022-07-19,1.16,1.16,1.11,1.12,39657.0
2022-07-20,1.12,1.15,1.1,1.11,30091.0
2022-07-21,1.14,1.15,1.06,1.11,46867.0
2022-07-22,1.13,1.15,1.1,1.11,43612.0
2022-07-25,1.09,1.13,1.08,1.09,61976.0
2022-07-26,1.15,1.19,1.1,1.16,86873.0
2022-07-27,1.21,1.59,1.21,1.27,1027574.0
2022-07-28,1.32,1.35,1.11,1.21,206506.0
2022-07-29,1.29,1.29,1.2,1.2,66422.0
2022-08-01,1.12,1.24,1.12,1.22,151418.0
2022-08-02,1.3,1.3,1.17,1.175,115981.0
2022-08-03,1.25,1.25,1.14,1.15,83347.0
2022-08-04,1.18,1.23,1.15,1.2,55891.0
