date,open,high,low,close,volume
1999-11-01,5.5,5.938,5.5,5.938,4160.0
1999-11-02,6.078,6.625,6.0,6.438,4080.0
1999-11-03,6.0,6.125,6.0,6.125,4960.0
1999-11-04,6.13,6.13,6.13,6.13,0.0
1999-11-05,6.078,6.078,6.0,6.0,3040.0
1999-11-08,6.0,6.0,6.0,6.0,0.0
1999-11-09,6.0,6.0,6.0,6.0,0.0
1999-11-10,5.875,5.875,5.875,5.875,400.0
1999-11-11,5.75,5.75,5.75,5.75,80.0
1999-11-12,6.0,6.25,6.0,6.25,2160.0
1999-11-15,6.5,6.5,6.0,6.0,3360.0
1999-11-16,6.25,6.25,6.25,6.25,3760.0
1999-11-17,6.25,6.25,6.0,6.0,11760.0
1999-11-18,6.125,6.25,6.125,6.25,3440.0
1999-11-19,6.25,6.25,6.25,6.25,0.0
1999-11-22,6.375,6.375,6.0,6.0,800.0
1999-11-23,6.0,6.0,6.0,6.0,0.0
1999-11-24,6.0,6.375,6.0,6.375,160.0
1999-11-26,6.37,6.37,6.37,6.37,0.0
1999-11-29,6.37,6.37,6.37,6.37,0.0
1999-11-30,6.0,6.0,6.0,6.0,160.0
1999-12-01,6.0,6.375,6.0,6.375,240.0
1999-12-02,5.875,5.875,5.875,5.875,3760.0
1999-12-03,5.875,6.063,5.875,6.063,3680.0
1999-12-06,6.25,6.25,6.063,6.063,2480.0
1999-12-07,6.063,6.063,5.875,6.063,2560.0
1999-12-08,6.0,6.125,6.0,6.0,10240.0
1999-12-09,6.0,6.0,6.0,6.0,0.0
1999-12-10,6.0,6.0,6.0,6.0,0.0
1999-12-13,6.0,6.0,5.875,5.875,1600.0
1999-12-14,5.625,5.625,5.625,5.625,480.0
1999-12-15,6.0,6.0,6.0,6.0,160.0
1999-12-16,5.75,5.75,5.438,5.75,4000.0
1999-12-17,5.625,5.625,5.375,5.375,1840.0
1999-12-20,5.5,5.5,5.125,5.125,4960.0
1999-12-21,5.125,5.375,5.125,5.25,6080.0
1999-12-22,5.25,5.25,5.25,5.25,160.0
1999-12-23,5.375,5.5,5.375,5.5,18640.0
1999-12-27,5.75,6.0,5.375,5.438,14960.0
1999-12-28,5.375,5.75,5.375,5.75,28000.0
1999-12-29,5.75,6.0,5.5,5.5,800.0
1999-12-30,6.0,6.0,5.313,5.875,6880.0
1999-12-31,5.5,6.125,5.5,6.125,6240.0
2000-01-03,6.0,6.0,6.0,6.0,1600.0
2000-01-04,6.5,6.5,6.5,6.5,160.0
2000-01-05,6.5,6.5,6.5,6.5,1840.0
2000-01-06,5.75,6.0,5.75,5.938,7680.0
2000-01-07,5.938,6.5,5.938,5.938,880.0
2000-01-10,6.5,6.5,6.5,6.5,1040.0
2000-01-11,6.0,6.0,5.75,5.75,4880.0
2000-01-12,6.25,6.25,5.5,5.5,880.0
2000-01-13,6.438,6.438,5.5,6.0,10240.0
2000-01-14,6.5,6.5,5.625,6.0,2800.0
2000-01-18,5.625,5.625,5.625,5.625,400.0
2000-01-19,5.63,5.63,5.63,5.63,0.0
2000-01-20,5.63,5.63,5.63,5.63,0.0
2000-01-21,6.0,6.5,6.0,6.125,21360.0
2000-01-24,6.375,6.375,6.125,6.25,5040.0
2000-01-25,6.0,6.0,5.875,5.875,880.0
2000-01-26,5.875,6.125,5.625,5.625,480.0
2000-01-27,5.625,5.625,5.5,5.625,9600.0
2000-01-28,5.75,5.75,5.75,5.75,1280.0
2000-01-31,6.25,6.5,6.25,6.25,22640.0
2000-02-01,6.25,6.25,6.25,6.25,0.0
2000-02-02,6.5,6.5,6.5,6.5,80.0
2000-02-03,6.5,6.5,6.0,6.5,2960.0
2000-02-04,6.0,6.25,6.0,6.25,480.0
2000-02-07,6.0,6.0,5.75,6.0,2160.0
2000-02-08,6.25,6.25,6.25,6.25,2880.0
2000-02-09,6.25,6.5,6.25,6.25,7200.0
2000-02-10,6.25,6.25,6.25,6.25,400.0
2000-02-11,6.25,6.25,6.25,6.25,1600.0
2000-02-14,6.266,6.266,6.0,6.0,3360.0
2000-02-15,6.0,6.0,6.0,6.0,1440.0
2000-02-16,6.281,6.281,6.25,6.25,1200.0
2000-02-17,6.25,6.25,6.25,6.25,0.0
2000-02-18,6.125,6.125,6.0,6.0,17600.0
2000-02-22,6.0,6.25,6.0,6.0,4160.0
2000-02-23,6.0,6.125,6.0,6.0,11760.0
2000-02-24,6.0,6.0,6.0,6.0,0.0
2000-02-25,6.25,6.25,6.0,6.125,3440.0
2000-02-28,6.125,6.125,5.281,5.281,4400.0
2000-02-29,5.531,6.0,5.5,6.0,6560.0
2000-03-01,5.625,6.0,5.5,6.0,5440.0
2000-03-02,6.0,6.0,6.0,6.0,0.0
2000-03-03,6.0,6.0,5.625,5.906,2560.0
2000-03-06,6.0,6.0,5.906,5.906,3440.0
2000-03-07,5.625,6.0,5.625,6.0,12800.0
2000-03-08,6.0,6.0,6.0,6.0,800.0
2000-03-09,6.0,6.25,6.0,6.25,2400.0
2000-03-10,6.25,6.375,6.25,6.375,1200.0
2000-03-13,6.375,7.0,6.375,7.0,32080.0
2000-03-14,7.0,7.25,6.688,6.688,13680.0
2000-03-15,7.063,7.063,6.563,6.563,3360.0
2000-03-16,6.56,6.56,6.56,6.56,0.0
2000-03-17,6.625,6.625,6.625,6.625,480.0
2000-03-20,7.5,7.5,7.5,7.5,640.0
2000-03-21,7.25,7.25,7.0,7.0,31200.0
2000-03-22,7.0,7.0,6.875,6.875,640.0
2000-03-23,6.875,6.875,6.875,6.875,1200.0
2000-03-24,6.88,6.88,6.88,6.88,0.0
2000-03-27,6.625,6.875,6.5,6.875,4640.0
2000-03-28,6.5,7.25,6.5,7.25,1600.0
2000-03-29,6.75,6.75,6.375,6.625,1440.0
2000-03-30,7.125,7.125,6.625,6.75,13440.0
2000-03-31,6.75,7.0,6.75,7.0,3760.0
2000-04-03,7.0,7.0,7.0,7.0,0.0
2000-04-04,7.0,7.0,6.75,6.75,7280.0
2000-04-05,6.5,6.5,6.5,6.5,1680.0
2000-04-06,6.375,6.375,6.375,6.375,80.0
2000-04-07,6.875,7.063,5.0,6.25,21440.0
2000-04-10,6.25,6.375,6.125,6.375,2400.0
2000-04-11,6.625,6.625,6.5,6.5,1200.0
2000-04-12,6.5,6.5,6.375,6.375,2480.0
2000-04-13,6.125,6.125,5.875,5.875,11280.0
2000-04-14,5.875,5.875,5.75,5.75,5200.0
2000-04-17,5.75,5.75,5.75,5.75,640.0
2000-04-18,5.75,5.75,5.375,5.375,5760.0
2000-04-19,5.875,5.875,5.875,5.875,1040.0
2000-04-20,5.5,5.5,5.5,5.5,5440.0
2000-04-24,5.5,5.5,5.5,5.5,0.0
2000-04-25,6.0,7.25,5.0,5.188,10640.0
2000-04-26,6.375,6.375,5.125,6.0,2400.0
2000-04-27,6.0,6.0,6.0,6.0,0.0
2000-04-28,6.0,6.0,6.0,6.0,0.0
2000-05-01,5.594,5.594,5.5,5.5,3040.0
2000-05-02,5.5,5.625,5.5,5.625,2240.0
2000-05-03,5.625,5.625,5.563,5.563,880.0
2000-05-04,5.5,5.563,5.5,5.5,3360.0
2000-05-05,5.625,6.0,5.625,6.0,4080.0
2000-05-08,6.0,6.0,5.625,5.625,1200.0
2000-05-09,5.75,5.75,5.75,5.75,480.0
2000-05-10,5.75,5.75,5.75,5.75,0.0
2000-05-11,5.75,5.75,5.75,5.75,0.0
2000-05-12,5.75,5.875,5.5,5.875,3040.0
2000-05-15,5.88,5.88,5.88,5.88,0.0
2000-05-16,6.375,6.625,6.375,6.625,14000.0
2000-05-17,6.063,6.625,6.063,6.625,240.0
2000-05-18,6.625,6.625,6.625,6.625,2800.0
2000-05-19,6.625,6.625,6.625,6.625,1760.0
2000-05-22,6.813,6.813,5.5,6.0,15680.0
2000-05-23,5.563,6.0,5.563,6.0,5680.0
2000-05-24,6.0,6.0,6.0,6.0,0.0
2000-05-25,6.0,6.0,6.0,6.0,4800.0
2000-05-26,6.0,6.0,6.0,6.0,0.0
