date,open,high,low,close,volume
2012-10-10,6.71,6.85,6.0,6.06,3566700.0
2012-10-11,6.06,6.44,6.0,6.08,416700.0
2012-10-12,6.05,6.3,6.01,6.23,155200.0
2012-10-15,6.35,6.4,6.05,6.15,156700.0
2012-10-16,6.15,6.3,5.94,6.01,173000.0
2012-10-17,6.0,6.08,5.99,6.0,113600.0
2012-10-18,6.2,6.2,5.5501,6.0,247300.0
2012-10-19,6.08,6.08,5.99,6.0,132900.0
2012-10-22,6.47,6.47,6.1,6.105,304400.0
2012-10-23,6.18,6.18,6.0,6.0,75000.0
2012-10-24,6.01,6.1,6.01,6.02,106700.0
2012-10-25,6.1,6.32,6.05,6.24,316400.0
2012-10-26,6.19,6.75,6.19,6.58,206500.0
2012-10-31,6.78,7.4203,6.52,7.22,295300.0
2012-11-01,8.44,8.44,7.42,7.65,247000.0
2012-11-02,7.81,8.2,7.51,7.7,86200.0
2012-11-05,8.1,8.43,7.85,8.23,251700.0
2012-11-06,8.7,8.8358,8.35,8.59,233900.0
2012-11-07,8.6,8.77,8.15,8.19,338700.0
2012-11-08,8.2,8.34,7.67,7.82,169600.0
2012-11-09,7.82,8.23,7.7,8.0,154800.0
2012-11-12,8.0,8.0,7.5201,7.73,76900.0
2012-11-13,7.95,8.0266,7.59,8.0,47100.0
2012-11-14,8.03,8.03,7.65,7.88,41700.0
2012-11-15,7.6,8.5,7.6,8.36,125300.0
2012-11-16,8.35,8.88,8.23,8.71,162400.0
2012-11-19,8.9,9.5,8.89,9.22,291300.0
2012-11-20,9.22,9.49,9.1001,9.31,90600.0
2012-11-21,9.5,9.5,9.05,9.15,92600.0
2012-11-23,9.15,9.45,9.15,9.3,18900.0
2012-11-26,9.3,9.31,8.79,8.92,100800.0
2012-11-27,8.91,9.0,8.65,8.88,61600.0
2012-11-28,8.9353,8.9353,8.65,8.73,71300.0
2012-11-29,8.78,8.9897,8.66,8.7,69800.0
2012-11-30,8.9521,8.9899,8.65,8.71,48400.0
2012-12-03,9.0,9.18,8.67,8.67,51300.0
2012-12-04,8.73,8.975,8.3,8.63,199100.0
2012-12-05,8.56,8.98,8.5,8.98,147600.0
2012-12-06,9.04,9.58,8.6,9.08,425900.0
2012-12-07,9.1,9.22,8.91,9.02,118500.0
2012-12-10,9.23,9.23,8.6,8.72,80800.0
2012-12-11,8.84,9.06,8.65,8.92,87600.0
2012-12-12,8.99,9.45,8.96,9.29,189900.0
2012-12-13,9.41,9.48,9.23,9.35,99200.0
2012-12-14,9.28,10.29,8.74,9.1,497900.0
2012-12-17,9.35,10.098,8.8,10.0,244400.0
2012-12-18,10.0,10.5,9.78,10.36,289700.0
2012-12-19,10.23,10.33,9.95,10.18,152400.0
2012-12-20,10.16,10.32,9.91,10.0,100600.0
2012-12-21,9.85,9.9,9.29,9.76,767600.0
2012-12-24,9.69,9.73,9.2112,9.59,79000.0
2012-12-26,9.62,10.02,9.55,10.0,86200.0
2012-12-27,10.25,10.5,9.96,10.43,154300.0
2012-12-28,10.35,11.169,10.35,11.0,349500.0
2012-12-31,11.0,11.19,10.9,11.15,211200.0
2013-01-02,11.98,11.99,11.26,11.95,264200.0
2013-01-03,12.0,12.05,11.65,11.73,220300.0
2013-01-04,11.73,11.93,11.72,11.88,99500.0
2013-01-07,12.1,12.1,11.8301,11.93,146400.0
2013-01-08,11.9,12.06,11.8101,12.06,130200.0
2013-01-09,12.17,12.98,12.05,12.94,282700.0
2013-01-10,13.14,13.4202,12.5,13.05,251500.0
2013-01-11,13.13,13.25,12.75,12.78,125300.0
2013-01-14,12.79,13.0,12.25,12.81,118500.0
2013-01-15,12.71,12.83,12.56,12.75,89500.0
2013-01-16,12.76,12.8,12.5,12.6,62200.0
2013-01-17,12.75,12.75,11.25,11.45,461300.0
2013-01-18,11.48,11.85,11.37,11.67,157800.0
2013-01-22,11.75,12.38,11.72,12.19,254500.0
2013-01-23,12.15,12.29,11.82,11.99,115700.0
2013-01-24,11.97,12.03,11.5,11.63,130000.0
2013-01-25,11.71,11.9,11.5199,11.84,76800.0
2013-01-28,11.79,11.84,11.5,11.57,78300.0
2013-01-29,11.52,11.715,11.44,11.52,49700.0
2013-01-30,11.6,11.8298,10.07,10.16,510500.0
2013-01-31,10.24,10.33,9.55,9.96,324100.0
2013-02-01,10.02,10.56,10.02,10.48,184700.0
2013-02-04,10.52,10.52,10.1,10.24,75200.0
2013-02-05,10.22,10.29,9.9,9.98,119000.0
2013-02-06,9.95,10.1,9.9,9.99,84700.0
2013-02-07,9.75,10.12,9.65,9.98,253400.0
2013-02-08,9.93,10.0,9.52,9.73,92000.0
2013-02-11,9.73,9.73,9.04,9.42,182300.0
2013-02-12,9.45,9.71,9.39,9.7,86200.0
2013-02-13,9.73,9.84,9.5901,9.68,62400.0
2013-02-14,9.78,9.91,9.5,9.51,112600.0
2013-02-15,9.57,9.82,9.12,9.8,191400.0
2013-02-19,9.85,10.1768,9.71,9.87,46300.0
2013-02-20,9.91,10.01,9.32,9.49,166600.0
2013-02-21,9.44,9.46,9.15,9.31,126700.0
2013-02-22,9.3,9.7,9.29,9.49,141600.0
2013-02-25,9.59,9.96,9.59,9.59,67200.0
2013-02-26,9.68,9.84,9.621,9.74,45600.0
2013-02-27,9.78,9.98,9.63,9.75,64400.0
2013-02-28,9.72,10.09,9.6601,9.96,77800.0
2013-03-01,9.86,10.64,9.8334,10.58,104100.0
2013-03-04,10.59,10.59,9.98,10.15,129000.0
2013-03-05,10.3,10.65,10.2,10.58,86200.0
2013-03-06,10.66,11.67,10.62,11.54,192800.0
2013-03-07,11.82,12.179,11.252,11.97,266400.0
2013-03-08,13.45,14.73,13.0,13.58,1745600.0
2013-03-11,14.0,14.38,13.31,13.74,523400.0
2013-03-12,13.85,13.9,12.42,12.79,547700.0
2013-03-13,12.85,13.6544,12.6101,13.31,231200.0
2013-03-14,13.28,14.0,12.95,13.9,222200.0
2013-03-15,13.96,13.9899,13.34,13.49,171300.0
2013-03-18,13.42,13.71,12.03,12.35,597000.0
2013-03-19,12.46,12.85,12.26,12.62,296000.0
2013-03-20,12.77,13.345,12.61,12.94,261900.0
2013-03-21,12.86,13.04,12.61,12.95,110900.0
2013-03-22,12.99,13.25,12.775,12.9,196400.0
2013-03-25,13.4,14.63,13.2,14.13,887500.0
2013-03-26,14.37,15.47,14.25,15.04,1171700.0
2013-03-27,15.19,15.2624,14.51,14.79,601000.0
2013-03-28,14.76,15.91,14.72,15.66,853800.0
2013-04-01,15.91,16.0,14.56,14.87,795000.0
2013-04-02,15.14,15.54,14.82,14.94,276600.0
2013-04-03,14.96,15.04,13.2,13.7,1008700.0
2013-04-04,13.85,14.92,13.8,14.55,607600.0
2013-04-05,14.24,14.55,13.76,14.0,383900.0
2013-04-08,13.81,14.45,13.75,14.36,533200.0
2013-04-09,14.31,14.36,14.0,14.17,375500.0
2013-04-10,14.18,14.3,13.73,13.98,619800.0
2013-04-11,13.98,13.98,13.03,13.3,741200.0
2013-04-12,13.3,14.08,13.1,13.99,451800.0
2013-04-15,13.99,13.99,12.8,12.91,520400.0
2013-04-16,13.09,13.8,13.01,13.74,332700.0
2013-04-17,13.69,13.7,12.81,13.0,517100.0
2013-04-18,13.1,13.15,12.11,12.42,476000.0
2013-04-19,12.6,13.39,12.6,13.31,390100.0
2013-04-22,13.41,13.68,12.67,12.96,237300.0
2013-04-23,13.01,13.1899,12.8301,12.99,359900.0
2013-04-24,12.99,13.1,12.5,12.99,254000.0
2013-04-25,12.8,14.1,12.8,13.91,1149700.0
2013-04-26,13.9,14.075,13.49,13.74,422200.0
2013-04-29,13.76,14.47,13.75,14.19,727300.0
2013-04-30,14.27,14.5,13.59,13.7,474400.0
2013-05-01,13.65,13.74,12.94,13.44,602400.0
2013-05-02,13.59,13.96,13.41,13.9,304300.0
2013-05-03,14.0,14.37,13.67,13.96,390600.0
2013-05-06,14.06,15.09,13.99,14.7,1445200.0
2013-05-07,14.65,14.7,13.2,13.77,1193400.0
2013-05-08,13.73,13.92,13.5,13.79,281100.0
2013-05-09,13.7,14.05,13.52,13.81,252300.0
2013-05-10,13.88,14.47,13.75,14.33,475900.0
2013-05-13,14.7,15.89,14.6401,15.12,2126800.0
2013-05-14,15.12,15.5,14.09,14.15,1688600.0
2013-05-15,14.11,15.25,14.11,15.21,952900.0
2013-05-16,15.11,15.4,14.75,15.19,579500.0
2013-05-17,15.37,15.5,15.06,15.24,533700.0
2013-05-20,16.01,17.39,15.76,16.79,3108100.0
2013-05-21,17.5,17.9,16.32,16.9,2062900.0
2013-05-22,17.56,17.56,15.25,15.72,1940100.0
2013-05-23,14.92,16.68,14.33,16.19,1526500.0
2013-05-24,16.04,16.36,15.3,15.49,968400.0
2013-05-28,16.15,16.63,15.4,15.67,1776500.0
2013-05-29,15.57,16.38,15.3,16.29,796000.0
2013-05-30,16.29,16.69,16.02,16.17,810600.0
2013-05-31,16.1,16.5,15.9,16.17,785700.0
2013-06-03,16.25,16.57,14.55,15.71,1601000.0
2013-06-04,15.66,16.32,15.51,16.19,1162000.0
2013-06-05,17.35,17.74,16.3,16.65,4063100.0
2013-06-06,16.65,17.2,15.72,16.35,1457100.0
2013-06-07,16.49,16.625,15.83,16.53,1149100.0
2013-06-10,16.76,17.45,16.6,17.4,1741800.0
2013-06-11,17.21,18.21,16.75,17.44,2011700.0
2013-06-12,17.59,17.75,16.63,17.04,1223100.0
2013-06-13,16.9,17.2821,16.53,17.04,659800.0
2013-06-14,17.06,17.75,16.9,17.47,819300.0
2013-06-17,17.85,18.2,17.6004,18.14,1710600.0
2013-06-18,18.29,18.58,17.62,17.91,1338000.0
2013-06-19,18.05,18.48,17.7,18.16,896600.0
2013-06-20,17.89,17.9,16.6,16.93,1774000.0
2013-06-21,16.99,17.33,16.264,17.07,1161300.0
2013-06-24,16.55,16.55,15.5,15.95,1851900.0
2013-06-25,16.12,16.49,16.0,16.47,900700.0
2013-06-26,16.7,16.84,16.37,16.41,702700.0
2013-06-27,16.5,16.73,16.01,16.18,796300.0
2013-06-28,16.07,16.9,16.03,16.83,2523100.0
2013-07-01,16.95,17.38,16.85,16.97,1132900.0
2013-07-02,16.96,17.4799,16.85,16.89,724700.0
2013-07-03,16.75,17.1,16.52,17.07,249600.0
2013-07-05,17.37,17.48,16.98,17.225,531000.0
2013-07-08,17.3,17.34,16.81,16.98,573600.0
2013-07-09,17.14,17.1699,16.8,16.9,452800.0
2013-07-10,16.89,17.0396,16.5,16.89,583500.0
2013-07-11,17.16,17.99,17.06,17.8,1135900.0
2013-07-12,17.96,18.1,17.6,17.79,831000.0
2013-07-15,17.9,18.0299,17.4,17.87,777500.0
2013-07-16,17.99,18.04,17.55,17.65,714000.0
2013-07-17,17.74,19.3,17.6598,19.24,1995800.0
2013-07-18,19.38,19.4396,18.45,18.59,1624500.0
2013-07-19,18.49,18.98,18.01,18.96,947200.0
2013-07-22,18.77,19.33,18.76,19.24,933800.0
2013-07-23,19.23,19.32,18.59,18.72,637600.0
2013-07-24,18.75,18.99,18.12,18.24,609600.0
2013-07-25,18.16,18.6499,18.1,18.46,360700.0
2013-07-26,18.25,18.4599,18.1218,18.36,313100.0
2013-07-29,18.35,18.35,17.3,17.52,1330500.0
2013-07-30,17.5,17.53,16.03,16.14,2276500.0
2013-07-31,15.96,16.85,15.54,16.6,1390200.0
2013-08-01,16.66,16.8891,15.6,16.03,1871200.0
2013-08-02,15.99,16.79,15.66,16.75,955100.0
2013-08-05,16.73,17.24,16.45,16.83,730800.0
2013-08-06,16.82,16.87,15.9031,16.05,864500.0
2013-08-07,15.9,16.13,15.61,15.95,779100.0
2013-08-08,16.09,16.76,16.016,16.6,988700.0
2013-08-09,16.59,17.0999,16.58,16.82,843700.0
2013-08-12,16.74,17.42,16.6001,16.98,753700.0
2013-08-13,17.09,17.36,16.76,16.85,533700.0
2013-08-14,16.8,17.06,16.37,16.89,610600.0
2013-08-15,16.63,16.65,16.0,16.02,934700.0
2013-08-16,15.95,16.3495,15.75,16.01,752200.0
2013-08-19,15.9,16.01,15.56,15.58,600700.0
2013-08-20,15.57,16.218,15.56,16.12,587500.0
2013-08-21,16.08,16.12,15.044,15.11,1432000.0
2013-08-22,15.17,15.3155,14.58,14.88,1041900.0
2013-08-23,14.89,15.286,13.89,15.05,1492700.0
2013-08-26,14.75,15.4,13.25,13.42,3334700.0
2013-08-27,13.16,14.67,13.16,14.56,1416900.0
2013-08-28,14.48,14.91,14.101,14.38,558200.0
