date,open,high,low,close,volume
2018-06-01,5.13,5.13,4.0,4.03,374998.0
2018-06-04,4.17,4.35,4.1,4.29,101684.0
2018-06-05,4.29,4.38,4.16,4.29,148003.0
2018-06-06,4.16,4.3,4.03,4.25,33264.0
2018-06-07,4.19,4.23,4.12,4.161,55331.0
2018-06-08,4.25,4.25,4.15,4.15,41920.0
2018-06-11,4.17,4.2,4.11,4.199,31457.0
2018-06-12,4.197,4.2,4.121,4.18,12101.0
2018-06-13,4.14,4.146,3.97,3.97,29417.0
2018-06-14,4.01,4.179,4.0,4.1,27410.0
2018-06-15,4.35,8.0,4.251,7.35,2000962.0
2018-06-18,6.44,7.18,5.5,5.75,369253.0
2018-06-19,5.85,6.247,5.3,5.67,92893.0
2018-06-20,5.84,6.15,5.4,5.9,101909.0
2018-06-21,5.91,5.91,5.15,5.39,80028.0
2018-06-22,5.01,6.49,5.01,5.7,164114.0
2018-06-25,5.77,6.1,5.25,5.25,29114.0
2018-06-26,5.95,5.95,5.2,5.3,22273.0
2018-06-27,5.5,5.511,4.65,4.65,66235.0
2018-06-28,5.0,5.0,4.65,4.9,28504.0
2018-06-29,5.4,5.85,4.8,5.102,33557.0
2018-07-02,4.99,5.05,4.6,4.99,46890.0
2018-07-03,4.98,5.1,4.75,4.86,6751.0
2018-07-05,4.8746,4.98,4.8,4.85,8723.0
2018-07-06,4.763,4.96,4.711,4.83,8739.0
2018-07-09,4.74,5.026,4.674,5.026,6297.0
2018-07-10,4.776,5.0,4.7,5.0,22162.0
2018-07-11,5.0,5.0,4.845,4.999,5190.0
2018-07-12,5.05,6.5,5.001,5.79,183699.0
2018-07-13,5.6,6.4,5.6,6.07,115582.0
2018-07-16,6.5,7.5,6.142,7.363,167648.0
2018-07-17,7.25,7.3,6.61,6.94,102889.0
2018-07-18,7.0,7.05,6.7,6.84,46872.0
2018-07-19,7.26,7.26,6.7,6.9,11514.0
2018-07-20,6.756,7.7,6.731,7.31,98081.0
2018-07-23,7.33,7.33,7.0,7.14,79816.0
2018-07-24,7.0,7.65,6.838,7.0,87932.0
2018-07-25,7.05,7.36,7.0,7.0,14760.0
2018-07-26,6.82,7.14,6.8,6.88,29205.0
2018-07-27,6.885,6.93,6.7,6.798,12239.0
2018-07-30,6.89,6.893,6.05,6.292,26742.0
2018-07-31,6.26,6.29,5.83,5.93,18980.0
2018-08-01,5.8,6.21,5.62,5.989,12837.0
2018-08-02,5.66,6.045,5.66,5.88,12361.0
2018-08-03,5.65,6.237,5.65,6.196,4875.0
2018-08-06,5.789,6.18,5.789,6.11,2619.0
2018-08-07,6.11,6.164,5.7,6.05,8544.0
2018-08-08,5.65,6.161,5.65,6.06,3888.0
2018-08-09,6.1,6.28,6.0,6.28,6208.0
2018-08-10,6.28,6.44,6.219,6.32,9856.0
2018-08-13,5.65,6.44,5.65,6.44,16244.0
2018-08-14,6.01,6.5,5.91,6.29,9737.0
2018-08-15,5.67,6.09,5.66,6.0,20994.0
2018-08-16,5.987,5.987,5.81,5.91,5228.0
2018-08-17,6.38,6.38,5.7,5.701,3770.0
2018-08-20,5.673,5.681,5.16,5.4,23835.0
2018-08-21,5.01,5.579,5.0,5.35,16005.0
2018-08-22,5.459,5.58,5.197,5.56,23983.0
2018-08-23,5.56,5.59,5.06,5.35,34919.0
2018-08-24,5.6,5.95,5.301,5.95,26885.0
2018-08-27,6.34,6.75,5.962,6.11,7222.0
2018-08-28,6.1,6.28,5.73,6.22,4358.0
2018-08-29,6.22,6.841,6.22,6.705,24799.0
2018-08-30,6.73,6.73,6.52,6.71,12614.0
2018-08-31,6.75,6.957,6.68,6.68,10005.0
2018-09-04,6.0,6.867,6.0,6.13,8588.0
2018-09-05,6.79,6.79,6.2,6.5,3074.0
2018-09-06,6.25,6.73,6.15,6.697,18367.0
2018-09-07,6.68,6.707,6.36,6.51,12546.0
2018-09-10,6.45,6.512,6.04,6.41,7676.0
2018-09-11,6.41,6.5,6.41,6.5,2046.0
