date,open,high,low,close,volume
2021-02-17,0.5,1.64,0.3001,1.35,86959.0
2021-02-18,1.5,2.8273,1.5,1.61,107730.0
2021-02-19,2.0,2.49,1.9,2.23,37721.0
2021-02-22,2.5,2.6,2.0,2.35,23623.0
2021-02-23,2.1501,3.36,1.75,2.77,61248.0
2021-02-24,2.4,3.4,2.4,3.0001,18851.0
2021-02-25,3.05,3.25,2.65,2.65,22315.0
2021-02-26,3.14,3.14,2.66,2.67,23853.0
2021-03-01,2.68,3.65,2.6601,2.88,6354.0
2021-03-02,2.9,2.9,2.5,2.61,59497.0
2021-03-03,2.6,2.6,2.02,2.57,9078.0
2021-03-04,2.41,2.505,2.28,2.47,12824.0
2021-03-05,2.545,3.6999,2.54,3.0365,42795.0
2021-03-08,3.48,4.7,3.41,3.85,92670.0
2021-03-09,4.5,4.9,3.9999,4.0,13805.0
2021-03-10,4.0,4.0,3.5,3.9,34878.0
2021-03-11,3.99,4.03,3.6501,3.84,54067.0
2021-03-12,4.05,6.0,4.05,4.18,141965.0
2021-03-15,3.83,4.28,3.3,3.6,6252.0
2021-03-16,3.66,4.5,2.75,2.8992,45026.0
2021-03-17,2.86,3.15,2.86,3.03,11539.0
2021-03-18,3.01,3.0999,2.51,2.51,9265.0
2021-03-19,2.7,2.7,2.02,2.55,17674.0
2021-03-22,2.55,3.004,2.17,2.3,6947.0
2021-03-23,2.4001,2.4001,2.4001,2.4001,520.0
2021-03-24,2.4,2.94,2.4,2.94,3234.0
2021-03-25,2.51,3.5,2.51,3.2,8184.0
2021-03-26,3.57,3.95,3.57,3.81,25757.0
2021-03-29,4.43,5.99,3.4,4.315,177991.0
2021-03-30,3.965,4.43,3.965,4.38,6251.0
2021-03-31,3.9,4.55,3.9,4.38,4798.0
2021-04-01,4.545,4.605,4.425,4.56,22071.0
2021-04-05,4.65,5.35,4.6,5.25,25216.0
2021-04-06,5.83,6.4875,4.0,4.0,77224.0
2021-04-07,4.0,4.69,3.5,3.85,10770.0
2021-04-08,3.7,4.0,3.7,4.0,1809.0
2021-04-09,3.62,3.886,3.62,3.6238,2115.0
2021-04-12,3.58,3.58,3.435,3.54,11028.0
2021-04-13,3.5,4.4,2.99,3.0,95944.0
2021-04-14,3.0,3.24,2.75,2.76,7350.0
2021-04-15,2.74,2.905,2.5,2.62,23201.0
2021-04-16,2.75,2.76,2.4,2.58,12127.0
2021-04-19,2.44,2.4401,2.44,2.4401,418.0
2021-04-20,2.61,2.61,2.36,2.36,3341.0
2021-04-21,2.03,2.47,2.03,2.3737,1871.0
2021-04-22,2.03,2.575,2.03,2.56,871.0
2021-04-23,2.58,2.7,2.5,2.7,2923.0
2021-04-26,2.69,2.9378,2.39,2.42,23957.0
2021-04-27,2.58,2.58,2.295,2.4,17862.0
2021-04-28,2.4,2.5,2.1101,2.4,6568.0
2021-04-29,2.4001,2.42,2.4,2.4,1464.0
2021-04-30,2.445,2.91,2.4,2.4,6045.0
2021-05-03,2.31,2.31,2.31,2.31,605.0
2021-05-04,2.2985,2.2985,1.85,1.85,1186.0
2021-05-05,2.0,2.01,1.99,1.99,3316.0
2021-05-06,2.23,2.23,2.18,2.1999,1921.0
2021-05-07,2.01,2.11,1.99,2.0,6464.0
2021-05-10,1.73,1.9997,1.59,1.7,3729.0
2021-05-11,1.7,1.7,1.485,1.55,2026.0
2021-05-12,1.46,1.46,1.4,1.4,1044.0
2021-05-13,1.63,1.82,1.4201,1.61,1265.0
2021-05-14,1.61,1.61,1.61,1.61,0.0
2021-05-17,1.61,1.61,1.61,1.61,0.0
2021-05-18,1.31,1.74,1.31,1.53,809.0
2021-05-19,1.53,1.53,1.53,1.53,0.0
2021-05-20,1.55,1.92,1.55,1.899,1046.0
2021-05-21,1.92,1.92,1.62,1.65,3040.0
2021-05-24,1.65,1.65,1.65,1.65,0.0
2021-05-25,1.65,1.65,1.65,1.65,0.0
2021-05-26,1.76,1.89,1.76,1.89,2840.0
2021-05-27,1.9211,1.99,1.9211,1.9345,6550.0
2021-05-28,1.95,2.05,1.95,2.04,2413.0
