date,open,high,low,close,volume
2024-09-24,32.0,34.5,29.51,29.51,11200.0
2024-09-25,31.0,31.0,28.0,28.0,15100.0
2024-09-26,28.0,28.0,27.01,27.01,22300.0
2024-09-27,27.0,27.5,25.4,25.67,163300.0
2024-09-30,26.25,32.25,23.58,32.25,18372551.0
2024-10-01,28.25,28.49,24.56,25.75,9674244.0
2024-10-02,25.48,25.94,24.68,25.27,11160566.0
2024-10-03,25.1,26.0,24.9501,25.4,4698385.0
2024-10-04,25.5,27.79,25.46,26.47,3640724.0
2024-10-07,26.2,26.375,25.4,25.55,3579826.0
2024-10-08,25.44,25.87,24.69,24.75,3114128.0
2024-10-09,24.44,26.34,24.02,25.5,3793019.0
2024-10-10,25.04,26.79,24.81,25.99,2715545.0
2024-10-11,26.0,27.19,25.9,26.9,2139551.0
2024-10-14,26.81,28.64,26.68,28.38,3154155.0
2024-10-15,28.47,28.87,28.02,28.7,2743425.0
2024-10-16,28.47,30.29,27.94,28.93,2112278.0
2024-10-17,29.13,30.03,28.85,29.69,1674703.0
2024-10-18,29.7,29.82,28.72,29.3,1828737.0
2024-10-21,29.09,29.77,28.55,28.96,2767451.0
2024-10-22,28.61,29.22,28.37,28.97,1081142.0
2024-10-23,28.82,29.24,28.3,28.87,3347248.0
2024-10-24,29.45,30.22,28.9697,29.97,1485219.0
2024-10-25,30.21,31.025,29.51,29.65,1282149.0
2024-10-28,29.69,30.91,29.69,30.88,964423.0
2024-10-29,30.91,31.14,30.13,30.81,1493496.0
2024-10-30,30.72,30.99,30.05,30.12,1004673.0
2024-10-31,30.0,30.53,29.401,29.74,1101697.0
2024-11-01,30.28,31.14,29.83,30.79,957085.0
2024-11-04,30.67,31.06,29.63,29.63,787604.0
2024-11-05,29.54,30.2,29.52,30.0,710428.0
2024-11-06,31.29,31.75,30.3,31.0,1331079.0
2024-11-07,31.19,31.975,31.1,31.84,1338813.0
2024-11-08,32.03,33.5,31.51,33.4,1403806.0
2024-11-11,33.85,34.47,32.12,32.28,1007075.0
2024-11-12,32.0,32.59,30.53,31.24,1252670.0
2024-11-13,31.36,31.49,29.4,29.63,1693809.0
2024-11-14,29.29,29.58,26.02,26.41,2505675.0
2024-11-15,26.19,26.35,24.88,25.2,2632124.0
2024-11-18,24.79,25.06,22.24,22.77,3096661.0
2024-11-19,22.22,22.94,21.24,21.94,4280056.0
2024-11-20,21.96,22.99,21.5,22.41,2440595.0
2024-11-21,23.44,25.29,23.35,24.76,2891963.0
2024-11-22,24.9,25.44,24.4,24.43,1467043.0
2024-11-25,24.76,25.45,24.47,24.81,1451103.0
2024-11-26,24.59,25.955,24.36,24.61,1098076.0
2024-11-27,24.61,24.8,23.485,23.9,1020440.0
2024-11-29,24.25,24.66,24.01,24.35,642615.0
2024-12-02,24.37,25.046,23.7564,23.86,1309802.0
2024-12-03,23.63,24.53,23.6151,24.27,1420019.0
2024-12-04,24.27,24.64,23.69,23.91,1173355.0
2024-12-05,23.91,24.04,22.71,23.0,1340779.0
2024-12-06,23.21,23.95,23.0,23.17,1015913.0
2024-12-09,23.65,24.24,23.0,23.75,2612375.0
2024-12-10,23.8,25.0699,23.7384,24.02,2895045.0
2024-12-11,24.44,24.99,23.46,23.85,2266763.0
2024-12-12,23.59,24.34,23.05,23.61,1724905.0
2024-12-13,23.64,23.75,22.65,23.05,1598968.0
2024-12-16,23.08,24.225,22.84,23.78,3791307.0
2024-12-17,24.2,24.89,20.58,21.51,5609491.0
2024-12-18,21.59,21.99,20.09,20.33,4606286.0
2024-12-19,20.33,20.5664,18.89,18.93,4027348.0
2024-12-20,18.73,19.83,18.3796,19.17,37788846.0
2024-12-23,19.2,20.08,18.83,19.97,2858020.0
2024-12-24,19.91,20.2,19.47,19.81,1162694.0
