date,open,high,low,close,volume
2014-11-05,30.5,30.77,27.82,28.03,30912742.0
2014-11-06,28.39,29.0,28.15,28.25,1619222.0
2014-11-07,28.25,28.84,27.76,28.07,566945.0
2014-11-10,28.49,28.74,28.25,28.3,989553.0
2014-11-11,28.27,28.46,27.78,28.37,449421.0
2014-11-12,28.79,29.0,28.16,29.0,255088.0
2014-11-13,29.49,29.49,28.58,28.65,380318.0
2014-11-14,28.98,28.99,28.379,28.86,291956.0
2014-11-17,28.74,29.15,28.21,28.21,482604.0
2014-11-18,28.1,28.51,27.82,28.25,246462.0
2014-11-19,28.12,28.49,27.8764,28.26,285975.0
2014-11-20,28.0,28.35,28.0,28.15,321507.0
2014-11-21,28.48,28.48,27.56,28.01,273375.0
2014-11-24,27.97,28.105,27.8103,28.03,239841.0
2014-11-25,27.98,28.1,27.59,27.97,234944.0
2014-11-26,27.89,28.15,27.64,27.97,134864.0
2014-11-28,27.74,27.95,26.14,27.69,162206.0
2014-12-01,27.4,27.95,26.36,26.83,399872.0
2014-12-02,26.69,28.21,26.69,27.99,189179.0
2014-12-03,28.22,29.27,27.8,28.66,319344.0
2014-12-04,28.47,28.68,27.92,27.95,141161.0
2014-12-05,28.0,28.15,27.625,27.75,101519.0
2014-12-08,27.43,27.64,25.72,25.96,543406.0
2014-12-09,25.05,25.86,24.95,25.61,408817.0
2014-12-10,25.38,25.92,23.61,24.43,1000622.0
2014-12-11,24.27,25.31,24.27,25.0,308738.0
2014-12-12,24.78,25.27,23.11,25.1,481624.0
2014-12-15,25.3,25.45,24.02,24.07,110037.0
2014-12-16,23.95,25.0,23.15,24.06,658510.0
2014-12-17,24.5,25.15,23.26,23.9,866557.0
2014-12-18,24.21,24.54,23.43,24.36,1591529.0
2014-12-19,24.4,24.56,23.88,24.32,482807.0
2014-12-22,24.25,24.41,23.16,23.33,373984.0
2014-12-23,23.23,23.8,22.99,23.16,1065867.0
2014-12-24,23.06,23.7,22.8,23.64,98999.0
2014-12-26,23.7,24.71,23.67,24.09,81591.0
2014-12-29,23.94,26.11,23.94,25.97,352300.0
2014-12-30,25.95,27.45,25.84,27.01,238266.0
2014-12-31,26.93,28.98,26.882,27.5,319528.0
2015-01-02,26.69,27.75,26.64,27.41,537738.0
2015-01-05,26.99,27.52,25.35,25.49,205455.0
2015-01-06,25.52,25.94,24.07,24.76,92863.0
2015-01-07,24.15,24.55,23.39,23.98,262371.0
2015-01-08,23.98,25.0199,23.78,23.99,186936.0
2015-01-09,23.9,24.08,23.34,23.35,216704.0
2015-01-12,23.11,23.11,22.54,22.77,56076.0
2015-01-13,22.86,23.0699,21.67,21.72,145021.0
2015-01-14,21.52,21.52,20.5,20.79,554757.0
2015-01-15,21.06,22.11,21.06,21.97,379827.0
2015-01-16,21.34,22.59,21.34,22.41,180238.0
2015-01-20,22.5,22.5,21.76,22.27,92129.0
2015-01-21,21.81,22.8292,21.5,22.62,454572.0
2015-01-22,22.66,22.8779,22.02,22.19,124108.0
2015-01-23,22.14,22.93,21.9,22.51,110230.0
2015-01-26,22.59,24.2899,22.265,23.52,127293.0
2015-01-27,23.29,23.7,22.58,23.23,92404.0
2015-01-28,23.27,23.42,22.55,22.64,40865.0
2015-01-29,22.5,23.11,21.87,23.04,88211.0
2015-01-30,23.07,23.57,22.14,23.45,67857.0
2015-02-02,23.27,24.33,22.7501,24.15,83829.0
2015-02-03,24.62,24.77,23.74,24.55,147987.0
2015-02-04,23.97,24.6,22.94,24.45,252942.0
2015-02-05,24.25,24.48,23.73,24.43,251266.0
2015-02-06,24.48,24.6,23.7301,24.53,138474.0
2015-02-09,24.34,24.34,23.7,24.0,52661.0
2015-02-10,23.88,23.94,23.14,23.79,150414.0
2015-02-11,23.52,24.1,23.21,23.41,101769.0
2015-02-12,23.47,23.96,23.29,23.83,1164678.0
2015-02-13,23.91,24.84,23.55,24.47,203015.0
2015-02-17,24.2,25.0,24.2,24.75,128994.0
2015-02-18,24.75,24.75,24.29,24.62,93732.0
2015-02-19,24.26,24.73,24.26,24.62,52146.0
2015-02-20,24.46,25.2,24.23,25.18,438370.0
