date,open,high,low,close,volume
2022-02-14,0.2,0.4,0.2,0.37,13191.0
2022-02-15,0.35,0.355,0.35,0.35,7300.0
2022-02-16,0.35,0.35,0.35,0.35,0.0
2022-02-17,0.338,0.338,0.31,0.31,2600.0
2022-02-18,0.31,0.31,0.31,0.31,0.0
2022-02-22,0.2701,0.31,0.2384,0.2384,2486.0
2022-02-23,0.1701,0.1701,0.1701,0.1701,101.0
2022-02-24,0.1701,0.1701,0.1701,0.1701,0.0
2022-02-25,0.1701,0.1701,0.1701,0.1701,49.0
2022-02-28,0.25,0.25,0.25,0.25,251.0
2022-03-01,0.25,0.25,0.25,0.25,112.0
2022-03-02,0.25,0.25,0.25,0.25,0.0
2022-03-03,0.25,0.25,0.25,0.25,0.0
2022-03-04,0.26,0.26,0.26,0.26,100.0
2022-03-07,0.26,0.26,0.26,0.26,0.0
2022-03-08,0.24,0.24,0.24,0.24,5050.0
2022-03-09,0.19,0.2,0.19,0.2,78100.0
2022-03-10,0.2,0.2,0.2,0.2,0.0
2022-03-11,0.2,0.2,0.2,0.2,120.0
2022-03-14,0.2,0.2,0.2,0.2,0.0
2022-03-15,0.2,0.2,0.2,0.2,0.0
2022-03-16,0.2,0.2,0.2,0.2,0.0
2022-03-17,0.2,0.215,0.2,0.21,149068.0
2022-03-18,0.21,0.21,0.21,0.21,100.0
2022-03-21,0.21,0.21,0.21,0.21,0.0
2022-03-22,0.21,0.21,0.21,0.21,0.0
2022-03-23,0.21,0.21,0.21,0.21,0.0
2022-03-24,0.21,0.21,0.21,0.21,0.0
2022-03-25,0.21,0.21,0.21,0.21,0.0
2022-03-28,0.21,0.21,0.21,0.21,0.0
2022-03-29,0.21,0.21,0.21,0.21,0.0
2022-03-30,0.21,0.21,0.21,0.21,0.0
2022-03-31,0.245,0.245,0.245,0.245,100.0
2022-04-01,0.245,0.245,0.245,0.245,0.0
2022-04-04,0.25,0.28,0.25,0.28,11283.0
2022-04-05,0.29,0.2998,0.27,0.2998,10781.0
2022-04-06,0.3,0.32,0.3,0.32,1113.0
2022-04-07,0.32,0.32,0.32,0.32,55.0
2022-04-08,0.325,0.34,0.3,0.325,45701.0
2022-04-11,0.18,0.18,0.18,0.18,505.0
2022-04-12,0.25,0.25,0.25,0.25,2025.0
2022-04-13,0.25,0.25,0.25,0.25,0.0
2022-04-14,0.25,0.25,0.25,0.25,20.0
2022-04-18,0.25,0.25,0.25,0.25,0.0
2022-04-19,0.25,0.25,0.25,0.25,0.0
2022-04-20,0.3415,0.44,0.2987,0.35,8904.0
2022-04-21,0.35,0.35,0.35,0.35,132.0
2022-04-22,0.3,0.3,0.3,0.3,3160.0
2022-04-25,0.3,0.3,0.3,0.3,600.0
2022-04-26,0.35,0.35,0.35,0.35,500.0
2022-04-27,0.35,0.35,0.35,0.35,0.0
2022-04-28,0.35,0.35,0.35,0.35,0.0
2022-04-29,0.35,0.35,0.35,0.35,940.0
2022-05-02,0.35,0.35,0.35,0.35,0.0
2022-05-03,0.35,0.35,0.35,0.35,0.0
2022-05-04,0.35,0.35,0.35,0.35,0.0
2022-05-05,0.35,0.35,0.35,0.35,0.0
2022-05-06,0.35,0.35,0.35,0.35,0.0
2022-05-09,0.2701,0.2701,0.2701,0.2701,2145.0
2022-05-10,0.2701,0.2701,0.2701,0.2701,0.0
2022-05-11,0.2701,0.2701,0.2701,0.2701,0.0
2022-05-12,0.2801,0.2801,0.2291,0.23,1600.0
2022-05-13,0.2322,0.2322,0.2322,0.2322,100.0
2022-05-16,0.1923,0.3287,0.1923,0.26,5094.0
2022-05-17,0.26,0.26,0.26,0.26,0.0
2022-05-18,0.2866,0.3049,0.2779,0.2779,714.0
2022-05-19,0.2135,0.2135,0.2009,0.2009,205.0
2022-05-20,0.3372,0.3372,0.2,0.2,3490.0
2022-05-23,0.162,0.267,0.1565,0.2487,9600.0
2022-05-24,0.2479,0.317,0.17,0.22,6606.0
2022-05-25,0.163,0.22,0.163,0.22,3105.0
2022-05-26,0.289,0.289,0.1833,0.1866,6402.0
2022-05-27,0.2099,0.2099,0.2099,0.2099,16140.0
2022-05-31,0.2,0.2,0.1654,0.1654,1927.0
2022-06-01,0.14,0.2018,0.14,0.144,1900.0
2022-06-02,0.228,0.228,0.1648,0.1648,2546.0
2022-06-03,0.1648,0.1648,0.1648,0.1648,0.0
2022-06-06,0.1648,0.1648,0.1648,0.1648,50.0
2022-06-07,0.1401,0.1401,0.1401,0.1401,100.0
2022-06-08,0.1401,0.1401,0.1401,0.1401,0.0
2022-06-09,0.1401,0.1401,0.1401,0.1401,0.0
2022-06-10,0.1401,0.1401,0.1401,0.1401,0.0
2022-06-13,0.15,0.15,0.1398,0.1398,60300.0
2022-06-14,0.13,0.13,0.13,0.13,640.0
2022-06-15,0.1565,0.1565,0.1475,0.1475,200.0
2022-06-16,0.1475,0.1475,0.1475,0.1475,52.0
2022-06-17,0.08,0.0801,0.07,0.08,800.0
2022-06-21,0.08,0.08,0.08,0.08,0.0
2022-06-22,0.1199,0.12,0.08,0.084,2200.0
2022-06-23,0.084,0.084,0.084,0.084,0.0
2022-06-24,0.084,0.084,0.084,0.084,0.0
2022-06-27,0.084,0.084,0.084,0.084,0.0
2022-06-28,0.084,0.084,0.084,0.084,0.0
2022-06-29,0.084,0.084,0.084,0.084,0.0
2022-06-30,0.1135,0.1135,0.0871,0.0871,3725.0
2022-07-01,0.0871,0.0871,0.0871,0.0871,20.0
2022-07-05,0.0871,0.0871,0.0871,0.0871,0.0
2022-07-06,0.1,0.1,0.1,0.1,150.0
2022-07-07,0.1,0.1,0.1,0.1,0.0
2022-07-08,0.1,0.1,0.1,0.1,20.0
2022-07-11,0.1,0.1,0.1,0.1,0.0
2022-07-12,0.1,0.1,0.1,0.1,0.0
2022-07-13,0.1,0.1,0.1,0.1,0.0
2022-07-14,0.1,0.1,0.1,0.1,0.0
2022-07-15,0.1,0.1,0.1,0.1,0.0
2022-07-18,0.1,0.1,0.1,0.1,0.0
2022-07-19,0.12,0.12,0.07,0.08,100155.0
2022-07-20,0.0801,0.0801,0.08,0.0801,2100.0
2022-07-21,0.08,0.08,0.08,0.08,50000.0
2022-07-22,0.08,0.08,0.08,0.08,0.0
2022-07-25,0.08,0.08,0.08,0.08,76.0
2022-07-26,0.11,0.11,0.11,0.11,150000.0
2022-07-27,0.11,0.11,0.11,0.11,0.0
2022-07-28,0.11,0.11,0.11,0.11,0.0
2022-07-29,0.11,0.11,0.11,0.11,0.0
2022-08-01,0.11,0.11,0.11,0.11,0.0
2022-08-02,0.1001,0.1001,0.1001,0.1001,100.0
2022-08-03,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-04,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-05,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-08,0.1001,0.1001,0.1001,0.1001,2.0
2022-08-09,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-10,0.1001,0.1001,0.1001,0.1001,5.0
2022-08-11,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-12,0.1001,0.1001,0.1001,0.1001,10.0
2022-08-15,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-16,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-17,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-18,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-19,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-22,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-23,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-24,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-25,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-26,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-29,0.1001,0.1001,0.1001,0.1001,0.0
2022-08-30,0.0901,0.0901,0.0901,0.0901,468.0
2022-08-31,0.1389,0.1389,0.095,0.1,3600.0
2022-09-01,0.1,0.1,0.1,0.1,6.0
2022-09-02,0.1,0.1,0.1,0.1,0.0
2022-09-06,0.1,0.1,0.1,0.1,0.0
2022-09-07,0.1,0.1,0.1,0.1,575.0
2022-09-08,0.1,0.1,0.1,0.1,10.0
2022-09-09,0.1,0.1,0.1,0.1,15.0
2022-09-12,0.1,0.1,0.1,0.1,0.0
2022-09-13,0.1,0.1,0.1,0.1,0.0
2022-09-14,0.1,0.1,0.1,0.1,0.0
2022-09-15,0.0901,0.0901,0.09,0.0901,2100.0
2022-09-16,0.0901,0.0901,0.0901,0.0901,0.0
2022-09-19,0.0974,0.1,0.09,0.0901,43559.0
2022-09-20,0.1001,0.1099,0.1001,0.1001,12255.0
2022-09-21,0.1001,0.1001,0.1001,0.1001,10000.0
2022-09-22,0.1001,0.1001,0.1001,0.1001,0.0
2022-09-23,0.1,0.1,0.1,0.1,1500.0
2022-09-26,0.1,0.1,0.1,0.1,0.0
2022-09-27,0.1,0.1,0.1,0.1,100001.0
2022-09-28,0.1,0.1,0.1,0.1,0.0
2022-09-29,0.1,0.1,0.1,0.1,0.0
2022-09-30,0.0504,0.0504,0.0502,0.0502,3600.0
2022-10-03,0.0701,0.0701,0.0701,0.0701,800.0
2022-10-04,0.0701,0.0701,0.07,0.07,125405.0
2022-10-05,0.07,0.07,0.07,0.07,0.0
2022-10-06,0.07,0.07,0.07,0.07,0.0
2022-10-07,0.07,0.07,0.07,0.07,0.0
2022-10-10,0.07,0.07,0.07,0.07,0.0
2022-10-11,0.07,0.07,0.07,0.07,72.0
2022-10-12,0.07,0.07,0.07,0.07,0.0
2022-10-13,0.07,0.07,0.07,0.07,0.0
2022-10-14,0.07,0.07,0.07,0.07,0.0
2022-10-17,0.07,0.07,0.07,0.07,10.0
2022-10-18,0.07,0.07,0.07,0.07,0.0
2022-10-19,0.07,0.07,0.07,0.07,0.0
2022-10-20,0.07,0.07,0.07,0.07,0.0
2022-10-21,0.07,0.07,0.07,0.07,0.0
2022-10-24,0.07,0.07,0.07,0.07,57.0
2022-10-25,0.07,0.07,0.07,0.07,0.0
2022-10-26,0.07,0.075,0.07,0.075,234226.0
2022-10-27,0.1,0.1,0.0906,0.0906,600.0
2022-10-28,0.0906,0.0906,0.0906,0.0906,0.0
2022-10-31,0.05,0.05,0.05,0.05,197.0
2022-11-01,0.0501,0.0501,0.0501,0.0501,1438.0
2022-11-02,0.0501,0.0501,0.0501,0.0501,8.0
2022-11-03,0.0501,0.0501,0.0496,0.0501,1300.0
2022-11-04,0.0599,0.0599,0.0436,0.05,29423.0
2022-11-07,0.0553,0.0587,0.0535,0.0587,632.0
2022-11-08,0.1003,0.1003,0.1003,0.1003,182.0
2022-11-09,0.09,0.09,0.09,0.09,1629.0
2022-11-10,0.08,0.08,0.0304,0.0304,141290.0
2022-11-11,0.0304,0.0304,0.0304,0.0304,0.0
2022-11-14,0.05,0.09,0.05,0.08,6911.0
2022-11-15,0.08,0.08,0.08,0.08,0.0
2022-11-16,0.08,0.08,0.08,0.08,0.0
2022-11-17,0.08,0.08,0.07,0.07,448.0
2022-11-18,0.07,0.07,0.07,0.07,0.0
2022-11-21,0.07,0.07,0.07,0.07,0.0
2022-11-22,0.07,0.07,0.07,0.07,5.0
2022-11-23,0.07,0.07,0.07,0.07,0.0
2022-11-25,0.07,0.07,0.07,0.07,0.0
2022-11-28,0.032,0.05,0.032,0.05,400.0
2022-11-29,0.07,0.07,0.05,0.05,50410.0
2022-11-30,0.05,0.05,0.05,0.05,0.0
2022-12-01,0.05,0.05,0.05,0.05,0.0
2022-12-02,0.05,0.05,0.05,0.05,0.0
2022-12-05,0.03,0.03,0.03,0.03,5055.0
2022-12-06,0.0301,0.0301,0.0301,0.0301,458.0
2022-12-07,0.04,0.0401,0.03,0.0401,127209.0
2022-12-08,0.0401,0.0401,0.0401,0.0401,0.0
2022-12-09,0.0401,0.0401,0.0401,0.0401,0.0
2022-12-12,0.0401,0.0401,0.0401,0.0401,10.0
2022-12-13,0.05,0.05,0.05,0.05,200.0
2022-12-14,0.04,0.05,0.04,0.05,7950.0
2022-12-15,0.05,0.05,0.05,0.05,0.0
2022-12-16,0.05,0.05,0.04,0.04,566.0
2022-12-19,0.04,0.04,0.04,0.04,100063.0
2022-12-20,0.04,0.04,0.04,0.04,50.0
2022-12-21,0.04,0.04,0.04,0.04,5.0
2022-12-22,0.03,0.0401,0.03,0.0401,1950.0
2022-12-23,0.0401,0.0401,0.0401,0.0401,5.0
2022-12-27,0.0409,0.44,0.0409,0.1237,41191.0
2022-12-28,0.2,0.3834,0.1455,0.16,17855.0
2022-12-29,0.14,0.14,0.1014,0.119,716.0
2022-12-30,0.07,0.0734,0.0699,0.0734,1558.0
2023-01-03,0.0411,0.0411,0.0401,0.0401,875.0
2023-01-04,0.0401,0.0401,0.0401,0.0401,24.0
2023-01-05,0.0411,0.0411,0.03,0.03,4100.0
2023-01-06,0.03,0.03,0.03,0.03,0.0
2023-01-09,0.05,0.05,0.05,0.05,12108.0
2023-01-10,0.0508,0.0583,0.0501,0.051,10702.0
2023-01-11,0.06,0.0757,0.06,0.06,10463.0
2023-01-12,0.06,0.06,0.06,0.06,0.0
2023-01-13,0.0601,0.0601,0.0601,0.0601,1291.0
2023-01-17,0.07,0.0997,0.0641,0.08,4616.0
2023-01-18,0.1,0.2507,0.0873,0.0873,32775.0
2023-01-19,0.0873,0.0873,0.0873,0.0873,267129.0
2023-01-20,0.2299,0.2299,0.07,0.11,9631.0
2023-01-23,0.1001,0.1001,0.0701,0.0701,1414.0
2023-01-24,0.0701,0.0701,0.0701,0.0701,0.0
2023-01-25,0.0709,0.0709,0.0701,0.0701,3963.0
2023-01-26,0.0703,0.0703,0.0701,0.0701,2756.0
2023-01-27,0.0701,0.0701,0.0701,0.0701,7.0
2023-01-30,0.0894,0.2727,0.0821,0.0821,6227.0
2023-01-31,0.12,0.2025,0.0922,0.14,8358.0
2023-02-01,0.14,0.14,0.0701,0.0844,15134.0
2023-02-02,0.1344,0.1344,0.0798,0.0802,3581.0
2023-02-03,0.075,0.0801,0.075,0.0801,16400.0
2023-02-06,0.0801,0.1098,0.0801,0.0803,1652.0
2023-02-07,0.0803,0.0803,0.0803,0.0803,10.0
2023-02-08,0.104,0.1054,0.0804,0.0804,1700.0
2023-02-09,0.0801,0.0801,0.08,0.08,1655.0
2023-02-10,0.08,0.08,0.08,0.08,1.0
2023-02-13,0.08,0.08,0.08,0.08,0.0
2023-02-14,0.08,0.08,0.08,0.08,0.0
2023-02-15,0.0901,0.0901,0.09,0.0901,29894.0
2023-02-16,0.0901,0.0901,0.0901,0.0901,0.0
2023-02-17,0.0901,0.0901,0.0901,0.0901,0.0
2023-02-21,0.0921,0.1037,0.0921,0.102,4706.0
2023-02-22,0.1026,0.115,0.1026,0.115,891.0
2023-02-23,0.1128,0.114,0.0901,0.0901,2306.0
2023-02-24,0.0949,0.0949,0.0901,0.0901,900.0
2023-02-27,0.0901,0.0901,0.0901,0.0901,5.0
2023-02-28,0.0901,0.0901,0.0901,0.0901,0.0
2023-03-01,0.0901,0.0901,0.0901,0.0901,0.0
2023-03-02,0.0901,0.0901,0.0901,0.0901,976.0
2023-03-03,0.0901,0.0901,0.0901,0.0901,0.0
2023-03-06,0.0924,0.1,0.0924,0.0992,10906.0
2023-03-07,0.0992,0.0992,0.0992,0.0992,100.0
2023-03-08,0.1102,0.1191,0.0952,0.1185,4104.0
2023-03-09,0.1696,0.1696,0.1164,0.1164,4202.0
2023-03-10,0.1,0.1272,0.0907,0.1248,2490.0
2023-03-13,0.1,0.1,0.1,0.1,200.0
2023-03-14,0.1,0.1,0.1,0.1,0.0
2023-03-15,0.1,0.1,0.1,0.1,0.0
2023-03-16,0.1,0.1,0.1,0.1,0.0
2023-03-17,0.1,0.1,0.1,0.1,0.0
2023-03-20,0.1,0.1,0.1,0.1,0.0
2023-03-21,0.1179,0.1179,0.11,0.11,403.0
2023-03-22,0.11,0.11,0.11,0.11,0.0
2023-03-23,0.11,0.11,0.11,0.11,0.0
2023-03-24,0.1028,0.1515,0.1004,0.1113,3738.0
2023-03-27,0.1113,0.1113,0.1113,0.1113,0.0
2023-03-28,0.1113,0.1113,0.1113,0.1113,0.0
2023-03-29,0.1113,0.1113,0.1113,0.1113,0.0
2023-03-30,0.1307,0.1307,0.1195,0.1222,844.0
2023-03-31,0.1222,0.1222,0.1222,0.1222,0.0
2023-04-03,0.1222,0.1222,0.1222,0.1222,0.0
2023-04-04,0.1046,0.1046,0.1046,0.1046,200.0
2023-04-05,0.1046,0.1046,0.1046,0.1046,0.0
2023-04-06,0.1046,0.1046,0.1046,0.1046,14.0
2023-04-10,0.1046,0.1046,0.1046,0.1046,0.0
2023-04-11,0.1046,0.1046,0.1046,0.1046,0.0
2023-04-12,0.1001,0.1001,0.1001,0.1001,2646.0
2023-04-13,0.1001,0.1001,0.1001,0.1001,2.0
2023-04-14,0.1001,0.1001,0.1001,0.1001,0.0
2023-04-17,0.1001,0.1001,0.1001,0.1001,0.0
2023-04-18,0.1016,0.1016,0.1001,0.1001,1710.0
2023-04-19,0.1001,0.1001,0.1,0.1001,5139.0
2023-04-20,0.1001,0.1001,0.1001,0.1001,0.0
2023-04-21,0.1001,0.1001,0.1001,0.1001,103.0
2023-04-24,0.1137,0.1401,0.1099,0.1401,57047.0
2023-04-25,0.1111,0.1926,0.1098,0.172,6100.0
2023-04-26,0.25,0.25,0.12,0.13,2500.0
2023-04-27,0.13,0.1489,0.129,0.1351,20901.0
2023-04-28,0.1492,0.1497,0.1003,0.12,4848.0
2023-05-01,0.13,0.13,0.1004,0.1054,25595.0
2023-05-02,0.1197,0.2307,0.0835,0.0968,102207.0
2023-05-03,0.1108,0.1109,0.1099,0.1109,502.0
2023-05-04,0.126,0.127,0.1001,0.1001,26970.0
2023-05-05,0.1485,0.1486,0.1001,0.1001,4613.0
2023-05-08,0.1001,0.1001,0.1001,0.1001,0.0
2023-05-09,0.1001,0.1001,0.1,0.1,342457.0
2023-05-10,0.0845,0.0878,0.0353,0.0878,6466.0
2023-05-11,0.1473,0.149,0.0355,0.0745,17455.0
2023-05-12,0.0969,0.2382,0.0969,0.14,23122.0
2023-05-15,0.1403,0.1403,0.14,0.14,300.0
2023-05-16,0.154,0.154,0.154,0.154,109.0
2023-05-17,0.154,0.154,0.154,0.154,0.0
2023-05-18,0.1132,0.1649,0.0919,0.0978,3228.0
2023-05-19,0.111,0.111,0.111,0.111,120.0
2023-05-22,0.111,0.111,0.111,0.111,0.0
2023-05-23,0.138,0.138,0.1172,0.1172,924.0
2023-05-24,0.1,0.1,0.1,0.1,368.0
2023-05-25,0.0377,0.099,0.0352,0.0708,10701.0
2023-05-26,0.0443,0.0503,0.0443,0.0503,1001.0
2023-05-30,0.0629,0.0699,0.0305,0.0679,5039.0
2023-05-31,0.0503,0.0674,0.0311,0.0674,1600.0
2023-06-01,0.0413,0.0413,0.0413,0.0413,798.0
2023-06-02,0.0413,0.0413,0.0413,0.0413,92.0
2023-06-05,0.0332,0.0585,0.0332,0.0352,3355.0
2023-06-06,0.04,0.04,0.04,0.04,200.0
2023-06-07,0.04,0.04,0.04,0.04,0.0
2023-06-08,0.04,0.04,0.04,0.04,0.0
2023-06-09,0.04,0.04,0.04,0.04,2.0
2023-06-12,0.05,0.0501,0.05,0.0501,3000.0
2023-06-13,0.045,0.1569,0.0449,0.0634,27688.0
2023-06-14,0.0953,0.1595,0.0555,0.0923,36217.0
2023-06-15,0.1057,0.1214,0.077,0.0971,10610.0
2023-06-16,0.0717,0.16,0.0502,0.1598,25745.0
2023-06-20,0.1112,0.1596,0.1002,0.1216,16714.0
2023-06-21,0.0864,0.1094,0.061,0.1087,4819.0
2023-06-22,0.0815,0.11,0.0617,0.11,1356.0
2023-06-23,0.1035,0.11,0.0835,0.096,2900.0
2023-06-26,0.0854,0.105,0.0854,0.105,10741.0
2023-06-27,0.105,0.105,0.105,0.105,13.0
2023-06-28,0.105,0.105,0.105,0.105,0.0
2023-06-29,0.1047,0.1047,0.1047,0.1047,246.0
2023-06-30,0.1047,0.1047,0.1047,0.1047,193.0
2023-07-03,0.1047,0.1047,0.1047,0.1047,6.0
2023-07-05,0.078,0.1068,0.0546,0.1068,5342.0
2023-07-06,0.095,0.0975,0.0932,0.0932,1909.0
2023-07-07,0.0867,0.1385,0.056,0.075,6696.0
