date,open,high,low,close,volume
2025-07-08,3.6,3.81,3.2,3.52,1057659.0
2025-07-09,3.6,14.83,3.5,4.76,5144695.0
2025-07-10,4.01,4.3,3.6,3.67,781388.0
2025-07-11,3.7201,3.9,3.44,3.51,225440.0
2025-07-14,3.51,3.61,2.7967,3.04,380931.0
2025-07-15,3.07,7.16,3.0405,4.58,13168754.0
2025-07-16,4.24,4.9135,4.2,4.7,544192.0
2025-07-17,4.72,6.36,4.4072,6.19,580029.0
2025-07-18,5.96,9.72,5.9,7.81,1075110.0
2025-07-21,7.55,10.98,6.9672,10.98,402354.0
2025-07-22,11.42,12.86,10.07,12.01,618604.0
2025-07-23,11.97,21.7,11.0,19.12,1103494.0
2025-07-24,16.27,25.8,14.0,24.98,521875.0
2025-07-25,24.21,32.35,23.0,27.83,269242.0
2025-07-28,28.5,29.3347,23.1001,26.01,297953.0
2025-07-29,25.64,38.767,25.64,37.21,359881.0
2025-07-30,36.96,41.0,30.0,35.2,180886.0
2025-07-31,36.13,36.13,22.9442,27.61,146644.0
2025-08-01,24.65,32.54,24.65,31.35,70692.0
2025-08-04,30.37,33.3664,30.36,31.0,37630.0
2025-08-05,30.38,31.99,27.55,29.69,63623.0
2025-08-06,29.29,30.5,26.58,28.51,64515.0
2025-08-07,29.05,31.13,27.5006,30.4,35330.0
2025-08-08,30.28,36.0,30.1,35.09,45003.0
2025-08-11,35.1,36.26,33.39,35.34,20243.0
2025-08-12,35.14,39.95,34.56,39.89,24225.0
2025-08-13,36.9,44.0,32.01,39.8,38646.0
2025-08-14,39.51,39.51,31.0101,32.0,63509.0
2025-08-15,33.93,36.67,33.51,36.5,15814.0
2025-08-18,33.01,35.7,33.01,34.5,9780.0
2025-08-19,34.5,35.9918,33.8,34.87,22721.0
2025-08-20,34.92,35.49,30.81,30.89,36663.0
2025-08-21,30.05,34.5,30.05,33.515,17804.0
2025-08-22,34.29,37.27,34.0,36.8,20925.0
2025-08-25,37.5,42.0,37.49,41.7,35685.0
2025-08-26,42.17,52.88,42.0,52.88,27816.0
