date,open,high,low,close,volume
2008-06-24,12.47,12.47,12.47,12.47,0.0
2008-06-25,12.47,12.47,12.47,12.47,0.0
2008-06-26,12.47,12.47,12.47,12.47,0.0
2008-06-27,12.47,12.47,12.47,12.47,0.0
2008-06-30,12.47,12.47,12.47,12.47,0.0
2008-07-01,12.47,12.47,12.47,12.47,0.0
2008-07-02,12.47,12.71,12.47,12.71,500.0
2008-07-03,12.47,12.71,12.47,12.71,0.0
2008-07-07,12.47,12.71,12.47,12.71,0.0
2008-07-08,12.47,12.71,12.47,12.71,0.0
2008-07-09,12.47,12.71,12.47,12.71,0.0
2008-07-10,12.47,12.71,12.47,12.71,0.0
2008-07-11,12.44,12.44,12.44,12.44,2800.0
2008-07-14,12.54,12.54,12.54,12.54,1600.0
2008-07-15,12.54,12.54,12.54,12.54,0.0
2008-07-16,12.67,12.67,12.51,12.51,2329.0
2008-07-17,12.67,12.67,12.51,12.51,0.0
2008-07-18,12.67,12.67,12.51,12.51,0.0
2008-07-21,12.67,12.67,12.51,12.51,0.0
2008-07-22,12.43,12.43,12.09,12.09,1500.0
2008-07-23,12.43,12.43,12.09,12.09,0.0
2008-07-24,12.43,12.43,12.09,12.09,0.0
2008-07-25,12.43,12.43,12.09,12.09,0.0
2008-07-28,12.64,12.64,12.48,12.49,2200.0
2008-07-29,12.64,12.64,12.48,12.49,0.0
2008-07-30,12.58,12.58,12.58,12.58,100.0
2008-07-31,12.55,12.55,12.45,12.55,1800.0
2008-08-01,12.55,12.55,12.45,12.55,0.0
2008-08-04,12.5,12.59,12.5,12.57,1400.0
2008-08-05,12.5,12.59,12.5,12.57,0.0
2008-08-06,12.5,12.5,12.5,12.5,100.0
2008-08-07,12.5,12.5,12.5,12.5,0.0
2008-08-08,12.5,12.5,12.5,12.5,0.0
2008-08-11,12.5,12.5,12.5,12.5,0.0
2008-08-12,12.63,12.63,12.63,12.63,530.0
2008-08-13,12.63,12.63,12.63,12.63,600.0
2008-08-14,12.63,12.63,12.63,12.63,0.0
2008-08-15,12.63,12.63,12.63,12.63,0.0
2008-08-18,12.61,12.61,12.61,12.61,2000.0
2008-08-19,12.61,12.61,12.61,12.61,0.0
2008-08-20,12.71,12.71,12.71,12.71,2300.0
2008-08-21,12.64,12.64,12.64,12.64,1060.0
2008-08-22,12.64,12.74,12.64,12.74,2200.0
2008-08-25,12.64,12.64,12.64,12.64,1250.0
2008-08-26,12.71,12.71,12.71,12.71,4000.0
2008-08-27,12.71,12.71,12.71,12.71,1000.0
2008-08-28,12.71,12.71,12.71,12.71,0.0
2008-08-29,12.71,12.71,12.71,12.71,0.0
2008-09-02,12.71,12.71,12.71,12.71,0.0
2008-09-03,12.71,12.71,12.71,12.71,0.0
2008-09-04,12.71,12.71,12.71,12.71,0.0
2008-09-05,12.71,12.71,12.71,12.71,0.0
2008-09-08,13.77,13.77,12.69,12.69,200.0
2008-09-09,12.76,12.76,12.63,12.63,2400.0
2008-09-10,12.76,12.76,12.63,12.63,0.0
2008-09-11,12.76,12.76,12.21,12.21,0.0
2008-09-12,11.89,12.52,11.89,12.4,8400.0
2008-09-15,12.5,12.52,12.5,12.52,400.0
2008-09-16,11.88,11.88,11.81,11.81,400.0
2008-09-17,11.64,11.64,9.91,10.0,4800.0
2008-09-18,10.0,10.0,10.0,10.0,0.0
2008-09-19,5.81,9.61,5.81,9.61,0.0
2008-09-22,10.8,10.8,10.8,10.8,300.0
2008-09-23,10.8,10.8,10.8,10.8,0.0
2008-09-24,10.8,10.8,10.8,10.8,0.0
2008-09-25,10.8,10.8,10.8,10.8,0.0
2008-09-26,10.8,10.8,10.8,10.8,0.0
2008-09-29,10.8,10.8,10.8,10.8,0.0
2008-09-30,10.8,10.8,10.8,10.8,0.0
2008-10-01,9.83,9.97,9.83,9.92,1900.0
2008-10-02,9.83,9.97,9.83,9.92,0.0
2008-10-03,9.83,9.97,9.83,9.92,0.0
2008-10-06,8.75,8.75,8.46,8.46,2400.0
2008-10-07,8.8,8.8,8.65,8.65,300.0
2008-10-08,8.72,8.72,8.72,8.72,400.0
2008-10-09,8.62,8.62,8.57,8.59,2400.0
2008-10-10,8.49,8.6,8.45,8.59,3250.0
2008-10-13,8.49,8.6,8.45,8.59,0.0
2008-10-14,10.65,12.0,10.65,12.0,2045.0
2008-10-15,10.65,12.0,10.65,12.0,0.0
2008-10-16,10.87,10.87,9.12,9.66,1800.0
2008-10-17,10.87,10.87,9.12,9.66,0.0
2008-10-20,10.87,10.87,9.12,9.66,0.0
2008-10-21,10.87,10.87,9.12,9.66,0.0
2008-10-22,10.87,10.87,9.12,9.66,0.0
2008-10-23,10.87,10.87,9.12,9.66,0.0
2008-10-24,9.3,9.3,9.3,9.3,300.0
2008-10-27,9.39,9.39,9.39,9.39,1000.0
2008-10-28,9.39,9.39,9.39,9.39,0.0
2008-10-29,9.73,9.73,9.73,9.73,100.0
2008-10-30,9.73,9.73,9.73,9.73,0.0
2008-10-31,10.09,10.09,10.08,10.09,1500.0
2008-11-03,10.09,10.09,10.08,10.09,0.0
2008-11-04,10.09,10.09,10.08,10.09,0.0
2008-11-05,10.09,10.09,10.08,10.09,0.0
2008-11-06,10.09,10.09,10.08,10.09,0.0
2008-11-07,10.09,10.09,10.08,10.09,0.0
2008-11-10,10.09,10.09,10.08,10.09,0.0
2008-11-11,10.09,10.09,10.08,10.09,0.0
2008-11-12,10.09,10.09,10.08,10.09,0.0
2008-11-13,10.09,10.09,10.08,10.09,0.0
2008-11-14,9.15,9.15,9.15,9.15,400.0
2008-11-17,9.15,9.15,9.15,9.15,0.0
2008-11-18,9.15,9.15,9.15,9.15,0.0
2008-11-19,9.15,9.15,9.15,9.15,0.0
2008-11-20,8.72,8.72,8.28,8.28,600.0
2008-11-21,8.3,8.3,8.2,8.2,1500.0
2008-11-24,8.86,8.86,8.86,8.86,150.0
2008-11-25,8.86,8.86,8.86,8.86,0.0
2008-11-26,8.86,8.86,8.86,8.86,0.0
2008-11-28,9.37,9.37,9.37,9.37,1000.0
2008-12-01,9.23,9.23,9.23,9.23,1000.0
2008-12-02,9.23,9.23,9.23,9.23,0.0
2008-12-03,9.23,9.23,9.23,9.23,0.0
2008-12-04,9.58,9.58,9.58,9.58,1000.0
2008-12-05,9.58,9.58,9.58,9.58,0.0
2008-12-08,9.58,9.58,9.58,9.58,0.0
2008-12-09,9.58,9.58,9.58,9.58,0.0
2008-12-10,9.58,9.58,9.58,9.58,0.0
2008-12-11,9.58,9.58,9.58,9.58,0.0
2008-12-12,9.58,9.58,9.58,9.58,0.0
2008-12-15,9.58,9.58,9.58,9.58,0.0
2008-12-16,9.58,9.58,9.58,9.58,0.0
2008-12-17,9.58,9.58,9.58,9.58,0.0
2008-12-18,9.58,9.58,9.58,9.58,0.0
2008-12-19,9.7,9.7,8.94,8.94,400.0
2008-12-22,8.94,8.94,8.94,8.94,0.0
2008-12-23,8.72,8.72,8.72,8.72,100.0
2008-12-24,8.72,8.72,8.72,8.72,0.0
2008-12-26,8.72,8.72,8.72,8.72,0.0
2008-12-29,8.66,8.66,8.66,8.66,1000.0
2008-12-30,8.66,8.66,8.66,8.66,0.0
2008-12-31,8.66,8.66,8.66,8.66,0.0
2009-01-02,8.95,8.95,8.95,8.95,100.0
2009-01-05,9.49,9.49,9.49,9.49,300.0
2009-01-06,9.49,9.49,9.49,9.49,0.0
2009-01-07,9.49,9.49,9.49,9.49,0.0
2009-01-08,9.49,9.49,9.49,9.49,0.0
2009-01-09,9.49,9.49,9.49,9.49,0.0
2009-01-12,9.49,9.49,9.49,9.49,0.0
2009-01-13,9.49,9.49,9.49,9.49,0.0
2009-01-14,8.66,8.66,8.66,8.66,2000.0
2009-01-15,8.66,8.66,8.66,8.66,0.0
2009-01-16,8.66,8.66,8.66,8.66,0.0
2009-01-20,8.66,8.66,8.66,8.66,0.0
