date,open,high,low,close,volume
1999-11-01,11.62,11.75,11.62,11.75,14800.0
1999-11-02,12.12,12.25,12.0,12.06,16667.0
1999-11-03,12.12,12.12,12.0,12.12,20067.0
1999-11-04,12.12,12.25,12.06,12.25,25867.0
1999-11-05,12.25,12.38,12.25,12.38,54867.0
1999-11-08,12.31,12.81,12.25,12.75,17867.0
1999-11-09,12.81,13.06,12.75,13.0,19267.0
1999-11-10,12.87,13.62,12.81,13.62,36267.0
1999-11-11,13.56,13.88,13.56,13.75,17867.0
1999-11-12,13.75,13.75,13.56,13.56,22867.0
1999-11-15,13.56,13.75,13.56,13.69,8867.0
1999-11-16,13.62,13.75,13.62,13.75,16067.0
1999-11-17,13.62,13.75,13.5,13.69,10867.0
1999-11-18,13.81,14.0,13.75,13.75,47067.0
1999-11-19,13.75,14.0,13.69,13.88,15467.0
1999-11-22,13.88,14.0,13.88,14.0,21400.0
1999-11-23,14.0,14.0,13.62,13.81,22267.0
1999-11-24,13.81,13.94,13.69,13.81,15800.0
1999-11-26,13.69,13.69,13.5,13.69,9800.0
1999-11-29,13.69,13.69,13.25,13.25,50600.0
1999-11-30,13.25,13.5,12.75,13.5,58867.0
1999-12-01,13.5,13.62,13.25,13.5,18600.0
1999-12-02,13.38,13.44,13.0,13.25,19467.0
1999-12-03,13.12,13.25,13.0,13.0,34200.0
1999-12-06,13.0,13.12,12.63,12.63,41400.0
1999-12-07,12.25,12.63,12.0,12.31,22800.0
1999-12-08,12.25,12.5,12.12,12.25,20800.0
1999-12-09,12.12,12.81,12.12,12.75,35667.0
1999-12-10,13.0,13.12,12.12,12.25,36200.0
1999-12-13,13.88,13.94,13.62,13.81,122600.0
1999-12-14,14.0,14.0,12.38,12.75,50600.0
1999-12-15,12.69,13.0,12.38,12.94,31267.0
1999-12-16,12.94,12.94,12.63,12.75,22000.0
1999-12-17,12.87,13.5,12.5,13.31,60800.0
1999-12-20,13.19,13.19,12.63,12.75,14000.0
1999-12-21,12.69,13.31,12.5,13.31,29800.0
1999-12-22,13.19,13.5,13.0,13.12,29000.0
1999-12-23,13.06,13.19,13.0,13.12,12667.0
1999-12-27,13.06,13.12,12.5,12.63,24067.0
1999-12-28,12.5,12.5,11.88,12.06,26467.0
1999-12-29,12.0,12.06,11.88,11.88,43467.0
1999-12-30,11.94,12.12,11.88,12.12,31000.0
1999-12-31,12.06,12.06,11.75,11.75,25000.0
2000-01-03,11.75,12.0,11.5,11.62,17600.0
2000-01-04,11.31,11.62,11.31,11.5,22067.0
2000-01-05,11.62,11.88,11.56,11.88,24800.0
2000-01-06,11.88,11.88,11.25,11.5,18200.0
2000-01-07,11.25,11.69,11.13,11.25,71000.0
2000-01-10,11.25,12.5,11.19,12.5,71667.0
2000-01-11,12.5,12.5,11.88,11.88,58800.0
2000-01-12,11.88,12.12,11.81,12.12,53467.0
2000-01-13,12.12,13.38,12.0,13.25,50467.0
2000-01-14,13.5,13.62,13.0,13.12,35800.0
2000-01-18,13.25,13.25,12.87,13.0,32067.0
2000-01-19,12.94,13.44,12.94,13.44,57800.0
2000-01-20,13.44,13.44,13.12,13.44,17000.0
2000-01-21,13.5,13.75,13.25,13.5,38800.0
2000-01-24,13.56,14.31,13.5,14.25,104600.0
2000-01-25,14.31,15.69,14.25,15.44,123667.0
2000-01-26,15.25,15.38,14.5,15.0,101067.0
2000-01-27,14.88,14.88,14.44,14.44,31867.0
2000-01-28,14.31,14.56,14.25,14.25,26400.0
2000-01-31,14.37,14.5,14.0,14.5,24867.0
2000-02-01,14.69,14.88,14.25,14.37,54667.0
2000-02-02,14.5,14.88,14.5,14.88,24000.0
2000-02-03,14.88,14.88,14.62,14.88,19000.0
2000-02-04,14.88,15.25,14.81,15.19,81800.0
2000-02-07,15.81,18.38,15.69,18.31,172000.0
2000-02-08,17.37,17.69,15.44,16.06,318467.0
2000-02-09,16.0,16.12,15.63,15.63,74067.0
2000-02-10,15.5,16.75,15.38,16.75,47000.0
2000-02-11,16.88,17.5,16.69,16.88,53800.0
2000-02-14,16.88,17.06,16.75,17.0,19200.0
2000-02-15,17.0,17.06,16.12,16.44,24000.0
2000-02-16,16.56,16.56,16.0,16.56,54200.0
2000-02-17,16.44,17.37,16.25,17.31,49467.0
2000-02-18,17.44,17.88,17.19,17.62,79600.0
2000-02-22,18.12,20.0,18.12,19.0,129600.0
2000-02-23,19.12,19.38,17.56,18.63,110000.0
2000-02-24,18.87,19.0,18.63,18.69,54200.0
2000-02-25,18.75,19.31,18.56,19.31,84600.0
2000-02-28,19.5,19.88,19.12,19.38,50800.0
2000-02-29,19.56,19.88,19.38,19.88,53600.0
2000-03-01,20.0,23.62,20.0,23.37,248400.0
2000-03-02,23.5,24.94,23.5,23.62,145467.0
2000-03-03,23.69,23.69,22.75,23.5,74200.0
2000-03-06,23.75,24.75,23.75,24.63,108000.0
2000-03-07,24.94,24.94,21.75,21.87,123667.0
2000-03-08,22.0,22.44,21.25,21.38,60667.0
2000-03-09,21.38,21.38,19.5,20.5,108867.0
2000-03-10,20.5,21.0,20.37,20.94,50267.0
2000-03-13,20.69,20.69,19.62,19.62,43267.0
2000-03-14,19.5,20.75,18.81,18.94,75267.0
2000-03-15,19.0,19.12,17.88,17.88,31600.0
2000-03-16,18.0,18.0,15.87,16.94,78400.0
2000-03-17,17.06,17.31,16.88,17.31,33467.0
2000-03-20,18.5,19.25,18.25,18.25,141000.0
2000-03-21,18.38,18.87,17.88,18.75,51667.0
2000-03-22,18.63,20.0,18.63,20.0,48000.0
2000-03-23,20.0,20.75,19.75,20.5,59200.0
2000-03-24,20.62,22.5,20.5,22.0,73467.0
2000-03-27,22.12,23.94,22.0,22.25,127200.0
2000-03-28,22.38,23.25,21.69,21.94,76400.0
2000-03-29,21.69,21.81,20.06,20.13,53067.0
2000-03-30,20.37,20.75,17.88,18.12,79267.0
2000-03-31,18.38,18.75,17.88,18.0,60067.0
2000-04-03,18.0,18.0,15.87,16.06,89267.0
2000-04-04,15.75,16.5,15.38,15.56,77600.0
2000-04-05,15.81,16.38,15.5,16.38,77400.0
2000-04-06,16.38,18.0,16.38,17.62,174867.0
2000-04-07,17.62,18.0,17.0,17.37,79200.0
2000-04-10,17.62,19.44,17.62,19.25,80400.0
2000-04-11,19.0,19.75,18.5,19.75,41867.0
2000-04-12,19.75,20.06,19.5,19.69,43867.0
2000-04-13,21.25,21.25,19.62,19.81,104067.0
2000-04-14,19.38,19.38,17.37,18.0,92000.0
2000-04-17,18.25,18.56,17.75,18.5,53000.0
2000-04-18,18.75,19.62,18.75,19.38,36867.0
2000-04-19,19.62,19.75,18.87,19.0,39200.0
2000-04-20,19.19,19.44,18.69,19.12,14467.0
2000-04-24,19.0,19.0,18.0,18.75,30800.0
2000-04-25,18.75,19.0,18.5,19.0,19067.0
2000-04-26,19.06,19.62,19.06,19.31,39667.0
2000-04-27,19.38,19.38,19.0,19.25,21800.0
2000-04-28,19.25,19.38,19.12,19.38,28000.0
2000-05-01,19.5,20.62,19.5,20.5,36267.0
2000-05-02,20.44,21.31,20.31,21.0,33467.0
2000-05-03,21.0,21.19,20.5,20.5,32467.0
2000-05-04,20.5,20.81,20.37,20.69,22600.0
