date,open,high,low,close,volume
2025-09-30,10.0,10.01,9.96,9.97,2520837.0
2025-10-01,9.96,9.98,9.96,9.975,272319.0
2025-10-02,10.0,10.0,9.9807,9.99,18818.0
2025-10-03,9.98,9.98,9.9611,9.97,87016.0
2025-10-06,9.99,9.99,9.96,9.96,27282.0
2025-10-07,9.98,9.98,9.96,9.96,26228.0
2025-10-08,9.96,9.97,9.95,9.95,46900.0
2025-10-09,9.99,9.99,9.96,9.98,23997.0
2025-10-10,9.96,9.98,9.96,9.98,97734.0
2025-10-13,9.98,9.98,9.98,9.98,29866.0
2025-10-14,9.98,10.0,9.97,9.99,166162.0
2025-10-15,10.0,10.0,9.98,9.99,2748.0
2025-10-16,10.0,10.01,10.0,10.0,14201.0
2025-10-17,10.0,10.01,10.0,10.01,4065.0
2025-10-20,10.01,10.01,10.01,10.01,1428.0
2025-10-21,10.005,10.03,10.0,10.01,174420.0
2025-10-22,10.05,10.05,10.05,10.05,431.0
2025-10-23,10.03,10.06,10.03,10.06,100524.0
2025-10-24,10.03,10.05,10.03,10.03,63018.0
2025-10-27,10.05,10.05,10.01,10.02,18474.0
2025-10-28,10.025,10.03,10.02,10.02,54990.0
2025-10-29,10.02,10.02,10.02,10.02,97797.0
2025-10-30,10.025,10.025,10.02,10.02,20842.0
2025-10-31,10.02,10.03,10.02,10.03,6783.0
2025-11-03,10.01,10.01,10.01,10.01,2552.0
2025-11-04,10.04,10.04,10.04,10.04,207.0
2025-11-05,10.03,10.05,10.03,10.05,18527.0
2025-11-06,10.05,10.08,10.05,10.08,1176.0
2025-11-07,10.065,10.065,10.065,10.065,149.0
2025-11-10,10.06,10.06,10.06,10.06,135.0
2025-11-11,10.06,10.06,10.06,10.06,94.0
2025-11-12,10.06,10.06,10.06,10.06,41.0
2025-11-13,10.05,10.05,10.045,10.05,1402.0
2025-11-14,10.05,10.05,10.05,10.05,2048.0
2025-11-17,10.05,10.05,10.05,10.05,70.0
2025-11-18,10.05,10.05,10.03,10.04,26471.0
2025-11-19,10.05,10.05,10.05,10.05,1137.0
2025-11-20,10.0301,10.0501,10.03,10.04,5129.0
2025-11-21,10.06,10.07,10.05,10.05,65218.0
2025-11-24,10.03,10.03,10.03,10.03,119.0
2025-11-25,10.09,10.09,10.05,10.05,1484.0
2025-11-26,10.21,10.25,10.13,10.23,3106.0
2025-11-28,10.12,10.12,10.12,10.12,1026.0
2025-12-01,10.12,10.12,10.06,10.06,56870.0
2025-12-02,10.07,10.07,10.07,10.07,149.0
2025-12-03,10.19,10.19,10.07,10.07,708.0
2025-12-04,10.07,10.07,10.07,10.07,137.0
2025-12-05,10.07,10.07,10.07,10.07,25.0
2025-12-08,10.07,10.07,10.07,10.07,25.0
2025-12-09,10.07,10.08,10.07,10.07,3162.0
2025-12-10,10.03,10.03,10.03,10.03,137.0
2025-12-11,10.03,10.03,10.03,10.03,185.0
2025-12-12,10.03,10.03,10.03,10.03,114.0
2025-12-15,10.03,10.03,10.03,10.03,1.0
2025-12-16,10.03,10.08,10.03,10.05,2130.0
2025-12-17,10.03,10.03,10.03,10.03,219.0
2025-12-18,10.03,10.03,10.03,10.03,2.0
2025-12-19,10.06,10.13,10.04,10.04,1309.0
2025-12-22,10.04,10.04,10.04,10.04,174.0
2025-12-23,10.04,10.04,10.04,10.04,0.0
2025-12-24,10.04,10.04,10.04,10.04,0.0
2025-12-26,10.04,10.04,10.04,10.04,0.0
2025-12-29,10.06,10.06,10.04,10.04,1518.0
2025-12-30,10.04,10.04,10.04,10.04,1.0
2025-12-31,10.04,10.04,10.04,10.04,0.0
2026-01-02,10.04,10.04,10.04,10.04,1515.0
2026-01-05,10.03,10.03,10.03,10.03,1572.0
2026-01-06,10.01,10.03,10.01,10.03,1001.0
2026-01-07,10.05,10.05,10.05,10.05,1081.0
2026-01-08,10.05,10.05,10.05,10.05,10.0
2026-01-09,10.05,10.05,10.05,10.05,0.0
2026-01-12,10.05,10.05,10.05,10.05,0.0
2026-01-13,10.09,10.12,10.09,10.12,1400.0
2026-01-14,10.12,10.12,10.12,10.12,0.0
2026-01-15,10.12,10.12,10.12,10.12,40.0
2026-01-16,10.09,10.11,10.08,10.08,1179.0
2026-01-20,10.11,10.15,10.1,10.15,1652.0
2026-01-21,10.15,10.15,10.15,10.15,0.0
2026-01-22,10.13,10.15,10.13,10.15,3077.0
2026-01-23,10.12,10.12,10.11,10.11,1443.0
2026-01-26,10.1,10.17,10.1,10.17,701.0
2026-01-27,10.17,10.17,10.17,10.17,106.0
2026-01-28,10.17,10.17,10.17,10.17,11.0
2026-01-29,10.17,10.24,10.17,10.24,1403.0
2026-01-30,10.24,10.24,10.24,10.24,0.0
2026-02-02,10.24,10.24,10.24,10.24,0.0
2026-02-03,10.24,10.24,10.24,10.24,0.0
2026-02-04,10.175,10.175,10.175,10.175,329.0
2026-02-05,10.175,10.175,10.175,10.175,0.0
2026-02-06,10.175,10.175,10.175,10.175,0.0
2026-02-09,10.175,10.175,10.175,10.175,181.0
2026-02-10,10.2,10.2,10.2,10.2,269.0
2026-02-11,10.15,10.565,10.12,10.565,8855.0
2026-02-12,10.565,10.565,10.565,10.565,433.0
2026-02-13,10.565,10.565,10.565,10.565,232.0
2026-02-17,10.565,10.565,10.565,10.565,143.0
2026-02-18,10.565,10.565,10.565,10.565,207.0
2026-02-19,10.565,10.565,10.565,10.565,271.0
2026-02-20,10.565,10.565,10.565,10.565,78.0
