date,open,high,low,close,volume
2025-10-28,10.06,10.08,10.05,10.06,7846638.0
2025-10-29,10.07,10.1,10.07,10.1,714312.0
2025-10-30,10.12,10.125,10.09,10.115,2005620.0
2025-10-31,10.12,10.15,10.12,10.12,493679.0
2025-11-03,10.15,10.15,10.11,10.13,104799.0
2025-11-04,10.12,10.14,10.12,10.13,140770.0
2025-11-05,10.13,10.14,10.123,10.125,35625.0
2025-11-06,10.13,10.13,10.12,10.13,109395.0
2025-11-07,10.13,10.13,10.11,10.1101,537424.0
2025-11-10,10.115,10.12,10.11,10.11,177684.0
2025-11-11,10.11,10.11,10.1,10.105,268315.0
2025-11-12,10.1,10.12,10.1,10.105,18888.0
2025-11-13,10.11,10.11,10.09,10.095,227531.0
2025-11-14,10.0904,10.1,10.09,10.1,97751.0
2025-11-17,10.1001,10.1047,10.07,10.07,19301.0
2025-11-18,10.06,10.09,10.05,10.08,23534.0
2025-11-19,10.1,10.1,10.065,10.065,9950.0
2025-11-20,10.11,10.11,10.05,10.06,20941.0
2025-11-21,10.21,10.21,10.05,10.11,1587.0
2025-11-24,10.2,10.2,10.055,10.085,101752.0
2025-11-25,10.085,10.09,10.0674,10.09,2190.0
2025-11-26,10.12,10.12,10.07,10.07,515.0
2025-11-28,10.08,10.11,10.05,10.08,8702.0
2025-12-01,10.05,10.12,10.05,10.05,43416.0
2025-12-02,10.09,10.11,10.02,10.05,2152.0
2025-12-03,10.12,10.12,10.02,10.07,1874.0
2025-12-04,10.09,10.1,10.04,10.04,1990.0
2025-12-05,10.04,10.11,10.04,10.08,2666.0
2025-12-08,10.09,10.11,10.04,10.1,11563.0
2025-12-09,10.1,10.1,10.04,10.1,1274.0
2025-12-10,10.04,10.12,10.02,10.02,7172.0
2025-12-11,10.1,10.1,10.02,10.1,469.0
2025-12-12,10.1,10.1,10.02,10.1,590.0
2025-12-15,10.02,10.11,10.02,10.11,963.0
2025-12-16,10.11,10.11,10.02,10.02,1007.0
