date,open,high,low,close,volume
2025-11-17,9.96,9.96,9.9,9.92,30925.0
2025-11-18,9.9,9.94,9.9,9.92,35144.0
2025-11-19,9.92,9.92,9.89,9.9,1285211.0
2025-11-20,9.91,9.91,9.89,9.89,3234747.0
2025-11-21,9.9,9.9,9.89,9.89,180653.0
2025-11-24,9.9,9.9,9.89,9.89,104061.0
2025-11-25,9.89,9.895,9.89,9.89,16127.0
2025-11-26,9.9,9.9,9.87,9.88,112065.0
2025-11-28,9.885,9.885,9.87,9.87,73772.0
2025-12-01,9.88,9.8826,9.87,9.88,214326.0
2025-12-02,9.8801,9.8907,9.87,9.89,132085.0
2025-12-03,9.9,9.9,9.88,9.89,5466.0
2025-12-04,9.89,9.89,9.88,9.8871,43548.0
2025-12-05,9.89,9.89,9.88,9.88,7933.0
2025-12-08,9.89,9.89,9.88,9.885,23366.0
2025-12-09,9.89,9.89,9.88,9.89,552232.0
2025-12-10,9.89,9.9,9.88,9.89,42654.0
2025-12-11,9.88,9.89,9.88,9.89,2392.0
2025-12-12,9.89,9.89,9.89,9.89,20383.0
2025-12-15,9.89,9.89,9.88,9.89,93692.0
2025-12-16,9.89,9.89,9.885,9.89,116218.0
2025-12-17,9.89,9.89,9.8826,9.89,6996.0
2025-12-18,9.89,9.89,9.88,9.88,133555.0
2025-12-19,9.88,9.88,9.87,9.88,61283.0
2025-12-22,9.885,9.885,9.88,9.88,10996.0
2025-12-23,9.88,9.88,9.88,9.88,30.0
2025-12-24,9.88,9.88,9.88,9.88,128.0
2025-12-26,9.88,9.88,9.88,9.88,26.0
2025-12-29,9.9,9.9,9.88,9.88,48097.0
2025-12-30,9.88,9.885,9.87,9.885,60384.0
2025-12-31,9.89,9.89,9.89,9.89,361.0
2026-01-02,9.88,9.89,9.88,9.89,4357.0
2026-01-05,9.88,9.89,9.87,9.89,337424.0
2026-01-06,9.885,9.89,9.8846,9.89,549.0
2026-01-07,9.895,9.9,9.89,9.89,64075.0
2026-01-08,9.89,9.9,9.89,9.89,5304.0
2026-01-09,9.89,9.89,9.89,9.89,211.0
2026-01-12,9.9,9.9,9.89,9.89,229384.0
2026-01-13,9.89,9.9,9.89,9.9,107945.0
2026-01-14,9.9,9.9,9.89,9.9,377988.0
2026-01-15,9.9,9.91,9.89,9.9,117564.0
2026-01-16,9.9,9.91,9.9,9.91,45101.0
2026-01-20,9.9,9.91,9.89,9.9,119305.0
2026-01-21,9.91,9.91,9.9,9.9,2392.0
2026-01-22,9.91,9.94,9.905,9.935,325343.0
2026-01-23,9.92,9.92,9.92,9.92,3551.0
2026-01-26,9.92,9.92,9.92,9.92,25033.0
2026-01-27,9.93,9.95,9.93,9.93,313062.0
2026-01-28,9.93,9.95,9.925,9.94,1016654.0
2026-01-29,9.94,9.95,9.93,9.95,269100.0
2026-01-30,9.95,9.98,9.94,9.98,179399.0
2026-02-02,9.95,9.97,9.95,9.97,125835.0
2026-02-03,9.98,9.99,9.95,9.99,218377.0
2026-02-04,9.98,9.99,9.98,9.99,7291.0
2026-02-05,9.98,9.98,9.98,9.98,185.0
2026-02-06,9.99,9.99,9.99,9.99,279.0
2026-02-09,9.99,9.99,9.99,9.99,406.0
2026-02-10,9.98,9.98,9.98,9.98,411.0
2026-02-11,9.98,9.98,9.94,9.95,111462.0
2026-02-12,9.96,9.96,9.94,9.96,220409.0
2026-02-13,9.96,9.98,9.955,9.98,791444.0
2026-02-17,9.975,9.99,9.97,9.99,205749.0
2026-02-18,9.98,9.98,9.96,9.98,5012.0
2026-02-19,9.98,9.98,9.98,9.98,269.0
2026-02-20,9.98,9.98,9.98,9.98,211.0
2026-02-23,9.98,9.98,9.92,9.92,8857.0
2026-02-24,9.98,9.98,9.94,9.94,19674.0
2026-02-25,9.97,9.97,9.95,9.97,110067.0
2026-02-26,9.94,9.96,9.94,9.96,1232.0
2026-02-27,9.96,9.96,9.96,9.96,4.0
2026-03-02,9.96,9.98,9.94,9.955,212683.0
2026-03-03,9.93,9.96,9.92,9.94,197290.0
2026-03-04,9.96,9.96,9.92,9.92,11218.0
2026-03-05,9.96,9.965,9.93,9.93,18881.0
2026-03-06,9.96,9.96,9.955,9.96,10946.0
2026-03-09,9.98,10.0,9.97,10.0,2736.0
2026-03-10,9.969,9.97,9.969,9.97,375.0
2026-03-11,9.94,9.96,9.94,9.96,50325.0
2026-03-12,9.97,9.97,9.97,9.97,260.0
2026-03-13,9.98,9.98,9.98,9.98,286.0
2026-03-16,9.94,9.955,9.94,9.955,10668.0
2026-03-17,9.94,9.94,9.94,9.94,1902.0
2026-03-18,9.95,9.97,9.945,9.97,132389.0
2026-03-19,9.94,9.96,9.94,9.96,506.0
2026-03-20,9.94,9.96,9.94,9.94,1048.0
2026-03-23,9.94,9.94,9.94,9.94,423.0
2026-03-24,9.94,9.94,9.94,9.94,2.0
2026-03-25,9.94,9.94,9.94,9.94,72.0
2026-03-26,9.94,9.94,9.94,9.94,123.0
2026-03-27,9.96,9.96,9.955,9.96,30713.0
2026-03-30,9.93,9.96,9.93,9.96,68253.0
2026-03-31,9.94,9.94,9.94,9.94,1659.0
2026-04-01,9.94,9.94,9.94,9.94,898.0
2026-04-02,9.97,9.97,9.97,9.97,607.0
2026-04-06,9.999,10.0,9.999,9.9999,709.0
2026-04-07,9.9999,9.9999,9.9999,9.9999,107.0
2026-04-08,9.99,9.99,9.99,9.99,336.0
2026-04-09,9.955,9.955,9.93,9.95,92709.0
2026-04-10,9.95,9.99,9.95,9.97,25636.0
2026-04-13,9.99,9.99,9.99,9.99,99.0
2026-04-14,9.97,9.97,9.97,9.97,65.0
2026-04-15,9.97,9.9734,9.97,9.9734,2214.0
2026-04-16,9.98,9.98,9.98,9.98,72478.0
2026-04-17,9.98,9.99,9.98,9.99,53099.0
2026-04-20,9.99,9.995,9.99,9.995,8754.0
2026-04-21,10.0,10.005,9.98,9.99,271121.0
2026-04-22,9.98,10.0,9.98,10.0,99444.0
2026-04-23,10.0,10.0,9.985,9.99,80255.0
