date,open,high,low,close,volume
2019-05-28,25.5,25.65,25.475,25.544,501792.0
2019-05-29,25.5,25.51,25.36,25.41,515857.0
2019-05-30,25.45,25.49,25.4,25.43,181113.0
2019-05-31,25.42,25.85,25.35,25.47,732541.0
2019-06-03,25.506,25.55,25.39,25.41,120016.0
2019-06-04,25.46,25.48,25.418,25.46,282345.0
2019-06-05,25.49,25.53,25.44,25.44,96183.0
2019-06-06,25.45,25.5,25.45,25.46,661123.0
2019-06-07,25.48,25.59,25.46,25.55,61335.0
2019-06-10,25.62,25.64,25.58,25.601,55653.0
2019-06-11,25.65,25.65,25.535,25.6,86161.0
2019-06-12,25.58,25.58,25.52,25.56,264140.0
2019-06-13,25.445,25.49,25.38,25.49,181077.0
2019-06-14,25.467,25.54,25.42,25.54,79259.0
2019-06-17,25.523,25.74,25.505,25.58,213621.0
2019-06-18,25.64,25.69,25.6,25.65,38534.0
2019-06-19,25.65,25.68,25.565,25.63,29507.0
2019-06-20,25.69,25.72,25.62,25.63,443935.0
2019-06-21,25.58,25.69,25.53,25.61,68718.0
2019-06-24,25.64,25.68,25.59,25.61,82266.0
2019-06-25,25.61,25.67,25.57,25.57,57517.0
2019-06-26,25.64,25.65,25.53,25.58,128605.0
2019-06-27,25.58,25.66,25.52,25.65,512790.0
2019-06-28,25.67,25.78,25.61,25.78,347393.0
2019-07-01,25.81,25.81,25.63,25.64,33446.0
2019-07-02,25.68,25.78,25.68,25.74,34684.0
2019-07-03,25.78,25.8,25.71,25.76,48120.0
2019-07-05,25.8,25.8,25.65,25.69,89873.0
2019-07-08,25.79,25.79,25.65,25.68,29348.0
2019-07-09,25.72,25.73,25.673,25.7,34808.0
2019-07-10,25.74,25.81,25.68,25.81,110706.0
2019-07-11,25.75,25.781,25.68,25.69,41783.0
2019-07-12,25.7,25.75,25.66,25.68,61383.0
2019-07-15,25.68,25.8,25.63,25.778,407182.0
2019-07-16,25.8,25.84,25.77,25.8,34652.0
2019-07-17,25.8,25.99,25.8,25.98,37992.0
2019-07-18,25.98,26.13,25.98,26.13,100050.0
2019-07-19,26.13,26.22,26.027,26.22,58232.0
2019-07-22,26.23,26.47,26.23,26.4,54914.0
2019-07-23,26.47,26.66,26.4,26.5,39778.0
2019-07-24,26.36,26.73,26.36,26.68,39266.0
2019-07-25,26.73,26.73,26.39,26.63,74344.0
2019-07-26,26.57,26.66,26.445,26.63,14422.0
2019-07-29,26.65,26.74,26.64,26.73,15244.0
2019-07-30,26.73,26.77,26.65,26.7,28672.0
2019-07-31,26.7,26.87,26.655,26.8,90373.0
2019-08-01,26.61,26.88,26.61,26.86,26354.0
2019-08-02,26.86,26.93,26.73,26.875,28495.0
2019-08-05,26.78,26.78,26.42,26.54,8407.0
2019-08-06,26.57,26.8,26.501,26.75,31833.0
2019-08-07,26.52,26.7,26.418,26.61,12350.0
2019-08-08,26.589,26.74,26.589,26.74,12042.0
2019-08-09,26.642,26.74,26.642,26.74,5430.0
2019-08-12,26.79,26.79,26.62,26.79,3282.0
2019-08-13,26.78,26.79,26.7,26.73,8551.0
2019-08-14,26.601,26.76,26.601,26.75,50721.0
2019-08-15,26.76,26.88,26.56,26.85,11138.0
2019-08-16,26.87,26.926,26.776,26.83,9849.0
2019-08-19,26.89,26.89,26.7,26.82,14867.0
2019-08-20,26.82,26.96,26.725,26.94,13057.0
2019-08-21,26.96,27.08,26.833,27.08,15699.0
2019-08-22,27.08,27.08,26.934,27.04,22705.0
2019-08-23,27.04,27.17,27.0,27.11,15781.0
2019-08-26,27.15,27.32,27.09,27.3,22420.0
2019-08-27,27.3,27.35,27.22,27.33,34369.0
2019-08-28,27.335,27.49,27.32,27.49,22528.0
2019-08-29,27.48,27.49,27.327,27.39,25879.0
2019-08-30,27.43,27.86,27.42,27.86,74158.0
2019-09-03,27.75,27.78,27.685,27.77,12497.0
2019-09-04,27.77,27.891,27.61,27.89,31179.0
2019-09-05,27.88,27.94,27.71,27.755,20359.0
