date,open,high,low,close,volume
1999-11-01,13.81,13.94,13.38,13.38,289200.0
1999-11-02,13.81,14.0,13.62,13.88,124100.0
1999-11-03,14.0,14.0,13.5,13.5,170300.0
1999-11-04,13.5,13.94,13.38,13.5,136200.0
1999-11-05,13.5,13.62,13.31,13.38,100500.0
1999-11-08,13.44,13.5,13.25,13.31,56700.0
1999-11-09,13.38,13.38,12.81,12.94,72500.0
1999-11-10,12.88,13.56,12.88,13.38,92000.0
1999-11-11,13.5,13.81,13.38,13.75,125000.0
1999-11-12,13.62,13.88,13.38,13.38,87900.0
1999-11-15,13.38,13.81,13.06,13.75,95700.0
1999-11-16,13.75,14.19,13.69,14.0,502400.0
1999-11-17,14.38,14.75,14.06,14.06,303400.0
1999-11-18,14.12,14.38,14.06,14.19,69800.0
1999-11-19,14.06,14.5,13.88,14.5,181600.0
1999-11-22,14.25,14.56,14.12,14.56,66200.0
1999-11-23,14.38,14.5,14.19,14.25,71000.0
1999-11-24,14.19,14.19,14.0,14.12,47500.0
1999-11-26,13.91,14.0,13.44,13.44,103400.0
1999-11-29,13.56,13.56,11.81,12.06,276200.0
1999-11-30,11.94,12.69,11.62,12.5,302600.0
1999-12-01,12.69,13.0,12.38,13.0,135300.0
1999-12-02,12.81,13.0,12.62,13.0,202200.0
1999-12-03,13.0,13.12,12.75,13.0,263500.0
1999-12-06,12.75,13.25,12.75,13.0,148500.0
1999-12-07,13.0,13.69,13.0,13.5,246400.0
1999-12-08,13.69,13.88,13.25,13.88,80300.0
1999-12-09,13.75,14.12,13.75,13.97,94300.0
1999-12-10,13.88,14.0,13.25,13.44,15000.0
1999-12-13,13.31,13.38,13.0,13.0,21700.0
1999-12-14,13.0,13.25,12.62,12.75,46600.0
1999-12-15,12.69,13.62,12.69,13.62,124400.0
1999-12-16,13.12,13.69,13.06,13.06,112000.0
1999-12-17,13.0,13.25,13.0,13.12,69400.0
1999-12-20,13.12,13.38,12.81,12.81,57800.0
1999-12-21,13.12,13.12,12.5,12.75,53600.0
1999-12-22,12.62,13.44,12.5,13.06,51100.0
1999-12-23,13.12,13.44,13.0,13.06,28500.0
1999-12-27,13.5,13.5,12.75,12.75,100400.0
1999-12-28,12.62,12.88,12.0,12.25,76000.0
1999-12-29,12.0,12.5,12.0,12.06,66200.0
1999-12-30,12.12,12.38,12.0,12.0,26400.0
1999-12-31,12.25,12.31,12.0,12.0,23500.0
2000-01-03,12.25,12.69,12.12,12.56,91700.0
2000-01-04,12.62,12.75,12.44,12.72,37000.0
2000-01-05,12.75,12.88,12.44,12.75,78100.0
2000-01-06,12.75,13.38,12.75,13.19,56600.0
2000-01-07,13.44,13.75,13.19,13.62,176600.0
2000-01-10,13.38,13.75,13.25,13.38,122100.0
2000-01-11,13.12,13.12,11.88,12.06,69800.0
2000-01-12,12.06,13.25,12.06,13.19,167400.0
2000-01-13,13.5,13.94,13.31,13.5,126900.0
2000-01-14,13.25,13.38,12.44,12.56,29500.0
2000-01-18,12.75,13.75,12.62,13.5,168600.0
2000-01-19,13.31,13.62,12.62,13.44,85000.0
2000-01-20,13.94,14.0,12.69,13.5,165400.0
2000-01-21,13.75,13.75,13.12,13.41,118400.0
2000-01-24,13.31,13.41,12.75,13.25,86500.0
2000-01-25,12.88,13.38,12.81,13.25,53800.0
2000-01-26,13.25,13.38,12.5,12.88,149600.0
2000-01-27,13.25,13.25,10.0,11.75,262600.0
2000-01-28,11.88,12.0,11.5,11.88,157200.0
2000-01-31,11.88,11.88,11.75,11.88,229900.0
2000-02-01,12.0,12.25,11.75,11.75,105000.0
2000-02-02,11.81,11.81,11.5,11.5,83700.0
2000-02-03,11.62,12.12,11.62,12.0,83300.0
2000-02-04,12.12,12.5,12.0,12.09,152400.0
2000-02-07,12.12,12.12,11.5,11.5,33200.0
2000-02-08,11.88,12.12,11.38,11.44,92700.0
2000-02-09,12.0,12.0,10.62,11.25,327800.0
2000-02-10,11.5,11.88,11.12,11.12,353200.0
2000-02-11,11.25,11.31,10.88,11.0,200400.0
2000-02-14,11.0,11.19,10.75,10.81,88500.0
2000-02-15,10.75,11.38,10.75,11.0,209200.0
2000-02-16,11.19,11.75,11.12,11.56,66500.0
2000-02-17,11.5,11.75,11.25,11.62,36900.0
2000-02-18,11.38,11.75,11.38,11.5,71900.0
2000-02-22,11.88,12.0,11.5,11.5,125600.0
2000-02-23,11.5,11.5,10.69,11.0,416300.0
2000-02-24,11.12,11.12,10.0,10.12,266700.0
2000-02-25,10.0,10.12,9.0,9.44,439900.0
2000-02-28,9.81,9.88,9.38,9.5,229400.0
2000-02-29,9.5,9.75,9.25,9.44,186800.0
2000-03-01,9.62,9.62,9.38,9.5,137900.0
2000-03-02,9.5,9.75,9.25,9.31,156200.0
2000-03-03,9.5,10.06,9.44,10.06,47000.0
2000-03-06,10.12,10.25,10.0,10.06,39800.0
2000-03-07,10.12,10.12,10.0,10.0,34300.0
2000-03-08,10.0,10.12,9.75,9.75,81500.0
2000-03-09,10.0,10.0,9.44,9.5,91400.0
2000-03-10,9.5,10.69,9.44,10.12,183500.0
2000-03-13,10.38,10.5,9.88,10.12,35300.0
2000-03-14,10.12,10.94,10.06,10.94,72000.0
2000-03-15,11.0,11.5,10.75,11.0,29000.0
2000-03-16,11.56,11.62,11.0,11.31,148200.0
2000-03-17,10.88,11.38,10.75,11.31,173900.0
2000-03-20,11.25,11.38,11.0,11.25,114300.0
2000-03-21,11.25,11.31,11.19,11.31,66300.0
2000-03-22,11.38,11.5,11.25,11.31,79700.0
2000-03-23,11.31,11.44,11.25,11.28,48900.0
2000-03-24,11.31,11.75,11.31,11.62,35700.0
2000-03-27,11.62,11.69,11.0,11.0,38200.0
2000-03-28,11.12,11.88,11.0,11.69,79900.0
2000-03-29,11.81,11.94,11.62,11.81,53200.0
2000-03-30,11.94,11.94,11.38,11.38,46200.0
2000-03-31,11.5,11.75,10.38,10.5,44600.0
2000-04-03,10.88,11.25,10.75,11.25,86200.0
2000-04-04,11.38,11.62,11.19,11.59,121900.0
2000-04-05,11.75,12.0,11.62,12.0,73500.0
2000-04-06,12.0,12.88,11.97,12.38,138000.0
2000-04-07,12.56,12.88,12.5,12.75,108600.0
2000-04-10,12.62,13.0,12.62,12.88,80100.0
2000-04-11,12.88,13.0,12.0,12.19,154300.0
2000-04-12,12.5,13.19,12.12,12.88,225100.0
2000-04-13,13.12,13.5,13.0,13.38,178800.0
2000-04-14,13.12,13.62,12.62,12.62,111000.0
2000-04-17,12.62,13.38,12.62,13.38,42300.0
2000-04-18,13.38,14.12,13.25,14.06,213000.0
2000-04-19,14.12,14.25,13.62,13.62,119600.0
2000-04-20,13.5,13.88,13.12,13.12,53500.0
2000-04-24,13.12,13.5,12.62,12.88,115800.0
2000-04-25,13.25,13.38,13.0,13.25,63900.0
2000-04-26,13.38,13.5,12.56,12.88,73900.0
2000-04-27,12.88,13.19,12.81,12.94,40600.0
2000-04-28,12.94,13.12,12.88,12.94,63900.0
2000-05-01,13.0,13.62,12.88,13.44,120300.0
2000-05-02,13.41,13.62,12.88,13.0,124200.0
2000-05-03,12.94,13.25,12.88,12.94,106200.0
2000-05-04,13.0,13.0,12.81,12.81,61900.0
2000-05-05,12.94,13.12,12.75,13.12,55900.0
2000-05-08,13.0,13.0,12.62,12.62,73700.0
2000-05-09,12.75,12.88,12.56,12.62,82200.0
2000-05-10,12.59,12.62,12.12,12.19,24900.0
2000-05-11,12.31,12.69,11.69,12.0,88400.0
2000-05-12,11.88,12.12,11.88,11.94,101200.0
2000-05-15,12.12,12.12,12.0,12.06,106400.0
2000-05-16,11.88,12.19,11.88,12.06,184900.0
2000-05-17,12.12,12.12,11.69,11.88,18500.0
2000-05-18,11.88,11.88,10.75,10.75,54800.0
2000-05-19,11.0,11.19,10.88,11.06,80900.0
2000-05-22,11.0,11.5,10.94,11.31,126700.0
2000-05-23,11.5,11.88,11.25,11.75,36400.0
2000-05-24,11.81,11.88,11.62,11.75,102700.0
2000-05-25,12.0,12.0,11.69,11.81,223000.0
2000-05-26,11.84,12.0,11.17,11.22,34700.0
2000-05-30,11.5,12.0,11.5,11.75,90500.0
2000-05-31,11.94,11.94,11.0,11.0,68300.0
2000-06-01,11.12,11.5,11.06,11.5,120600.0
2000-06-02,11.62,12.0,11.53,11.69,51000.0
2000-06-05,11.88,12.0,11.75,11.88,78500.0
2000-06-06,12.0,12.0,11.75,11.75,32400.0
2000-06-07,11.94,12.0,11.88,11.91,57400.0
2000-06-08,12.0,12.06,11.75,11.94,37500.0
2000-06-09,12.0,12.12,11.88,12.0,123500.0
2000-06-12,12.06,12.06,11.94,12.06,226300.0
2000-06-13,12.12,12.31,12.0,12.19,153600.0
2000-06-14,12.31,12.62,12.06,12.62,60900.0
2000-06-15,12.62,12.62,12.0,12.38,159600.0
2000-06-16,12.41,13.12,12.38,12.62,67200.0
2000-06-19,12.62,12.62,12.38,12.5,105100.0
2000-06-20,12.5,12.62,12.0,12.06,441700.0
2000-06-21,12.12,12.25,11.88,12.25,112100.0
2000-06-22,12.56,12.75,11.75,11.88,197400.0
2000-06-23,12.25,12.81,12.19,12.81,97000.0
2000-06-26,12.5,12.84,12.19,12.62,97300.0
2000-06-27,12.25,12.75,12.25,12.5,148500.0
2000-06-28,12.31,12.56,12.25,12.25,116300.0
2000-06-29,12.28,12.44,11.81,12.06,235800.0
2000-06-30,12.0,12.31,9.75,9.94,539000.0
2000-07-03,10.47,11.12,10.38,11.0,113000.0
2000-07-05,11.09,11.12,10.69,10.88,114200.0
2000-07-06,11.0,11.06,10.88,11.0,135800.0
2000-07-07,11.0,11.0,10.5,10.81,77400.0
2000-07-10,10.62,11.12,10.44,10.69,95300.0
2000-07-11,10.56,11.12,10.56,11.06,345900.0
2000-07-12,11.19,11.25,11.0,11.12,195600.0
2000-07-13,10.94,11.12,10.94,11.06,80200.0
2000-07-14,11.12,11.12,11.0,11.06,147100.0
2000-07-17,11.12,11.12,10.94,11.0,159600.0
2000-07-18,10.94,11.06,10.94,11.0,119900.0
2000-07-19,11.06,11.06,10.75,11.0,141900.0
2000-07-20,12.0,12.25,11.56,12.06,377700.0
2000-07-21,12.25,12.25,11.75,11.88,152900.0
2000-07-24,12.09,12.12,11.78,11.94,130700.0
2000-07-25,12.25,12.5,12.06,12.31,505500.0
2000-07-26,12.38,13.5,12.38,13.38,284400.0
2000-07-27,13.5,13.75,13.0,13.75,163200.0
2000-07-28,13.38,13.94,13.38,13.81,99000.0
2000-07-31,13.94,14.25,13.81,14.19,316600.0
2000-08-01,14.25,14.38,14.19,14.25,54600.0
2000-08-02,14.19,14.38,14.12,14.25,235400.0
2000-08-03,13.75,14.44,13.75,14.41,196000.0
2000-08-04,14.31,14.44,14.19,14.25,50100.0
2000-08-07,14.12,14.69,14.0,14.69,272100.0
2000-08-08,14.69,14.88,14.56,14.88,83500.0
2000-08-09,14.91,16.0,14.88,15.69,235500.0
2000-08-10,15.88,16.25,15.44,15.56,657200.0
2000-08-11,15.88,15.94,15.62,15.81,70900.0
2000-08-14,15.91,17.0,15.88,16.38,444600.0
2000-08-15,16.5,16.5,16.12,16.12,106100.0
2000-08-16,16.25,16.25,15.62,15.72,120200.0
2000-08-17,15.5,16.12,15.5,16.06,194200.0
2000-08-18,16.0,16.0,14.56,14.81,116900.0
2000-08-21,15.12,15.94,14.88,15.88,48200.0
2000-08-22,15.91,16.0,15.75,15.75,19700.0
2000-08-23,15.88,15.88,14.62,14.81,54700.0
2000-08-24,14.5,15.81,13.75,14.5,273700.0
2000-08-25,14.25,14.56,13.62,14.38,57500.0
2000-08-28,14.62,15.19,14.25,15.12,79900.0
2000-08-29,14.66,15.06,14.62,15.0,102700.0
2000-08-30,14.69,15.06,14.69,15.06,45300.0
2000-08-31,15.12,15.12,14.88,15.06,93900.0
2000-09-01,14.88,15.12,14.88,15.06,123200.0
2000-09-05,14.62,15.31,14.59,15.0,103800.0
2000-09-06,15.0,15.25,14.94,15.12,183900.0
2000-09-07,15.16,15.25,14.62,14.64,68400.0
2000-09-08,14.75,14.81,14.19,14.62,75700.0
2000-09-11,14.56,14.62,13.83,14.0,60700.0
2000-09-12,14.44,14.75,13.75,14.31,65700.0
2000-09-13,14.0,14.25,13.88,14.0,52600.0
2000-09-14,13.81,14.19,13.38,14.0,90700.0
2000-09-15,14.0,14.0,13.56,13.81,99600.0
2000-09-18,13.88,13.89,12.88,13.06,89900.0
2000-09-19,13.0,14.25,13.0,14.0,90700.0
2000-09-20,14.0,14.25,13.88,13.88,95800.0
2000-09-21,13.88,14.12,13.5,14.12,55700.0
2000-09-22,14.06,15.0,14.06,14.81,68800.0
2000-09-25,15.19,15.25,14.0,14.0,59400.0
2000-09-26,14.12,14.19,13.0,13.94,59700.0
2000-09-27,14.09,14.25,13.19,14.25,88000.0
2000-09-28,14.0,15.75,14.0,15.5,133700.0
2000-09-29,15.5,15.5,15.06,15.38,328400.0
2000-10-02,15.44,15.5,14.25,14.75,83500.0
2000-10-03,14.94,15.0,14.69,14.88,16300.0
2000-10-04,14.94,15.12,14.75,14.94,35100.0
2000-10-05,14.88,15.12,14.81,14.81,50400.0
2000-10-06,14.88,14.94,14.25,14.56,51600.0
