date,open,high,low,close,volume
1999-11-01,0.09,0.09,0.09,0.09,0.0
1999-11-02,0.09,0.09,0.09,0.09,0.0
1999-11-03,0.06,0.06,0.06,0.06,0.0
1999-11-04,0.06,0.06,0.06,0.06,0.0
1999-11-05,0.06,0.06,0.06,0.06,0.0
1999-11-08,0.06,0.06,0.06,0.06,0.0
1999-11-09,0.06,0.06,0.06,0.06,0.0
1999-11-10,0.06,0.06,0.06,0.06,0.0
1999-11-11,0.06,0.06,0.06,0.06,0.0
1999-11-12,0.06,0.06,0.06,0.06,0.0
1999-11-15,0.06,0.06,0.06,0.06,0.0
1999-11-16,0.06,0.06,0.06,0.06,0.0
1999-11-17,0.06,0.06,0.06,0.06,0.0
1999-11-18,0.06,0.06,0.06,0.06,0.0
1999-11-19,0.06,0.06,0.06,0.06,0.0
1999-11-22,0.06,0.06,0.06,0.06,0.0
1999-11-23,0.06,0.06,0.06,0.06,0.0
1999-11-24,0.06,0.06,0.06,0.06,0.0
1999-11-26,0.06,0.06,0.06,0.06,0.0
1999-11-29,0.06,0.06,0.06,0.06,0.0
1999-11-30,0.06,0.06,0.06,0.06,0.0
1999-12-01,0.06,0.06,0.06,0.06,0.0
1999-12-02,0.06,0.06,0.06,0.06,0.0
1999-12-03,0.08,0.08,0.08,0.08,0.0
1999-12-06,0.08,0.08,0.08,0.08,0.0
1999-12-07,0.08,0.08,0.08,0.08,0.0
1999-12-08,0.06,0.06,0.06,0.06,0.0
1999-12-09,0.06,0.06,0.06,0.06,0.0
1999-12-10,0.06,0.06,0.06,0.06,0.0
1999-12-13,0.06,0.06,0.06,0.06,0.0
1999-12-14,0.06,0.06,0.06,0.06,0.0
1999-12-15,0.06,0.06,0.06,0.06,0.0
1999-12-16,0.06,0.06,0.06,0.06,0.0
1999-12-17,0.06,0.06,0.06,0.06,0.0
1999-12-20,0.06,0.06,0.06,0.06,0.0
1999-12-21,0.06,0.06,0.06,0.06,0.0
1999-12-22,0.06,0.06,0.06,0.06,0.0
1999-12-23,0.06,0.06,0.06,0.06,0.0
1999-12-27,0.06,0.06,0.06,0.06,0.0
1999-12-28,0.06,0.06,0.06,0.06,0.0
1999-12-29,0.06,0.06,0.06,0.06,0.0
1999-12-30,0.06,0.06,0.06,0.06,0.0
1999-12-31,0.06,0.06,0.06,0.06,0.0
2000-01-03,0.06,0.06,0.06,0.06,0.0
2000-01-04,0.06,0.06,0.06,0.06,0.0
2000-01-05,0.06,0.06,0.06,0.06,0.0
