date,open,high,low,close,volume
2021-04-23,0.3,0.3,0.3,0.3,801.0
2021-04-26,0.4,1.5,0.4,1.5,200.0
2021-04-27,1.95,1.95,0.9,1.0,805.0
2021-04-28,0.98,0.98,0.98,0.98,301.0
2021-04-29,0.98,0.98,0.9,0.9,407.0
2021-04-30,0.56,0.75,0.56,0.75,1557.0
2021-05-03,0.7001,0.7505,0.7,0.75,149926.0
2021-05-04,0.7,0.725,0.7,0.7,1382.0
2021-05-05,0.7,0.75,0.7,0.75,28781.0
2021-05-06,0.75,0.75,0.75,0.75,0.0
2021-05-07,0.75,0.76,0.75,0.75,1305.0
2021-05-10,0.78,0.78,0.7749,0.7749,25200.0
2021-05-11,0.7749,0.7749,0.7749,0.7749,0.0
2021-05-12,0.7749,0.7749,0.7749,0.7749,0.0
2021-05-13,0.7749,0.7749,0.7749,0.7749,0.0
2021-05-14,0.7,0.7,0.698,0.7,57099.0
2021-05-17,0.7,0.7,0.7,0.7,1.0
2021-05-18,0.7501,0.7501,0.7,0.7,10350.0
2021-05-19,0.7,0.7,0.7,0.7,12.0
2021-05-20,0.7,0.7,0.7,0.7,500.0
2021-05-21,0.7,0.7,0.7,0.7,0.0
2021-05-24,0.7,0.7,0.7,0.7,0.0
2021-05-25,0.7651,0.7651,0.66,0.7,14212.0
2021-05-26,0.6931,0.6931,0.6931,0.6931,100.0
2021-05-27,0.6931,0.6931,0.6931,0.6931,0.0
2021-05-28,0.6931,0.6931,0.6931,0.6931,0.0
2021-06-01,0.7055,0.7055,0.7055,0.7055,350.0
2021-06-02,0.7,0.7,0.6799,0.6799,2700.0
2021-06-03,0.7,0.7,0.7,0.7,33404.0
2021-06-04,0.7,0.7,0.6751,0.6751,1766.0
2021-06-07,0.6751,0.6751,0.6751,0.6751,0.0
2021-06-08,0.7915,0.7915,0.7915,0.7915,1000.0
2021-06-09,0.8006,0.85,0.7995,0.85,19612.0
2021-06-10,0.8501,0.8501,0.85,0.85,1941.0
2021-06-11,0.85,0.85,0.8206,0.8206,3638.0
2021-06-14,0.9001,0.9202,0.9001,0.9202,1492.0
2021-06-15,0.9202,0.9202,0.9202,0.9202,24.0
2021-06-16,0.9202,0.9202,0.9202,0.9202,0.0
2021-06-17,0.9202,0.9202,0.9202,0.9202,0.0
2021-06-18,0.9202,0.9202,0.9202,0.9202,0.0
2021-06-21,0.9502,0.9502,0.9,0.9401,3090.0
2021-06-22,1.07,1.07,1.07,1.07,125.0
2021-06-23,1.03,1.03,0.9077,0.9288,13352.0
2021-06-24,0.9288,0.9288,0.9288,0.9288,0.0
2021-06-25,0.9288,0.9288,0.9288,0.9288,1.0
2021-06-28,1.01,1.01,0.99,0.9901,102400.0
2021-06-29,1.01,1.01,1.01,1.01,250.0
2021-06-30,1.02,1.0201,1.02,1.02,64792.0
2021-07-01,1.56,1.56,1.27,1.4459,347448.0
2021-07-02,1.55,1.5699,1.35,1.4402,55821.0
2021-07-06,1.45,1.55,1.25,1.33,79132.0
2021-07-07,1.33,1.37,1.29,1.37,5216.0
2021-07-08,1.35,1.35,1.29,1.32,29465.0
2021-07-09,1.302,1.41,1.3,1.39,59792.0
2021-07-12,1.355,1.3661,1.34,1.34,4549.0
2021-07-13,1.35,1.38,1.35,1.35,8564.0
2021-07-14,1.35,1.35,1.3,1.34,11146.0
2021-07-15,1.3,1.32,1.3,1.3,12137.0
2021-07-16,1.3,1.3169,1.3,1.31,7935.0
2021-07-19,1.2899,1.2899,1.27,1.27,834.0
2021-07-20,1.23,1.2301,1.21,1.21,10601.0
2021-07-21,1.27,1.2701,1.21,1.21,1375.0
2021-07-22,1.22,1.2301,1.21,1.21,5008.0
2021-07-23,1.21,1.21,1.21,1.21,0.0
2021-07-26,1.21,1.21,1.19,1.19,1175.0
2021-07-27,1.19,1.19,1.19,1.19,27.0
2021-07-28,1.215,1.215,1.1,1.13,23522.0
2021-07-29,1.13,1.13,1.13,1.13,0.0
2021-07-30,1.22,1.28,1.22,1.28,336.0
2021-08-02,1.08,1.2,1.06,1.16,22176.0
2021-08-03,1.16,1.16,1.05,1.09,5883.0
2021-08-04,1.06,1.0699,1.03,1.06,8996.0
2021-08-05,1.035,1.09,1.035,1.06,16899.0
2021-08-06,1.06,1.3,1.03,1.05,3066.0
2021-08-09,1.04,1.05,1.0,1.05,2200.0
2021-08-10,1.0599,1.1,1.0599,1.06,15305.0
2021-08-11,1.04,1.06,1.0399,1.06,2615.0
2021-08-12,1.06,1.06,1.06,1.06,0.0
2021-08-13,1.0,1.03,1.0,1.0,2316.0
2021-08-16,1.0,1.06,0.99,1.06,914.0
2021-08-17,0.9501,0.99,0.94,0.99,2013.0
2021-08-18,0.99,0.99,0.99,0.99,1.0
2021-08-19,0.8901,0.977,0.752,0.7811,29607.0
2021-08-20,0.78,0.78,0.6591,0.7799,7845.0
2021-08-23,0.7799,0.7799,0.7799,0.7799,200.0
2021-08-24,0.7499,0.7799,0.69,0.6901,6900.0
2021-08-25,0.69,0.69,0.6,0.62,23024.0
2021-08-26,0.6199,0.63,0.6199,0.63,10931.0
2021-08-27,0.63,0.63,0.63,0.63,10.0
2021-08-30,0.66,0.75,0.65,0.75,1933.0
2021-08-31,0.6674,0.6799,0.6674,0.6799,1753.0
2021-09-01,0.6674,0.689,0.601,0.64,5547.0
2021-09-02,0.69,0.72,0.65,0.65,10200.0
2021-09-03,0.7398,0.74,0.7101,0.72,6288.0
2021-09-07,0.71,0.75,0.71,0.75,875.0
2021-09-08,0.75,0.75,0.75,0.75,0.0
2021-09-09,0.7,0.7,0.7,0.7,330.0
2021-09-10,0.7,0.7,0.7,0.7,1.0
2021-09-13,0.7,0.7,0.7,0.7,4966.0
2021-09-14,0.6714,0.6714,0.6709,0.6709,820.0
2021-09-15,0.6401,0.6401,0.6,0.621,8815.0
2021-09-16,0.621,0.621,0.621,0.621,32.0
2021-09-17,0.62,0.6998,0.5419,0.6699,35435.0
2021-09-20,0.5601,0.6499,0.56,0.6499,54940.0
2021-09-21,0.67,0.7399,0.6001,0.65,13662.0
2021-09-22,0.6899,0.6899,0.6302,0.65,6700.0
2021-09-23,0.7499,0.7499,0.695,0.7101,1071.0
2021-09-24,0.7101,0.7101,0.7101,0.7101,160.0
2021-09-27,0.7004,0.7499,0.6509,0.6985,13419.0
2021-09-28,0.6948,0.695,0.65,0.6501,18900.0
2021-09-29,0.7045,0.7045,0.66,0.67,6685.0
2021-09-30,0.7,0.7099,0.67,0.7,131292.0
2021-10-01,0.709,0.7195,0.63,0.6301,28861.0
