date,open,high,low,close,volume
2003-07-15,2.7506,2.7506,2.7506,2.7506,0.0
2003-07-16,2.7005,2.8006,2.7005,2.7005,6000.0
2003-07-17,2.7506,2.7506,2.7005,2.7005,0.0
2003-07-18,2.7506,2.7506,2.7506,2.7506,0.0
2003-07-21,2.8006,2.8006,2.6005,2.7506,0.0
2003-07-22,2.7506,2.7506,2.7506,2.7506,0.0
2003-07-23,2.7506,2.7506,2.7005,2.7005,0.0
2003-07-24,2.7506,2.7506,2.7506,2.7506,0.0
2003-07-25,2.7005,2.7506,2.4505,2.6005,12000.0
2003-07-28,2.7005,2.7506,2.4505,2.5105,6000.0
2003-07-29,2.5905,2.7005,2.5805,2.6005,6000.0
2003-07-30,2.5505,2.7506,2.4505,2.7005,6000.0
2003-07-31,2.7506,2.7506,2.4005,2.6505,18000.0
2003-08-01,2.6505,2.7005,2.6505,2.6505,0.0
2003-08-04,2.7506,2.7506,2.7506,2.7506,0.0
2003-08-05,2.7506,2.7506,2.7506,2.7506,0.0
2003-08-06,2.7506,2.7506,2.7506,2.7506,0.0
2003-08-07,2.5005,2.5005,2.5005,2.5005,0.0
2003-08-08,2.5005,2.5005,2.5005,2.5005,0.0
2003-08-11,2.5005,2.5005,2.5005,2.5005,0.0
2003-08-12,2.6005,2.6505,2.6005,2.6505,0.0
2003-08-13,2.6505,2.6505,2.4505,2.4505,0.0
2003-08-14,2.4505,2.4505,2.4505,2.4505,0.0
2003-08-15,2.6505,2.7005,2.6505,2.7005,12000.0
2003-08-18,2.4505,2.5005,2.4505,2.4505,36000.0
2003-08-19,2.6005,2.6005,2.5205,2.5305,30000.0
2003-08-20,2.7005,2.7005,2.5305,2.5305,0.0
2003-08-21,2.4505,2.5105,2.4505,2.5005,6000.0
2003-08-22,2.5005,2.5005,2.5005,2.5005,0.0
2003-08-25,2.4605,2.6005,2.4505,2.5205,36000.0
2003-08-26,2.5305,2.6505,2.5005,2.6505,12000.0
2003-08-27,2.5605,2.5605,2.4905,2.5105,18000.0
2003-08-28,2.6005,2.6005,2.6005,2.6005,0.0
2003-08-29,2.7005,2.8006,2.6505,2.6505,18000.0
2003-09-02,2.7405,2.7405,2.6505,2.6505,12000.0
2003-09-03,2.5305,2.5405,2.5005,2.5005,78000.0
2003-09-04,2.5305,2.6005,2.5105,2.5605,96000.0
2003-09-05,2.6505,2.6505,2.5005,2.5005,12000.0
2003-09-08,2.5005,2.5005,2.5005,2.5005,6000.0
2003-09-09,2.5005,2.5505,2.5005,2.5505,42000.0
2003-09-10,2.6005,2.6505,2.4505,2.4505,30000.0
2003-09-11,2.7005,2.7005,2.5005,2.5005,6000.0
2003-09-12,2.5505,2.5505,2.5505,2.5505,0.0
2003-09-15,2.5505,2.6505,2.4505,2.6505,6000.0
2003-09-16,2.5305,2.5305,2.5205,2.5205,0.0
2003-09-17,2.5205,2.5205,2.5205,2.5205,0.0
2003-09-18,2.6505,2.6505,2.6505,2.6505,0.0
2003-09-19,2.7005,2.7005,2.6505,2.6505,6000.0
2003-09-22,2.6505,2.6505,2.6505,2.6505,0.0
2003-09-23,2.5505,2.6005,2.5005,2.6005,12000.0
2003-09-24,2.6005,2.6005,2.6005,2.6005,6000.0
2003-09-25,2.5505,2.5505,2.5005,2.5005,6000.0
2003-09-26,2.5005,2.5005,2.5005,2.5005,0.0
2003-09-29,2.5005,2.5005,2.5005,2.5005,0.0
2003-09-30,2.5005,2.5005,2.5005,2.5005,0.0
2003-10-01,2.5005,2.7506,2.5005,2.5005,36000.0
2003-10-02,2.6005,2.7506,2.4505,2.4505,30000.0
2003-10-03,2.6505,2.6505,2.4505,2.6505,24000.0
2003-10-06,2.5405,2.6005,2.5005,2.5105,60000.0
2003-10-07,2.6505,2.6505,2.4605,2.4605,0.0
2003-10-08,2.6505,2.6505,2.6505,2.6505,0.0
2003-10-09,2.6505,2.6505,2.6505,2.6505,0.0
2003-10-10,2.4505,2.6505,2.4505,2.5005,18000.0
2003-10-13,2.5005,2.5505,2.5005,2.5505,0.0
2003-10-14,2.5505,2.5505,2.5505,2.5505,0.0
2003-10-15,2.6005,2.6005,2.6005,2.6005,0.0
2003-10-16,2.6005,2.6005,2.6005,2.6005,0.0
2003-10-17,2.6005,2.6005,2.5505,2.5505,0.0
2003-10-20,2.5005,2.5005,2.5005,2.5005,0.0
2003-10-21,2.5005,2.6705,2.5005,2.6005,24000.0
2003-10-22,2.5505,2.6805,2.4505,2.5005,96000.0
2003-10-23,2.5005,2.6805,2.5005,2.6505,66000.0
2003-10-24,2.6805,2.7806,2.6805,2.7205,42000.0
2003-10-27,2.7005,2.9706,2.7005,2.9506,96000.0
2003-10-28,3.0006,3.2506,2.9506,3.1406,54000.0
2003-10-29,3.1506,3.3007,3.1006,3.2006,42000.0
2003-10-30,3.3007,3.3007,3.1006,3.1506,36000.0
2003-10-31,3.2006,3.2006,3.0006,3.0506,18000.0
2003-11-03,3.1006,3.2006,2.6005,3.0006,36000.0
2003-11-04,3.0006,3.1506,2.6005,3.1006,12000.0
2003-11-05,3.0806,3.1506,2.8506,3.0506,78000.0
2003-11-06,3.0006,3.0506,2.9006,2.9606,54000.0
2003-11-07,3.0006,3.1506,2.9506,3.0106,42000.0
2003-11-10,3.0006,3.3007,3.0006,3.2006,48000.0
2003-11-11,3.3507,3.4507,3.1006,3.1006,42000.0
2003-11-12,3.2006,3.4507,3.1906,3.3507,60000.0
2003-11-13,3.3707,3.5007,3.3207,3.3507,36000.0
2003-11-14,3.3007,3.5007,3.3007,3.4507,30000.0
2003-11-17,3.5007,3.5007,3.2707,3.2907,24000.0
2003-11-18,3.3807,3.4207,3.3007,3.4007,36000.0
2003-11-19,3.4307,3.4507,3.3607,3.3907,42000.0
2003-11-20,3.3607,3.4007,3.2506,3.2907,24000.0
2003-11-21,3.2907,3.4007,3.2907,3.3507,18000.0
