date,open,high,low,close,volume
2020-10-30,6.3,6.9,5.9,6.0,134418.0
2020-11-02,6.01,6.4,5.4,5.4,192297.0
2020-11-03,5.43,5.9,4.9,4.9,69040.0
2020-11-04,5.39,7.0,4.0,4.07,116272.0
2020-11-05,4.0,5.075,3.73,4.08,147149.0
2020-11-06,4.245,4.96,4.0,4.26,152178.0
2020-11-09,4.65,4.88,4.27,4.34,49435.0
2020-11-10,4.25,4.3104,3.8,3.9425,33026.0
2020-11-11,4.08,4.08,3.81,3.9465,22503.0
2020-11-12,3.9,4.05,3.9,3.98,11801.0
2020-11-13,3.94,3.99,3.85,3.935,20408.0
2020-11-16,3.99,4.33,3.9601,4.19,40187.0
2020-11-17,4.5,5.42,4.2512,4.8,121072.0
2020-11-18,4.8,4.8,4.4001,4.42,27618.0
2020-11-19,4.48,4.8,4.42,4.49,24107.0
2020-11-20,4.46,4.52,4.04,4.37,20648.0
2020-11-23,4.4,4.6,4.0445,4.235,26565.0
2020-11-24,4.4999,4.66,4.22,4.45,75675.0
2020-11-25,4.54,4.54,4.1766,4.2,36419.0
2020-11-27,4.26,4.772,4.184,4.55,48593.0
2020-11-30,4.75,5.86,4.55,5.2,211575.0
2020-12-01,5.29,5.29,4.55,4.59,56680.0
2020-12-02,4.47,4.8,4.26,4.63,15643.0
2020-12-03,4.78,5.566,4.55,5.09,136230.0
2020-12-04,5.18,5.7,4.91,5.16,197144.0
2020-12-07,5.03,5.07,4.2789,4.5859,69219.0
2020-12-08,4.53,4.7998,4.0,4.33,34724.0
2020-12-09,4.42,4.85,4.0,4.04,52107.0
2020-12-10,4.2125,4.25,3.9,3.95,45103.0
2020-12-11,4.0,4.2,3.95,4.01,14237.0
2020-12-14,4.02,4.49,4.02,4.45,65454.0
2020-12-15,4.47,4.5796,4.26,4.47,33327.0
2020-12-16,4.5,5.3999,4.4701,5.29,239467.0
2020-12-17,5.4,8.35,5.29,6.09,7980468.0
2020-12-18,6.75,6.89,5.34,6.51,1056914.0
2020-12-21,5.92,6.41,5.6,6.12,383106.0
2020-12-22,6.75,6.79,5.68,5.99,703342.0
2020-12-23,5.8,5.95,5.45,5.6,261241.0
2020-12-24,5.54,5.59,4.62,5.06,343346.0
2020-12-28,5.3,5.99,5.2,5.28,387202.0
2020-12-29,5.27,5.4186,5.0,5.1,92977.0
2020-12-30,5.23,5.6099,5.0459,5.13,92501.0
2020-12-31,5.13,5.49,4.97,5.09,88912.0
2021-01-04,5.02,5.23,4.82,4.98,104126.0
2021-01-05,4.8,4.95,4.5,4.6201,116444.0
2021-01-06,5.0,5.0,4.54,4.72,159289.0
2021-01-07,4.9,5.42,4.67,4.8,400742.0
2021-01-08,4.76,5.02,4.66,4.8,93508.0
2021-01-11,5.02,7.63,4.8801,6.55,7463611.0
2021-01-12,5.84,6.48,5.25,5.65,1188968.0
2021-01-13,5.65,6.49,5.62,5.92,1353745.0
2021-01-14,5.98,6.2,5.66,6.04,673370.0
2021-01-15,6.04,6.1,5.63,5.72,328980.0
2021-01-19,5.82,6.031,5.71,5.8985,165011.0
2021-01-20,6.19,6.25,5.45,5.63,370386.0
2021-01-21,5.68,5.92,5.536,5.59,231027.0
2021-01-22,5.55,5.8999,5.33,5.8,159107.0
2021-01-25,5.78,5.9,5.4,5.59,154073.0
2021-01-26,5.56,6.0,5.41,5.83,262971.0
2021-01-27,5.8,5.95,5.41,5.55,207039.0
2021-01-28,5.62,5.7899,5.19,5.39,192188.0
2021-01-29,5.35,6.19,5.165,5.37,454110.0
2021-02-01,5.38,6.1,5.28,5.97,975589.0
2021-02-02,6.0,6.7,5.62,6.1,1520283.0
2021-02-03,6.15,7.7,6.0201,6.4,2915771.0
2021-02-04,6.41,6.67,6.06,6.49,464052.0
2021-02-05,6.48,6.59,6.06,6.4,399968.0
2021-02-08,6.42,6.84,6.2101,6.22,290822.0
2021-02-09,6.23,7.1,6.23,6.97,795406.0
2021-02-10,7.42,8.43,6.65,7.98,2208126.0
2021-02-11,7.93,8.19,7.17,7.7,859788.0
2021-02-12,7.23,8.88,7.12,7.55,1361996.0
2021-02-16,7.69,7.75,6.81,7.02,744300.0
2021-02-17,7.75,8.18,7.2,7.56,1405699.0
2021-02-18,7.29,7.88,6.8,7.0,1184950.0
2021-02-19,7.0,7.2,6.8101,6.83,492146.0
2021-02-22,6.81,6.96,6.2601,6.29,238377.0
2021-02-23,6.05,6.05,5.15,5.84,427718.0
2021-02-24,5.82,6.1997,5.68,5.82,391770.0
2021-02-25,5.82,5.9749,5.31,5.66,304665.0
2021-02-26,5.51,5.605,5.15,5.3,209285.0
2021-03-01,5.47,5.83,5.16,5.72,416503.0
2021-03-02,5.89,6.3,5.34,5.56,615545.0
2021-03-03,5.66,5.75,5.1501,5.28,177125.0
2021-03-04,5.28,5.6399,4.12,4.9,475059.0
2021-03-05,4.79,5.33,4.3,4.94,218537.0
2021-03-08,5.0,5.452,4.7501,5.06,308363.0
2021-03-09,5.21,5.68,5.0701,5.54,314842.0
2021-03-10,5.53,5.69,5.3,5.3,96699.0
2021-03-11,5.5,6.66,5.3,5.82,1838358.0
2021-03-12,5.6,6.01,5.545,5.81,265386.0
2021-03-15,5.81,6.029,5.52,5.7,531249.0
2021-03-16,5.85,6.0,5.59,5.69,167383.0
2021-03-17,5.52,5.75,5.331,5.58,138582.0
2021-03-18,5.61,5.7687,5.48,5.48,207084.0
2021-03-19,5.47,6.2,5.47,5.69,801183.0
2021-03-22,5.77,6.07,5.55,5.55,367438.0
2021-03-23,5.57,5.75,5.41,5.45,233451.0
2021-03-24,5.44,5.89,5.36,5.55,249196.0
2021-03-25,5.44,5.5,4.9501,5.0,403215.0
2021-03-26,5.04,5.25,4.56,4.56,209141.0
2021-03-29,4.57,5.01,4.57,4.76,161900.0
2021-03-30,4.7,4.75,4.55,4.65,78052.0
2021-03-31,4.67,4.88,4.65,4.74,137121.0
2021-04-01,4.75,4.82,4.6945,4.75,50701.0
2021-04-05,4.9,5.24,4.77,5.07,119885.0
