date,open,high,low,close,volume
2021-03-22,18.67,18.68,17.95,18.18,1110871.0
2021-03-23,18.1,18.29,17.9,18.01,957891.0
2021-03-24,17.9,18.55,17.9,18.49,969980.0
2021-03-25,18.49,18.49,18.07,18.21,872203.0
2021-03-26,18.16,18.51,18.12,18.49,695922.0
2021-03-29,18.44,18.52,18.31,18.45,515031.0
2021-03-30,18.1,18.31,18.03,18.18,705954.0
2021-03-31,18.2,18.35,18.05,18.3,499128.0
2021-04-01,18.34,18.4,18.12,18.4,620692.0
2021-04-05,18.4,18.75,18.37,18.62,637840.0
2021-04-06,18.62,18.85,18.52,18.8,1092374.0
2021-04-07,18.8,18.87,18.54,18.77,426777.0
2021-04-08,18.84,18.92,18.51,18.61,458770.0
2021-04-09,18.62,18.75,18.49,18.57,556904.0
2021-04-12,18.5,18.65,18.41,18.65,404989.0
2021-04-13,18.7,18.94,18.6,18.92,432364.0
2021-04-14,18.92,19.0,18.73,18.83,881408.0
2021-04-15,18.72,18.91,18.61,18.89,964497.0
2021-04-16,18.86,19.46,18.74,19.22,1243648.0
2021-04-19,19.19,19.42,19.01,19.31,1137788.0
2021-04-20,19.23,19.61,19.23,19.3,817437.0
2021-04-21,19.25,19.51,19.1201,19.44,650452.0
2021-04-22,19.47,19.58,19.38,19.46,629201.0
2021-04-23,19.55,19.605,19.43,19.56,685843.0
2021-04-26,19.5,19.72,19.5,19.55,683428.0
2021-04-27,19.52,19.67,19.45,19.55,652612.0
2021-04-28,19.61,19.7,19.55,19.56,788224.0
2021-04-29,19.66,20.47,19.6,20.36,3280393.0
2021-04-30,20.34,20.5548,19.95,20.18,1832094.0
2021-05-03,20.35,20.58,20.0,20.21,1052555.0
2021-05-04,20.19,20.68,20.08,20.29,1052230.0
2021-05-05,20.35,20.46,20.05,20.1,1225600.0
2021-05-06,20.07,20.14,19.87,20.05,705253.0
2021-05-07,19.93,20.45,19.93,20.26,943108.0
2021-05-10,20.28,20.425,20.27,20.35,494402.0
2021-05-11,20.18,20.37,19.9,20.27,679820.0
2021-05-12,20.21,20.695,20.15,20.28,2241509.0
2021-05-13,20.28,20.58,20.12,20.42,1520672.0
2021-05-14,20.5,20.79,20.475,20.59,1125117.0
2021-05-17,20.55,20.95,20.46,20.88,1176488.0
2021-05-18,20.95,21.43,20.72,21.2,1484685.0
2021-05-19,21.08,21.14,20.915,21.08,956682.0
2021-05-20,21.12,21.68,21.02,21.35,2288573.0
2021-05-21,21.41,21.59,21.26,21.47,1592682.0
2021-05-24,21.61,22.08,21.57,21.83,2591665.0
2021-05-25,21.88,22.32,21.8,21.99,2702002.0
2021-05-26,22.09,22.19,21.73,21.99,2264770.0
2021-05-27,22.09,22.09,21.39,21.79,12416897.0
2021-05-28,21.73,22.0,21.64,21.84,1526975.0
2021-06-01,21.9,22.925,21.9,22.85,2263067.0
2021-06-02,22.8,23.32,22.26,23.11,2366226.0
2021-06-03,23.15,24.075,22.96,23.55,4165517.0
2021-06-04,23.61,23.91,23.23,23.9,2115922.0
2021-06-07,24.0,24.5,23.9832,24.14,2608596.0
2021-06-08,24.15,24.66,24.0,24.37,2042777.0
2021-06-09,24.36,24.94,24.2,24.61,1937424.0
2021-06-10,24.64,25.19,24.61,24.84,2443115.0
2021-06-11,24.89,25.56,24.7,25.17,2597857.0
2021-06-14,25.28,26.85,25.19,25.85,4819582.0
2021-06-15,25.46,25.705,24.74,24.79,3896843.0
2021-06-16,24.87,25.91,24.5501,24.97,5632365.0
2021-06-17,24.64,25.48,24.31,24.33,6423373.0
2021-06-18,24.35,25.39,24.1,24.85,22823348.0
2021-06-21,24.98,25.23,24.78,24.94,4126469.0
2021-06-22,24.3,24.76,23.6,23.72,4305537.0
2021-06-23,23.83,24.22,23.47,24.05,2032902.0
2021-06-24,22.94,23.5,22.92,23.48,7391533.0
2021-06-25,23.55,23.84,23.32,23.47,18697261.0
2021-06-28,23.49,23.68,23.025,23.64,2481565.0
2021-06-29,23.51,23.77,23.17,23.27,1551822.0
