date,open,high,low,close,volume
2022-05-25,5.2,17.33,4.15,4.4,170424.0
2022-05-26,4.38,4.55,3.5001,3.7,369104.0
2022-05-27,3.56,3.73,3.3,3.42,124182.0
2022-05-31,3.54,3.63,2.75,3.12,271123.0
2022-06-01,3.07,3.24,3.02,3.1534,115288.0
2022-06-02,3.0101,3.09,2.93,2.96,91794.0
2022-06-03,2.9759,3.08,2.81,2.9,37216.0
2022-06-06,3.04,3.49,2.81,2.82,175461.0
2022-06-07,2.88,2.98,2.75,2.8888,60192.0
2022-06-08,3.42,3.42,3.03,3.16,194164.0
2022-06-09,3.11,3.11,2.96,3.0,20353.0
2022-06-10,2.83,3.1,2.83,2.95,4138.0
2022-06-13,2.92,3.06,2.79,2.965,44833.0
2022-06-14,2.91,3.03,2.76,2.9974,5687.0
2022-06-15,2.92,2.92,2.8,2.9,10387.0
2022-06-16,2.75,2.7999,2.56,2.7462,17081.0
2022-06-17,2.7999,2.99,2.74,2.91,31964.0
2022-06-21,3.0,3.0,3.0,3.0,1231.0
2022-06-22,3.18,3.27,3.14,3.25,46777.0
2022-06-23,3.24,3.4,3.2,3.3823,37255.0
2022-06-24,3.405,3.5,3.24,3.27,22492.0
2022-06-27,3.25,3.4899,3.16,3.22,56566.0
2022-06-28,3.37,3.9,3.3201,3.53,63916.0
2022-06-29,3.5,3.6089,3.3505,3.43,31755.0
2022-06-30,3.32,3.52,3.055,3.51,17638.0
2022-07-01,3.3501,3.73,3.3501,3.3501,25479.0
2022-07-05,3.17,3.1799,3.015,3.04,50174.0
2022-07-06,3.02,3.19,3.02,3.075,18848.0
2022-07-07,3.14,3.53,3.12,3.385,8343.0
2022-07-08,3.44,3.5,3.15,3.35,11545.0
2022-07-11,3.9,3.9,3.3,3.41,52548.0
2022-07-12,3.26,3.5857,3.22,3.41,13985.0
2022-07-13,3.3999,3.7,3.3999,3.5548,9247.0
2022-07-14,3.26,3.38,3.22,3.26,24901.0
2022-07-15,3.42,3.42,3.3,3.31,4262.0
2022-07-18,3.3399,3.35,3.25,3.26,16395.0
2022-07-19,3.31,3.51,3.23,3.35,10140.0
2022-07-20,3.35,3.64,3.35,3.5399,4654.0
2022-07-21,3.46,3.7781,3.46,3.685,37735.0
2022-07-22,3.98,3.98,3.7565,3.79,29135.0
2022-07-25,3.65,4.0899,3.64,3.9305,62047.0
2022-07-26,3.81,3.88,3.7201,3.815,35598.0
2022-07-27,3.82,3.9999,3.74,3.87,34360.0
2022-07-28,3.79,3.89,3.789,3.82,43207.0
2022-07-29,3.9499,4.1499,3.82,3.85,112797.0
2022-08-01,3.76,3.85,3.59,3.685,81181.0
2022-08-02,3.7699,3.77,3.65,3.6601,18178.0
2022-08-03,3.7135,3.8999,3.6999,3.755,22946.0
2022-08-04,3.75,3.8999,3.71,3.71,5227.0
2022-08-05,3.8,3.85,3.71,3.7215,10742.0
2022-08-08,3.855,3.99,3.7101,3.93,24831.0
2022-08-09,4.06,4.2,3.86,4.19,71034.0
2022-08-10,4.23,4.23,3.8,3.82,82797.0
2022-08-11,3.8699,3.95,3.85,3.915,20237.0
2022-08-12,3.8926,3.9819,3.86,3.95,9632.0
2022-08-15,3.8697,4.09,3.8506,3.92,8064.0
2022-08-16,4.0624,4.0637,3.96,3.98,12865.0
2022-08-17,3.9501,3.99,3.8,3.91,15841.0
2022-08-18,3.9456,3.99,3.9101,3.92,6965.0
2022-08-19,4.07,4.07,3.9,3.92,3819.0
2022-08-22,3.81,4.0299,3.81,3.9755,15917.0
2022-08-23,4.02,4.02,3.94,3.99,1939.0
2022-08-24,3.96,4.0485,3.96,3.98,7051.0
2022-08-25,4.04,4.0945,3.96,4.0,8364.0
2022-08-26,4.1,4.1,3.93,3.94,8573.0
2022-08-29,3.9804,3.99,3.91,3.96,1662.0
2022-08-30,3.9347,4.04,3.85,3.97,13525.0
2022-08-31,3.94,4.17,3.92,4.15,29637.0
