date,open,high,low,close,volume
1999-11-01,22.08,22.08,22.08,22.08,500.0
1999-11-02,22.08,22.08,22.08,22.08,500.0
1999-11-03,22.64,22.64,22.64,22.64,100.0
1999-11-04,22.4,22.4,22.4,22.4,1000.0
1999-11-05,22.48,22.56,22.48,22.56,400.0
1999-11-08,22.48,22.48,22.48,22.48,400.0
1999-11-09,21.88,21.88,21.88,21.88,300.0
1999-11-10,21.88,21.88,21.88,21.88,100.0
1999-11-11,21.72,21.72,21.72,21.72,1500.0
1999-11-12,21.72,21.72,21.72,21.72,1500.0
1999-11-15,21.72,21.72,21.72,21.72,1500.0
1999-11-16,22.64,22.64,22.64,22.64,20500.0
1999-11-17,22.56,22.56,22.56,22.56,1500.0
1999-11-18,22.56,22.56,22.56,22.56,1500.0
1999-11-19,22.56,22.56,22.56,22.56,1500.0
1999-11-22,22.56,22.56,22.56,22.56,1500.0
1999-11-23,22.56,22.56,22.56,22.56,1500.0
1999-11-24,22.56,22.56,22.56,22.56,1500.0
1999-11-26,22.56,22.56,22.56,22.56,1500.0
1999-11-29,22.56,22.56,22.56,22.56,1500.0
1999-11-30,22.56,22.56,22.56,22.56,1500.0
1999-12-01,22.56,22.56,22.56,22.56,1500.0
1999-12-02,21.4,21.4,21.4,21.4,1600.0
1999-12-03,21.24,21.24,21.16,21.24,300.0
1999-12-06,21.32,21.32,21.32,21.32,17400.0
1999-12-07,21.32,21.32,21.32,21.32,17400.0
1999-12-08,21.32,21.32,21.32,21.32,0.0
1999-12-09,21.32,21.32,21.32,21.32,0.0
1999-12-10,21.4,21.4,21.4,21.4,900.0
1999-12-13,21.4,21.4,21.4,21.4,900.0
1999-12-14,21.4,21.4,21.4,21.4,2500.0
1999-12-15,21.4,21.4,21.4,21.4,2500.0
1999-12-16,21.08,21.08,21.08,21.08,300.0
1999-12-17,21.08,21.08,21.08,21.08,300.0
1999-12-20,21.08,21.08,21.08,21.08,100.0
1999-12-21,20.88,20.88,20.64,20.88,800.0
1999-12-22,20.88,21.64,20.72,20.8,2100.0
1999-12-23,21.0,21.0,21.0,21.0,4000.0
1999-12-27,21.32,21.32,21.32,21.32,100.0
1999-12-28,21.32,21.32,21.32,21.32,100.0
1999-12-29,21.32,21.32,21.32,21.32,100.0
1999-12-30,21.64,21.8,21.64,21.8,900.0
1999-12-31,21.8,21.8,21.64,21.8,900.0
2000-01-03,21.8,21.8,21.64,21.8,900.0
2000-01-04,21.8,21.8,21.64,21.8,900.0
2000-01-05,21.8,21.8,21.64,21.8,900.0
