date,open,high,low,close,volume
2001-07-27,15.0,15.01,15.0,15.0,200700.0
2001-07-30,15.0,15.08,15.0,15.0,47500.0
2001-07-31,15.05,15.05,15.0,15.01,22000.0
2001-08-01,15.01,15.1,15.0,15.0,51900.0
2001-08-02,15.0,15.07,15.0,15.06,27200.0
2001-08-03,15.06,15.14,15.0,15.07,78500.0
2001-08-06,15.01,15.07,15.0,15.0,42400.0
2001-08-07,15.0,15.1,15.0,15.07,50200.0
2001-08-08,15.07,15.08,15.0,15.0,10400.0
2001-08-09,15.0,15.22,15.0,15.03,19200.0
2001-08-10,15.12,15.3,15.12,15.2,12600.0
2001-08-13,15.14,15.25,15.1,15.25,13100.0
2001-08-14,15.11,15.15,15.05,15.15,22800.0
2001-08-15,15.15,15.2,15.12,15.12,12000.0
2001-08-16,15.09,15.19,15.06,15.19,5400.0
2001-08-17,15.1,15.2,15.05,15.18,18500.0
2001-08-20,15.1,15.18,15.04,15.08,27900.0
2001-08-21,15.08,15.12,15.02,15.08,29700.0
2001-08-22,15.11,15.11,15.05,15.08,10300.0
2001-08-23,15.11,15.11,15.11,15.11,5200.0
2001-08-24,15.12,15.19,15.12,15.19,12400.0
2001-08-27,15.12,15.15,15.05,15.09,10600.0
2001-08-28,15.12,15.15,15.05,15.05,20400.0
2001-08-29,15.1,15.16,15.06,15.14,22400.0
2001-08-30,15.21,15.21,15.1,15.1,21600.0
2001-08-31,15.17,15.32,15.15,15.32,23600.0
2001-09-04,15.32,15.33,15.15,15.33,21000.0
2001-09-05,15.32,15.34,15.25,15.25,36900.0
2001-09-06,15.31,15.31,15.31,15.31,500.0
2001-09-07,15.33,15.35,15.25,15.35,17200.0
2001-09-10,15.3,15.37,15.28,15.37,10500.0
2001-09-17,15.3,15.3,14.96,14.96,33000.0
2001-09-18,15.0,15.01,14.92,14.92,16500.0
2001-09-19,14.93,14.93,14.82,14.82,13700.0
2001-09-20,14.84,14.84,14.45,14.51,24100.0
2001-09-21,14.44,14.44,14.0,14.17,35200.0
2001-09-24,14.26,14.26,13.91,14.26,25700.0
2001-09-25,14.26,14.54,14.26,14.54,17800.0
2001-09-26,14.9,14.9,14.55,14.9,19200.0
2001-09-27,14.86,15.0,14.85,14.9,4400.0
2001-09-28,14.95,15.0,14.87,14.99,8900.0
2001-10-01,14.99,15.06,14.92,14.92,12000.0
2001-10-02,14.89,15.15,14.89,15.15,18100.0
2001-10-03,15.1,15.1,14.94,15.05,13700.0
2001-10-04,15.05,15.05,14.98,15.05,11400.0
2001-10-05,15.21,15.21,15.09,15.1,22700.0
2001-10-08,15.31,15.31,15.01,15.01,13800.0
2001-10-09,15.1,15.1,14.93,15.0,10000.0
2001-10-10,15.0,15.08,14.98,14.98,17300.0
2001-10-11,14.9,15.0,14.61,14.61,35500.0
2001-10-12,14.75,14.75,14.7,14.75,4600.0
