date,open,high,low,close,volume
2021-02-12,10.4,10.4,10.08,10.15,622596.0
2021-02-16,10.15,10.25,10.1,10.17,375077.0
2021-02-17,10.19,10.19,10.15,10.15,349211.0
2021-02-18,10.15,10.31,10.15,10.21,111770.0
2021-02-19,10.28,10.37,10.2,10.24,265775.0
2021-02-22,10.29,10.29,10.18,10.2,111171.0
2021-02-23,10.17,10.25,10.11,10.18,126791.0
2021-02-24,10.18,10.42,10.15,10.37,219473.0
2021-02-25,10.3045,10.39,10.18,10.22,70251.0
2021-02-26,10.25,10.25,10.09,10.21,128884.0
2021-03-01,10.26,10.26,10.12,10.13,31179.0
2021-03-02,10.13,10.14,10.06,10.1,115798.0
2021-03-03,10.13,10.13,9.91,10.0,105534.0
2021-03-04,10.04,10.04,9.95,9.98,107360.0
2021-03-05,10.08,10.08,9.81,9.92,127952.0
2021-03-08,9.96,10.04,9.85,9.87,122277.0
2021-03-09,9.9,9.92,9.87,9.91,15151.0
2021-03-10,9.9,9.92,9.83,9.92,176688.0
2021-03-11,9.88,9.92,9.88,9.92,13273.0
2021-03-12,9.9,9.94,9.85,9.9,262502.0
2021-03-15,9.9,9.9,9.9,9.9,109.0
2021-03-16,9.86,9.86,9.85,9.86,25938.0
2021-03-17,9.91,9.91,9.8,9.85,79725.0
2021-03-18,9.85,9.87,9.8,9.86,153643.0
2021-03-19,9.82,9.86,9.8,9.8,6371.0
2021-03-22,9.8,9.85,9.8,9.83,8227.0
2021-03-23,9.8,9.835,9.7,9.77,111246.0
2021-03-24,9.71,9.71,9.63,9.66,138212.0
2021-03-25,9.61,9.68,9.61,9.68,16162.0
2021-03-26,9.69,9.8,9.65,9.77,26267.0
2021-03-29,9.7,9.755,9.61,9.7,5304.0
2021-03-30,9.8299,9.8299,9.8299,9.8299,296.0
2021-03-31,9.725,10.1,9.67,9.89,418590.0
2021-04-01,9.98,9.98,9.8176,9.88,41961.0
2021-04-05,9.94,9.94,9.83,9.85,84704.0
2021-04-06,9.85,9.885,9.83,9.83,85343.0
2021-04-07,9.83,9.83,9.78,9.78,15915.0
2021-04-08,9.8,9.93,9.8,9.93,26066.0
2021-04-09,9.8722,9.935,9.85,9.93,41251.0
