date,open,high,low,close,volume
2017-11-30,9.17,9.17,7.9625,7.98,18902.0
2017-12-01,7.9,7.9,6.88,6.88,4907.0
2017-12-04,7.0356,7.57,6.88,7.3241,3869.0
2017-12-05,7.32,7.32,6.8,6.9,11744.0
2017-12-06,6.93,7.32,6.93,7.249,8718.0
2017-12-07,7.28,7.28,7.1165,7.15,2760.0
2017-12-08,7.15,7.15,6.5,6.5,4144.0
2017-12-11,6.99,6.99,6.5,6.5,944.0
2017-12-12,6.51,6.54,6.5,6.5,403.0
2017-12-13,6.75,6.75,5.78,6.5,1242.0
2017-12-14,5.81,5.81,5.81,5.81,2796.0
2017-12-15,5.738,5.738,5.738,5.738,531.0
2017-12-18,5.75,5.789,5.75,5.789,667.0
2017-12-19,5.789,5.789,5.789,5.789,170.0
2017-12-20,5.75,5.75,5.75,5.75,1039.0
2017-12-21,5.924,5.924,5.788,5.788,348.0
2017-12-22,5.788,5.788,5.788,5.788,42.0
2017-12-26,5.788,5.788,5.788,5.788,67.0
2017-12-27,5.788,5.788,5.788,5.788,33.0
2017-12-28,5.788,5.788,5.788,5.788,52.0
2017-12-29,5.788,5.788,5.788,5.788,84.0
2018-01-02,5.01,5.01,5.01,5.01,437.0
2018-01-03,5.31,5.75,5.3,5.74,6335.0
2018-01-04,6.0,6.0,5.76,5.8,4060.0
2018-01-05,5.95,6.0,5.95,6.0,488.0
2018-01-08,6.0,6.0,5.75,6.0,5718.0
2018-01-09,5.85,6.0,5.85,6.0,2437.0
2018-01-10,6.0,6.0,5.81,5.86,16503.0
2018-01-11,5.87,6.49,5.75,6.45,1916.0
2018-01-12,7.0,7.0,6.907,6.971,2071.0
2018-01-16,6.37,6.37,6.026,6.026,342.0
2018-01-17,5.76,5.8,5.5,5.5,1774.0
2018-01-18,5.52,6.5,5.52,6.1,2559.0
2018-01-19,5.773,5.773,5.6,5.618,1125.0
2018-01-22,6.08,6.08,6.08,6.08,181.0
2018-01-23,6.07,6.07,6.0,6.01,2174.0
2018-01-24,6.0,6.0,6.0,6.0,420.0
2018-01-25,6.0,6.0,6.0,6.0,2.0
2018-01-26,5.691,5.691,5.691,5.691,106.0
2018-01-29,5.691,5.691,5.691,5.691,1.0
2018-01-30,5.691,5.691,5.691,5.691,2.0
2018-01-31,5.6911,5.6911,5.6911,5.6911,16.0
2018-02-01,5.65,5.65,5.5,5.637,1200.0
2018-02-02,5.637,5.637,5.637,5.637,4.0
2018-02-05,5.5,5.5,5.0,5.03,1782.0
2018-02-06,4.95,5.45,4.95,5.45,573.0
2018-02-07,5.45,5.45,5.45,5.45,12.0
2018-02-08,4.42,4.42,4.42,4.42,407.0
2018-02-09,5.4,5.4,5.0,5.0,1223.0
2018-02-12,5.0,5.0,5.0,5.0,119.0
2018-02-13,5.4,5.4,5.4,5.4,353.0
