date,open,high,low,close,volume
2025-11-12,10.05,10.075,10.05,10.05,2932977.0
2025-11-13,10.05,10.06,10.04,10.04,161828.0
2025-11-14,10.06,10.06,10.045,10.045,47549.0
2025-11-17,10.1,10.1,10.04,10.04,49269.0
2025-11-18,10.055,10.06,10.04,10.05,28708.0
2025-11-19,10.05,10.05,10.04,10.04,12281.0
2025-11-20,10.05,10.05,10.04,10.05,62006.0
2025-11-21,10.05,10.05,10.05,10.05,101.0
2025-11-24,10.04,10.06,10.04,10.06,25386.0
2025-11-25,10.07,10.07,10.055,10.055,12890.0
2025-11-26,10.06,10.06,10.05,10.05,50363.0
2025-11-28,10.04,10.06,10.04,10.04,2982.0
2025-12-01,10.06,10.06,10.04,10.04,232.0
2025-12-02,10.05,10.05,10.03,10.03,25356.0
2025-12-03,10.07,10.07,10.07,10.07,115.0
2025-12-04,10.07,10.07,10.0441,10.07,62585.0
2025-12-05,10.07,10.07,10.07,10.07,0.0
2025-12-08,10.04,10.04,10.04,10.04,401.0
2025-12-09,10.0465,10.06,10.04,10.05,3846.0
2025-12-10,10.07,10.07,10.07,10.07,202.0
2025-12-11,10.06,10.06,10.06,10.06,104.0
2025-12-12,10.06,10.06,10.06,10.06,0.0
2025-12-15,10.06,10.06,10.06,10.06,0.0
2025-12-16,10.06,10.06,10.06,10.06,25.0
2025-12-17,10.06,10.06,10.06,10.06,0.0
2025-12-18,10.0454,10.0454,10.0454,10.0454,200.0
2025-12-19,10.0454,10.0454,10.0454,10.0454,0.0
2025-12-22,10.0454,10.0454,10.0454,10.0454,0.0
2025-12-23,10.03,10.07,10.03,10.07,20600.0
2025-12-24,10.07,10.07,10.07,10.07,0.0
2025-12-26,10.05,10.09,10.05,10.09,21867.0
2025-12-29,10.09,10.09,10.09,10.09,0.0
2025-12-30,10.09,10.09,10.09,10.09,0.0
2025-12-31,10.09,10.09,10.09,10.09,0.0
2026-01-02,10.09,10.09,10.09,10.09,0.0
2026-01-05,10.07,10.08,10.07,10.08,1101.0
2026-01-06,10.07,10.12,10.07,10.12,10500.0
2026-01-07,10.14,10.15,10.13,10.13,1731.0
2026-01-08,10.13,10.13,10.13,10.13,24913.0
2026-01-09,10.1235,10.14,10.1235,10.14,25334.0
2026-01-12,10.15,10.15,10.13,10.15,45629.0
