date,open,high,low,close,volume
1999-11-01,29.88,30.5,29.56,30.38,57500.0
1999-11-02,30.5,30.63,30.06,30.38,88500.0
1999-11-03,30.0,30.63,30.0,30.5,132500.0
1999-11-04,30.38,31.25,30.25,31.0,173500.0
1999-11-05,30.81,31.25,30.75,30.88,41000.0
1999-11-08,30.63,31.25,30.63,31.0,77000.0
1999-11-09,30.5,31.25,30.5,31.19,38000.0
1999-11-10,30.5,31.81,30.38,31.81,241500.0
1999-11-11,31.81,32.0,31.44,31.88,189500.0
1999-11-12,31.75,32.13,31.44,32.0,93500.0
1999-11-15,32.0,32.38,31.25,31.94,178000.0
1999-11-16,31.94,32.13,31.88,32.0,87500.0
1999-11-17,32.0,32.06,31.75,32.0,59000.0
1999-11-18,31.94,31.94,30.06,30.63,89000.0
1999-11-19,30.69,31.13,30.44,31.0,36500.0
1999-11-22,30.5,31.0,29.75,30.5,36000.0
1999-11-23,30.0,30.0,28.5,28.75,96000.0
1999-11-24,28.63,29.63,28.63,29.5,117500.0
1999-11-26,29.41,29.63,29.38,29.63,2000.0
1999-11-29,29.13,29.5,28.63,29.38,39500.0
1999-11-30,29.28,29.31,28.75,28.75,36500.0
1999-12-01,28.56,29.06,28.56,28.63,43000.0
1999-12-02,28.63,29.0,28.38,28.5,26000.0
1999-12-03,28.38,29.0,27.69,28.56,79000.0
1999-12-06,28.75,28.75,27.0,28.13,78000.0
1999-12-07,27.5,27.81,27.0,27.75,53500.0
1999-12-08,27.25,28.0,27.25,27.94,117500.0
1999-12-09,27.38,27.81,26.75,27.25,52000.0
1999-12-10,27.0,27.88,26.5,26.5,51500.0
1999-12-13,26.5,27.0,26.31,26.81,107000.0
1999-12-14,26.13,26.5,26.0,26.13,89000.0
1999-12-15,26.38,26.88,25.88,26.13,112500.0
1999-12-16,26.25,26.25,25.75,26.06,144500.0
1999-12-17,26.13,26.13,25.38,25.63,100500.0
1999-12-20,25.5,26.5,25.31,25.81,98500.0
1999-12-21,25.56,25.88,25.25,25.44,68500.0
1999-12-22,25.25,26.0,25.25,25.94,104500.0
1999-12-23,25.88,25.88,25.0,25.56,113000.0
1999-12-27,25.06,26.0,24.94,25.75,153500.0
1999-12-28,26.0,26.0,25.25,25.97,108000.0
1999-12-29,25.25,27.19,25.25,26.25,70500.0
1999-12-30,25.88,27.25,25.88,26.19,103500.0
1999-12-31,25.88,28.25,25.88,27.94,69000.0
2000-01-03,27.78,28.0,25.63,26.88,59500.0
2000-01-04,26.31,27.25,25.25,26.0,144500.0
2000-01-05,26.06,26.75,25.0,25.38,126500.0
2000-01-06,24.94,25.44,24.56,24.94,188000.0
2000-01-07,24.75,25.0,24.63,24.94,114500.0
2000-01-10,24.88,25.13,23.81,23.81,171000.0
2000-01-11,23.88,24.63,23.75,24.31,187500.0
2000-01-12,24.44,24.44,24.0,24.13,101000.0
2000-01-13,24.13,24.56,24.13,24.31,60000.0
2000-01-14,24.44,24.5,23.25,23.5,221500.0
2000-01-18,23.75,24.13,23.19,24.13,200500.0
2000-01-19,23.75,24.75,23.75,24.38,116000.0
2000-01-20,23.88,24.88,23.56,23.75,167500.0
2000-01-21,23.56,24.0,23.31,23.38,82000.0
2000-01-24,23.75,23.88,23.0,23.0,136000.0
2000-01-25,23.19,23.19,22.06,22.88,155000.0
2000-01-26,22.38,24.06,22.13,24.0,174000.0
2000-01-27,24.06,24.38,23.25,24.38,167500.0
2000-01-28,24.06,24.56,24.0,24.19,120000.0
2000-01-31,24.0,25.0,24.0,25.0,143500.0
2000-02-01,24.88,26.0,24.88,25.44,134500.0
2000-02-02,25.41,25.81,24.75,25.75,249500.0
2000-02-03,25.0,26.0,24.63,25.94,149500.0
2000-02-04,25.88,26.0,24.38,25.75,82500.0
2000-02-07,25.13,25.94,25.13,25.94,76000.0
2000-02-08,25.38,25.5,24.75,25.0,115000.0
2000-02-09,25.38,25.44,24.31,24.31,54000.0
2000-02-10,24.63,25.06,23.0,23.75,58500.0
2000-02-11,23.75,24.31,23.06,23.06,75000.0
2000-02-14,23.5,23.75,22.94,23.0,136000.0
2000-02-15,21.88,23.5,21.75,23.06,174000.0
2000-02-16,23.38,24.0,21.94,22.25,166500.0
2000-02-17,22.38,23.0,22.38,22.63,59000.0
2000-02-18,22.75,23.19,22.38,22.5,68000.0
2000-02-22,22.5,22.56,21.44,21.56,158000.0
2000-02-23,21.88,21.88,20.63,20.75,277500.0
2000-02-24,20.94,20.94,19.81,20.38,287000.0
2000-02-25,20.5,21.25,20.5,21.0,53000.0
2000-02-28,20.75,21.25,20.38,20.75,46000.0
2000-02-29,21.0,22.5,20.25,22.31,142500.0
2000-03-01,22.0,23.06,21.88,22.63,84500.0
2000-03-02,22.63,22.63,21.56,22.13,86000.0
2000-03-03,21.84,22.0,20.69,20.75,124500.0
2000-03-06,21.0,21.0,20.0,20.25,89500.0
2000-03-07,20.19,21.0,20.0,20.38,72000.0
2000-03-08,20.38,20.44,19.5,19.5,144000.0
2000-03-09,19.44,19.75,19.13,19.63,122000.0
2000-03-10,19.13,19.75,18.94,19.23,166000.0
2000-03-13,19.0,19.38,18.5,18.89,73000.0
2000-03-14,19.25,19.38,18.5,18.88,115000.0
2000-03-15,19.13,19.5,18.38,18.63,302000.0
2000-03-16,18.44,20.0,18.13,19.5,172500.0
2000-03-17,19.81,20.75,19.5,19.88,112000.0
2000-03-20,20.44,21.0,19.88,20.0,36500.0
2000-03-21,20.5,20.5,20.0,20.25,75000.0
2000-03-22,20.5,21.0,20.31,21.0,32500.0
2000-03-23,20.88,22.06,20.88,22.0,138000.0
2000-03-24,21.88,22.38,21.88,22.38,98000.0
2000-03-27,22.13,22.13,21.81,21.88,52000.0
2000-03-28,22.38,22.38,21.88,21.94,72500.0
2000-03-29,22.0,22.25,21.75,22.0,66500.0
2000-03-30,21.56,22.44,21.56,22.38,69500.0
2000-03-31,22.5,22.63,22.0,22.19,295000.0
2000-04-03,22.5,23.13,22.38,22.88,184000.0
2000-04-04,23.63,24.25,22.63,22.69,144000.0
2000-04-05,23.13,23.5,23.0,23.25,64500.0
2000-04-06,23.0,23.38,23.0,23.0,41000.0
2000-04-07,23.0,23.56,23.0,23.38,64500.0
2000-04-10,23.75,24.0,23.25,23.56,113500.0
2000-04-11,23.5,23.5,22.5,23.13,101000.0
2000-04-12,23.38,23.38,22.38,22.88,123500.0
2000-04-13,22.88,23.38,22.31,22.5,63000.0
2000-04-14,22.5,22.5,21.38,21.73,111000.0
2000-04-17,21.5,21.75,21.0,21.38,49500.0
2000-04-18,21.0,22.0,20.75,21.94,115000.0
2000-04-19,21.13,21.81,20.88,21.0,93500.0
2000-04-20,21.0,22.0,20.88,21.5,32000.0
2000-04-24,20.88,22.0,20.56,21.13,48000.0
2000-04-25,21.25,21.86,20.5,20.5,143500.0
2000-04-26,20.38,21.0,20.38,20.75,63500.0
2000-04-27,20.56,20.75,19.75,20.0,65500.0
2000-04-28,20.0,20.5,19.75,20.13,91000.0
2000-05-01,20.25,20.98,20.13,20.33,51000.0
2000-05-02,20.38,20.38,19.88,20.25,80500.0
2000-05-03,20.31,20.34,19.63,20.06,101500.0
2000-05-04,20.0,20.5,19.63,19.88,33500.0
2000-05-05,20.0,20.19,19.5,19.81,32000.0
2000-05-08,20.0,20.5,19.75,20.13,78500.0
2000-05-09,20.19,20.5,19.88,20.5,92500.0
2000-05-10,20.44,20.63,19.88,20.19,29500.0
2000-05-11,20.53,21.0,20.0,20.44,55000.0
2000-05-12,20.25,20.63,20.0,20.38,56500.0
2000-05-15,20.19,21.0,20.19,21.0,39500.0
2000-05-16,20.88,21.13,20.75,20.81,60500.0
2000-05-17,20.5,20.63,20.0,20.63,29500.0
2000-05-18,20.63,21.25,20.44,21.25,59500.0
2000-05-19,20.0,20.94,20.0,20.63,47000.0
2000-05-22,20.5,20.94,20.38,20.81,55000.0
2000-05-23,20.88,21.44,20.63,20.63,85000.0
2000-05-24,20.69,21.38,20.31,21.25,85000.0
2000-05-25,20.75,21.56,20.75,21.5,74500.0
2000-05-26,21.0,22.0,21.0,22.0,53500.0
2000-05-30,22.0,22.19,21.25,22.0,68500.0
2000-05-31,21.88,22.13,21.81,22.13,208500.0
2000-06-01,22.69,23.13,22.19,22.56,46500.0
2000-06-02,23.0,23.44,22.38,23.25,142000.0
2000-06-05,23.28,23.44,22.5,22.63,58500.0
2000-06-06,22.97,23.0,22.56,22.63,45500.0
2000-06-07,22.56,22.75,22.0,22.38,21000.0
2000-06-08,22.5,22.5,22.0,22.13,29500.0
2000-06-09,22.25,22.31,21.88,22.06,46000.0
2000-06-12,22.5,22.5,21.5,21.5,41000.0
2000-06-13,22.25,22.25,21.5,21.69,44000.0
2000-06-14,22.25,22.25,21.88,21.88,24000.0
2000-06-15,21.75,21.88,21.13,21.88,80000.0
2000-06-16,21.75,21.81,21.0,21.19,139000.0
2000-06-19,21.0,21.31,20.31,20.38,102000.0
2000-06-20,20.31,20.56,19.75,20.13,119500.0
2000-06-21,20.25,21.13,19.94,21.0,128000.0
2000-06-22,20.69,21.0,20.0,20.25,145500.0
2000-06-23,20.13,20.75,20.13,20.5,90000.0
2000-06-26,20.56,20.75,20.25,20.56,43000.0
2000-06-27,20.69,21.69,20.25,20.56,110000.0
2000-06-28,20.56,22.25,20.56,21.31,173000.0
2000-06-29,21.31,21.56,20.5,20.88,91500.0
2000-06-30,20.81,20.88,18.88,19.06,479500.0
2000-07-03,19.63,20.5,19.19,20.31,102500.0
2000-07-05,20.44,20.63,19.94,20.06,101000.0
2000-07-06,20.38,20.81,20.19,20.75,84000.0
2000-07-07,21.0,21.31,20.63,21.0,76000.0
2000-07-10,21.0,21.5,20.88,21.0,69500.0
2000-07-11,20.81,21.5,20.81,21.5,62500.0
2000-07-12,21.31,21.75,21.13,21.56,43500.0
2000-07-13,21.38,21.75,21.31,21.5,112500.0
2000-07-14,21.63,22.0,21.5,21.63,77000.0
2000-07-17,21.5,22.06,21.5,22.0,37000.0
2000-07-18,22.0,22.25,21.06,22.19,126500.0
2000-07-19,22.06,22.13,22.0,22.06,42000.0
2000-07-20,22.13,22.25,21.75,22.25,62500.0
2000-07-21,22.25,22.25,21.19,21.81,34500.0
2000-07-24,21.88,21.88,21.0,21.5,39500.0
2000-07-25,21.63,22.44,21.0,22.06,43500.0
2000-07-26,22.06,22.06,21.25,21.5,33500.0
2000-07-27,21.75,21.75,20.94,21.38,24000.0
2000-07-28,21.38,21.44,20.88,21.13,64000.0
2000-07-31,21.75,21.75,20.88,21.75,50500.0
2000-08-01,21.5,21.75,21.44,21.69,42000.0
2000-08-02,21.5,21.81,20.88,21.31,85500.0
2000-08-03,21.38,21.81,21.25,21.69,73500.0
2000-08-04,21.56,22.13,21.31,22.13,62000.0
2000-08-07,22.19,22.25,21.06,21.63,43000.0
2000-08-08,21.75,21.88,21.31,21.5,27000.0
2000-08-09,21.25,21.44,21.0,21.44,16000.0
2000-08-10,21.53,21.69,21.13,21.56,21000.0
2000-08-11,21.47,22.0,21.25,22.0,33500.0
2000-08-14,21.94,21.94,21.19,21.38,61500.0
2000-08-15,21.47,21.5,21.19,21.19,32500.0
2000-08-16,21.28,21.44,21.19,21.38,46000.0
2000-08-17,21.13,21.25,20.38,20.75,95000.0
2000-08-18,20.63,20.75,20.25,20.63,57000.0
2000-08-21,20.44,20.5,20.0,20.25,20000.0
2000-08-22,19.81,20.19,19.63,20.19,83500.0
2000-08-23,20.25,20.25,19.75,19.88,93000.0
2000-08-24,19.75,20.06,19.5,20.0,78500.0
2000-08-25,20.06,20.13,19.88,20.06,17500.0
2000-08-28,20.0,20.19,19.56,19.63,124000.0
2000-08-29,19.5,20.19,19.38,20.0,131000.0
