date,open,high,low,close,volume
2021-08-27,10.67,10.83,9.72,10.2,48343.0
2021-08-30,10.25,11.41,10.0977,11.12,104485.0
2021-08-31,11.19,12.27,10.82,12.27,219824.0
2021-09-01,12.32,12.5,11.45,11.6,98320.0
2021-09-02,12.22,12.27,11.62,12.06,71594.0
2021-09-03,12.06,12.32,11.8297,11.9772,55544.0
2021-09-07,12.15,12.15,11.185,11.44,87180.0
2021-09-08,11.51,11.728,10.95,11.59,75704.0
2021-09-09,11.5452,11.55,10.97,11.15,79306.0
2021-09-10,11.25,11.535,11.07,11.07,149429.0
2021-09-13,11.0,11.35,10.74,10.96,44243.0
2021-09-14,11.35,11.35,10.37,10.38,54836.0
2021-09-15,10.2,10.8599,10.01,10.58,52239.0
2021-09-16,10.38,10.72,10.36,10.69,25854.0
2021-09-17,10.74,10.74,10.07,10.5,64969.0
2021-09-20,10.2,10.2,9.52,9.68,77723.0
2021-09-21,9.9,10.45,9.7001,10.44,91197.0
2021-09-22,10.16,10.34,9.96,10.12,39073.0
2021-09-23,10.11,10.6,10.11,10.59,34116.0
2021-09-24,10.4,10.51,10.17,10.32,40423.0
2021-09-27,10.18,10.2841,10.0,10.06,31146.0
2021-09-28,10.09,10.21,9.43,9.59,29891.0
2021-09-29,9.67,9.79,9.45,9.45,34581.0
2021-09-30,9.57,9.65,9.0329,9.55,12143.0
2021-10-01,9.67,10.2,9.2499,10.2,80555.0
2021-10-04,10.07,10.39,9.59,9.78,42296.0
2021-10-05,9.9,10.03,9.6525,9.96,20819.0
2021-10-06,10.24,11.0,9.57,9.98,43461.0
2021-10-07,9.98,10.32,9.85,10.25,16800.0
2021-10-08,10.22,10.22,9.9,10.2,17876.0
2021-10-11,10.24,10.2672,10.0,10.0,5730.0
2021-10-12,10.22,10.22,9.7,9.92,27094.0
2021-10-13,9.78,10.62,9.56,10.62,36893.0
2021-10-14,10.89,10.89,9.85,9.94,75348.0
2021-10-15,9.93,9.975,9.219,9.35,34104.0
2021-10-18,9.25,9.45,9.0501,9.15,13565.0
2021-10-19,9.13,9.33,8.97,9.23,48464.0
2021-10-20,9.1,9.34,8.761,9.21,41625.0
2021-10-21,9.08,9.68,9.08,9.37,39458.0
2021-10-22,9.3,9.3,8.87,9.06,39038.0
2021-10-25,8.99,9.0999,8.87,8.96,22133.0
2021-10-26,8.89,9.0795,8.73,8.78,9477.0
2021-10-27,8.8,8.8,8.38,8.42,34431.0
2021-10-28,8.6,8.6,8.25,8.33,29099.0
2021-10-29,8.35,8.43,7.9,8.02,57297.0
2021-11-01,8.02,8.68,8.02,8.29,50237.0
2021-11-02,8.2,8.36,7.96,7.97,26230.0
2021-11-03,8.0,8.752,8.0,8.63,22960.0
2021-11-04,8.6644,8.73,8.39,8.68,54072.0
2021-11-05,8.82,8.9375,8.56,8.88,29971.0
2021-11-08,9.0,9.75,8.845,9.18,138760.0
2021-11-09,8.9,9.1,8.42,8.52,82371.0
2021-11-10,8.51,8.51,7.82,7.91,107345.0
2021-11-11,7.85,8.1399,7.77,7.95,36688.0
2021-11-12,7.99,7.99,7.7801,7.87,29620.0
2021-11-15,7.78,7.81,6.97,7.03,111593.0
2021-11-16,7.07,7.31,6.7701,7.13,42103.0
2021-11-17,7.16,7.19,6.9,6.95,28081.0
2021-11-18,7.0,7.0,6.51,6.55,48610.0
2021-11-19,6.55,6.55,6.3,6.53,62032.0
2021-11-22,6.85,7.1,6.54,6.665,76819.0
2021-11-23,6.59,6.59,6.0762,6.25,80997.0
2021-11-24,6.25,6.39,6.12,6.3,22617.0
2021-11-26,6.01,6.19,5.94,6.15,84772.0
2021-11-29,6.16,6.21,5.91,5.93,41476.0
2021-11-30,5.93,6.17,5.78,6.16,38764.0
2021-12-01,6.14,6.14,5.59,5.66,66903.0
2021-12-02,5.63,5.93,5.385,5.84,87339.0
2021-12-03,5.7297,5.7297,5.3554,5.39,60835.0
2021-12-06,5.41,5.96,5.41,5.54,36757.0
2021-12-07,5.83,5.97,5.58,5.58,28675.0
2021-12-08,5.65,6.0,5.65,5.96,24359.0
2021-12-09,6.38,6.38,5.51,5.65,62133.0
2021-12-10,5.93,5.93,5.39,5.39,117609.0
2021-12-13,5.36,5.36,5.1,5.17,32248.0
2021-12-14,5.13,5.21,5.0004,5.16,35908.0
2021-12-15,5.1799,5.53,4.88,5.4687,65900.0
2021-12-16,5.64,5.64,5.15,5.19,53656.0
2021-12-17,5.14,5.5,5.02,5.34,45552.0
2021-12-20,5.31,5.51,5.021,5.15,36775.0
2021-12-21,5.29,5.48,5.1773,5.48,28818.0
2021-12-22,5.5,5.5,5.32,5.4,68026.0
2021-12-23,5.4,5.685,5.3,5.685,47867.0
2021-12-27,5.67,5.75,5.45,5.51,26256.0
2021-12-28,5.595,5.71,5.28,5.31,74044.0
2021-12-29,5.32,5.515,5.17,5.1867,55949.0
2021-12-30,5.17,5.47,5.17,5.31,57480.0
2021-12-31,5.35,5.42,5.02,5.03,116698.0
2022-01-03,5.3,5.45,5.09,5.2473,10875.0
2022-01-04,5.07,5.22,4.86,4.91,60682.0
2022-01-05,4.92,5.0299,4.74,4.8,17284.0
2022-01-06,4.74,4.9132,4.5762,4.79,43058.0
2022-01-07,4.82,5.09,4.8033,5.08,23313.0
2022-01-10,4.96,5.0376,4.61,4.6899,29329.0
2022-01-11,4.69,4.94,4.58,4.835,11644.0
2022-01-12,4.95,4.96,4.835,4.89,18227.0
2022-01-13,4.89,4.89,4.63,4.66,18516.0
2022-01-14,4.52,4.73,4.41,4.71,53682.0
2022-01-18,4.74,4.75,4.505,4.66,15723.0
2022-01-19,4.75,4.79,4.6,4.72,28375.0
2022-01-20,4.69,5.51,4.69,5.4,45187.0
2022-01-21,5.4,5.88,5.32,5.72,167003.0
2022-01-24,5.47,5.47,4.72,4.94,72431.0
2022-01-25,5.39,5.39,4.6,4.82,32921.0
2022-01-26,4.98,5.16,4.79,4.79,21051.0
2022-01-27,4.9,5.03,4.61,4.62,25895.0
2022-01-28,4.62,4.8725,4.6,4.77,20265.0
2022-01-31,4.7,5.09,4.7,5.06,9807.0
2022-02-01,5.02,5.4,4.95,5.37,16204.0
2022-02-02,5.42,5.5,5.2,5.33,6891.0
2022-02-03,5.2,5.29,5.07,5.16,5028.0
2022-02-04,5.1,5.3,5.03,5.21,14162.0
2022-02-07,5.34,5.46,5.25,5.39,8424.0
2022-02-08,5.71,7.02,5.64,6.89,465173.0
2022-02-09,6.75,7.259,6.5,6.97,177615.0
2022-02-10,6.95,7.98,6.7569,7.75,132352.0
2022-02-11,7.87,7.87,7.13,7.26,61119.0
2022-02-14,7.24,7.36,7.0801,7.29,17733.0
2022-02-15,7.33,7.42,7.01,7.2,37205.0
2022-02-16,7.28,7.28,6.71,7.1,44210.0
2022-02-17,7.1,7.31,6.85,7.0,21117.0
2022-02-18,7.21,7.21,6.5,6.54,55909.0
2022-02-22,6.6,6.6,6.06,6.12,47435.0
2022-02-23,6.21,6.3968,5.94,5.94,24100.0
2022-02-24,5.66,6.32,5.57,6.27,23685.0
2022-02-25,6.26,6.26,5.96,6.07,9990.0
2022-02-28,6.06,6.23,5.92,6.22,29801.0
2022-03-01,6.47,6.53,6.1,6.43,50207.0
2022-03-02,6.93,7.32,6.4,7.14,83927.0
2022-03-03,7.47,7.47,6.69,6.9,34546.0
2022-03-04,6.85,6.91,6.3602,6.47,38743.0
2022-03-07,6.62,6.62,6.1101,6.3,93790.0
2022-03-08,6.34,7.22,6.18,6.74,50355.0
2022-03-09,6.84,7.23,6.84,7.06,41201.0
2022-03-10,6.76,7.45,6.76,7.26,52249.0
2022-03-11,7.32,7.44,6.74,6.83,57747.0
