date,open,high,low,close,volume
1999-11-01,29.19,29.63,29.0,29.44,11800.0
1999-11-02,29.56,30.63,29.38,30.5,21400.0
1999-11-03,30.75,31.38,30.5,30.88,16500.0
1999-11-04,31.0,31.31,30.94,30.94,11500.0
1999-11-05,31.13,31.13,30.69,31.0,12900.0
1999-11-08,30.81,30.88,30.69,30.75,59300.0
1999-11-09,30.88,30.88,30.13,30.63,17600.0
1999-11-10,30.75,31.13,30.56,30.88,15500.0
1999-11-11,31.5,31.75,31.13,31.56,17500.0
1999-11-12,31.75,32.13,31.63,32.0,16500.0
1999-11-15,32.0,32.75,32.0,32.75,15300.0
1999-11-16,32.88,34.44,32.88,33.81,33300.0
1999-11-17,33.94,34.25,33.25,34.0,41200.0
1999-11-18,34.0,34.31,33.69,34.19,33600.0
1999-11-19,34.25,34.25,33.63,33.88,43700.0
1999-11-22,33.88,33.94,33.69,33.75,12100.0
1999-11-23,33.13,33.13,31.88,31.94,13100.0
1999-11-24,32.0,32.25,31.25,31.63,23700.0
1999-11-26,31.25,31.81,31.25,31.38,10300.0
1999-11-29,31.44,31.44,30.75,31.13,8500.0
1999-11-30,30.63,30.69,30.06,30.69,10000.0
1999-12-01,30.63,30.69,29.94,29.94,32000.0
1999-12-02,29.0,29.94,28.81,28.81,39700.0
1999-12-03,28.56,29.63,28.56,29.44,41500.0
1999-12-06,29.44,29.44,29.0,29.25,35800.0
1999-12-07,29.13,29.88,28.75,29.88,20200.0
1999-12-08,29.81,31.0,29.81,31.0,29000.0
1999-12-09,30.63,30.63,29.63,30.0,26500.0
1999-12-10,30.13,30.5,30.13,30.5,14700.0
1999-12-13,30.5,30.56,30.13,30.13,20500.0
1999-12-14,30.0,30.06,29.81,29.81,1300.0
1999-12-15,30.13,30.5,29.94,30.5,25100.0
1999-12-16,30.38,32.13,30.38,31.88,21600.0
1999-12-17,31.69,31.69,31.69,31.69,92200.0
1999-12-20,31.81,32.44,31.69,32.06,22800.0
1999-12-21,31.88,32.0,31.63,31.63,9800.0
1999-12-22,31.38,31.63,30.75,31.19,30000.0
1999-12-23,31.31,31.44,30.88,31.0,47000.0
1999-12-27,31.06,33.13,31.06,32.69,46900.0
1999-12-28,32.69,33.94,32.56,33.04,31800.0
1999-12-29,32.25,34.56,31.88,34.56,27000.0
1999-12-30,34.44,34.44,33.56,33.56,26200.0
1999-12-31,33.69,34.0,33.69,33.94,25100.0
2000-01-03,34.06,34.06,32.75,33.0,13100.0
2000-01-04,32.88,33.0,31.5,31.5,13100.0
2000-01-05,31.38,31.44,31.13,31.25,21200.0
2000-01-06,31.13,31.44,30.38,30.75,31700.0
2000-01-07,30.63,30.81,29.88,30.06,9400.0
2000-01-10,30.25,30.88,29.56,29.75,25400.0
2000-01-11,29.69,29.69,29.06,29.13,5200.0
2000-01-12,28.88,29.38,28.81,29.19,13000.0
2000-01-13,29.31,30.25,29.25,29.94,15100.0
2000-01-14,30.13,30.75,29.38,29.56,19300.0
2000-01-18,29.44,30.13,28.81,30.13,13800.0
2000-01-19,29.5,30.22,29.5,29.94,24600.0
2000-01-20,30.06,30.19,29.75,30.13,11500.0
2000-01-21,30.0,30.19,29.56,29.56,9500.0
2000-01-24,29.75,30.0,29.13,29.13,16100.0
2000-01-25,29.13,29.13,27.94,28.0,12800.0
2000-01-26,28.25,28.25,26.31,26.5,9400.0
2000-01-27,26.63,26.63,26.25,26.63,42700.0
2000-01-28,26.75,27.56,26.44,27.31,111200.0
2000-01-31,27.44,29.25,27.44,28.44,50800.0
2000-02-01,28.44,29.0,28.25,28.56,36700.0
2000-02-02,28.75,28.75,28.25,28.25,8600.0
2000-02-03,28.0,28.06,27.75,27.88,11000.0
2000-02-04,27.94,28.19,27.72,27.88,19500.0
2000-02-07,28.5,28.56,28.25,28.31,25100.0
2000-02-08,28.56,29.5,28.38,28.63,39400.0
2000-02-09,28.88,29.06,28.31,28.31,16200.0
2000-02-10,28.44,28.44,27.63,28.13,16500.0
2000-02-11,28.25,29.0,26.81,26.81,39700.0
2000-02-14,27.0,28.0,26.94,27.94,32000.0
