date,open,high,low,close,volume
2021-10-06,0.36,0.603,0.35,0.41,319529.0
2021-10-07,0.45,0.45,0.4,0.4,6790.0
2021-10-08,0.3824,0.4,0.33,0.35,228193.0
2021-10-11,0.3501,0.39,0.35,0.3899,732766.0
2021-10-12,0.449,0.45,0.4,0.41,572454.0
2021-10-13,0.43,0.43,0.39,0.39,380479.0
2021-10-14,0.3903,0.41,0.39,0.41,1183475.0
2021-10-15,0.41,0.4389,0.405,0.43,451040.0
2021-10-18,0.4299,0.43,0.4,0.42,167986.0
2021-10-19,0.4399,0.4408,0.4198,0.43,123027.0
2021-10-20,0.43,0.43,0.396,0.3999,342922.0
2021-10-21,0.42,0.45,0.3904,0.43,539006.0
2021-10-22,0.4,0.5555,0.4,0.49,903309.0
2021-10-25,0.53,0.53,0.48,0.53,282018.0
2021-10-26,0.55,0.55,0.4812,0.4998,327254.0
2021-10-27,0.5196,0.52,0.4901,0.52,75151.0
2021-10-28,0.518,0.5198,0.4826,0.5,145150.0
2021-10-29,0.5,0.5,0.4402,0.455,475174.0
2021-11-01,0.45,0.5389,0.45,0.5388,233636.0
2021-11-02,0.5,0.538,0.4702,0.5,263364.0
2021-11-03,0.5349,0.5383,0.5001,0.5383,104117.0
2021-11-04,0.58,0.58,0.53,0.558,274464.0
2021-11-05,0.5576,0.578,0.5451,0.565,103917.0
2021-11-08,0.57,0.585,0.5502,0.5502,139254.0
2021-11-09,0.5601,0.5798,0.53,0.5599,201815.0
2021-11-10,0.5602,0.67,0.56,0.6199,191500.0
2021-11-11,0.66,0.66,0.5603,0.61,183472.0
2021-11-12,0.62,0.62,0.5801,0.6177,119569.0
2021-11-15,0.62,0.6497,0.57,0.595,296166.0
2021-11-16,0.5801,0.5977,0.55,0.588,241593.0
2021-11-17,0.61,0.66,0.5799,0.66,1025749.0
2021-11-18,0.7,0.715,0.6603,0.6753,594320.0
2021-11-19,0.664,0.78,0.6304,0.78,475681.0
2021-11-22,0.7699,0.8102,0.75,0.7501,318736.0
2021-11-23,0.74,0.75,0.69,0.71,264078.0
2021-11-24,0.7201,0.74,0.69,0.74,83167.0
2021-11-26,0.7398,0.7398,0.69,0.7,39651.0
2021-11-29,0.65,0.7249,0.6302,0.6879,121012.0
2021-11-30,0.6702,0.7,0.63,0.6499,119909.0
2021-12-01,0.6328,0.67,0.6328,0.664,185763.0
2021-12-02,0.6599,0.6599,0.6055,0.6199,200773.0
2021-12-03,0.6294,0.64,0.5799,0.6196,262665.0
2021-12-06,0.6194,0.6194,0.5699,0.605,71733.0
2021-12-07,0.6189,0.6889,0.6099,0.6683,140890.0
2021-12-08,0.6331,0.6875,0.6308,0.6869,234263.0
2021-12-09,0.6648,0.6995,0.65,0.65,149936.0
2021-12-10,0.68,0.69,0.6613,0.6796,107134.0
2021-12-13,0.6515,0.6702,0.6401,0.6556,143400.0
2021-12-14,0.65,0.6662,0.6012,0.6349,50832.0
2021-12-15,0.62,0.6493,0.6014,0.62,110243.0
2021-12-16,0.615,0.6398,0.59,0.5999,63969.0
2021-12-17,0.59,0.6,0.5791,0.5878,57661.0
2021-12-20,0.5712,0.6,0.5502,0.5971,86384.0
2021-12-21,0.58,0.5998,0.5517,0.5701,60051.0
2021-12-22,0.6191,0.6191,0.5884,0.6,83011.0
2021-12-23,0.6,0.6168,0.58,0.6084,63100.0
2021-12-27,0.6,0.62,0.5902,0.6001,38954.0
2021-12-28,0.5902,0.6,0.5545,0.5597,46729.0
2021-12-29,0.5601,0.6,0.56,0.6,91718.0
2021-12-30,0.57,0.5998,0.5696,0.5998,13059.0
2021-12-31,0.5614,0.6099,0.5614,0.6099,51960.0
2022-01-03,0.6,0.6199,0.5878,0.595,150508.0
2022-01-04,0.5799,0.5999,0.5621,0.578,78663.0
2022-01-05,0.58,0.5898,0.54,0.5498,77610.0
2022-01-06,0.5211,0.5459,0.4851,0.52,130400.0
2022-01-07,0.5001,0.51,0.4611,0.5098,98448.0
2022-01-10,0.5006,0.52,0.4301,0.4599,227424.0
2022-01-11,0.45,0.4798,0.4017,0.435,145166.0
2022-01-12,0.43,0.4695,0.43,0.4695,31948.0
2022-01-13,0.4301,0.5298,0.425,0.43,134164.0
2022-01-14,0.43,0.4481,0.36,0.3999,147012.0
2022-01-18,0.37,0.42,0.2246,0.39,174618.0
2022-01-19,0.37,0.4,0.3501,0.385,89306.0
2022-01-20,0.3901,0.3949,0.3599,0.36,94009.0
2022-01-21,0.3506,0.36,0.3303,0.36,178628.0
2022-01-24,0.36,0.36,0.3011,0.3448,148335.0
2022-01-25,0.3159,0.4002,0.3159,0.35,44894.0
2022-01-26,0.37,0.3799,0.3377,0.35,178161.0
2022-01-27,0.34,0.3597,0.3343,0.3343,125174.0
2022-01-28,0.3398,0.3398,0.3242,0.335,68273.0
2022-01-31,0.3399,0.34,0.32,0.34,34751.0
2022-02-01,0.32,0.397,0.32,0.3967,18150.0
2022-02-02,0.4799,0.4799,0.38,0.4202,4892.0
2022-02-03,0.415,0.4475,0.37,0.3799,27090.0
2022-02-04,0.3751,0.38,0.3502,0.3601,26901.0
2022-02-07,0.36,0.36,0.2965,0.35,78781.0
2022-02-08,0.35,0.35,0.3,0.3491,57530.0
2022-02-09,0.335,0.3351,0.3261,0.3261,18993.0
2022-02-10,0.3499,0.3499,0.258,0.29,257153.0
2022-02-11,0.28,0.32,0.26,0.28,312329.0
2022-02-14,0.28,0.3399,0.2612,0.28,41222.0
2022-02-15,0.315,0.3498,0.3018,0.335,18670.0
2022-02-16,0.2899,0.3133,0.2899,0.3113,34505.0
2022-02-17,0.301,0.3374,0.301,0.3199,24232.0
2022-02-18,0.3204,0.339,0.3097,0.331,23563.0
2022-02-22,0.3598,0.3598,0.3299,0.3299,4089.0
2022-02-23,0.4048,0.4048,0.3158,0.3395,34339.0
2022-02-24,0.3549,0.37,0.3287,0.33,99250.0
2022-02-25,0.3699,0.3699,0.33,0.33,962.0
2022-02-28,0.33,0.3332,0.32,0.32,49093.0
2022-03-01,0.3201,0.33,0.31,0.31,11257.0
2022-03-02,0.2802,0.3348,0.2802,0.31,36096.0
2022-03-03,0.31,0.32,0.31,0.3101,10250.0
2022-03-04,0.317,0.3171,0.279,0.2937,93573.0
2022-03-07,0.2937,0.2995,0.25,0.2994,83080.0
2022-03-08,0.2501,0.2795,0.2501,0.2795,16601.0
2022-03-09,0.28,0.28,0.25,0.2501,38218.0
2022-03-10,0.26,0.26,0.25,0.255,15360.0
2022-03-11,0.25,0.27,0.25,0.25,57073.0
2022-03-14,0.3,0.3,0.2001,0.2275,75191.0
2022-03-15,0.23,0.23,0.22,0.2249,2801.0
2022-03-16,0.2056,0.231,0.2056,0.2298,9000.0
2022-03-17,0.2099,0.263,0.1897,0.2599,84600.0
2022-03-18,0.3456,0.3499,0.24,0.2489,4701.0
2022-03-21,0.2677,0.2677,0.2132,0.23,59366.0
2022-03-22,0.23,0.23,0.21,0.2238,107747.0
2022-03-23,0.2399,0.25,0.21,0.25,31970.0
2022-03-24,0.25,0.2599,0.25,0.25,9686.0
2022-03-25,0.2299,0.3,0.22,0.2679,53706.0
2022-03-28,0.28,0.28,0.22,0.26,64195.0
2022-03-29,0.2699,0.2699,0.2206,0.26,10015.0
2022-03-30,0.2699,0.2699,0.2201,0.26,2225.0
2022-03-31,0.2689,0.2689,0.2201,0.2319,56032.0
2022-04-01,0.27,0.27,0.2251,0.2251,20251.0
2022-04-04,0.26,0.2603,0.22,0.23,66199.0
2022-04-05,0.2468,0.2599,0.22,0.2599,8600.0
2022-04-06,0.2598,0.2598,0.2105,0.2197,23231.0
2022-04-07,0.202,0.2598,0.202,0.2598,2902.0
2022-04-08,0.2499,0.2499,0.2218,0.23,21690.0
2022-04-11,0.25,0.25,0.2419,0.2419,401.0
2022-04-12,0.22,0.2499,0.22,0.2499,10150.0
2022-04-13,0.237,0.2499,0.22,0.2499,12024.0
2022-04-14,0.235,0.235,0.2101,0.215,23099.0
2022-04-18,0.24,0.24,0.2001,0.2298,9225.0
2022-04-19,0.2151,0.2399,0.215,0.2399,4329.0
2022-04-20,0.2275,0.2399,0.215,0.23,8800.0
2022-04-21,0.2375,0.2375,0.2151,0.2154,56250.0
2022-04-22,0.22,0.232,0.215,0.215,4775.0
2022-04-25,0.215,0.2249,0.1606,0.2,25514.0
2022-04-26,0.2,0.2125,0.1753,0.1903,465333.0
2022-04-27,0.2,0.22,0.1982,0.2,172774.0
2022-04-28,0.225,0.225,0.1599,0.19,80713.0
2022-04-29,0.2075,0.2075,0.1799,0.18,7921.0
