date,open,high,low,close,volume
1999-11-01,12.13,12.38,12.13,12.38,4000.0
1999-11-02,12.38,12.38,12.38,12.38,0.0
1999-11-03,12.38,12.38,12.38,12.38,0.0
1999-11-04,12.38,12.38,12.38,12.38,0.0
1999-11-05,12.38,12.38,12.38,12.38,0.0
1999-11-08,12.38,12.5,12.38,12.5,1000.0
1999-11-09,12.5,12.5,12.5,12.5,200.0
1999-11-10,12.38,12.38,12.13,12.13,1600.0
1999-11-11,11.88,11.88,11.88,11.88,600.0
1999-11-12,11.88,11.88,11.88,11.88,0.0
1999-11-15,11.88,11.88,11.88,11.88,0.0
1999-11-16,11.75,11.75,11.75,11.75,200.0
1999-11-17,12.0,12.0,12.0,12.0,200.0
1999-11-18,11.75,12.0,11.75,12.0,300.0
1999-11-19,12.0,12.0,12.0,12.0,0.0
1999-11-22,12.25,12.25,12.25,12.25,5700.0
1999-11-23,12.25,12.25,12.25,12.25,0.0
1999-11-24,12.25,12.25,12.0,12.0,900.0
1999-11-26,12.13,12.38,12.13,12.25,1600.0
1999-11-29,12.0,12.0,11.88,11.88,1500.0
1999-11-30,11.88,11.88,11.88,11.88,0.0
1999-12-01,11.88,11.88,11.88,11.88,0.0
1999-12-02,11.88,11.88,11.88,11.88,0.0
1999-12-03,11.88,11.88,11.88,11.88,0.0
1999-12-06,12.0,12.13,12.0,12.13,3500.0
1999-12-07,12.0,12.25,12.0,12.25,500.0
1999-12-08,12.25,12.25,12.25,12.25,0.0
1999-12-09,12.25,12.25,12.25,12.25,0.0
1999-12-10,12.25,12.25,12.25,12.25,0.0
1999-12-13,12.25,12.25,12.25,12.25,0.0
1999-12-14,12.13,12.13,12.13,12.13,100.0
1999-12-15,12.12,12.12,12.12,12.12,0.0
1999-12-16,11.88,12.13,11.75,12.13,1500.0
1999-12-17,12.0,12.0,12.0,12.0,2100.0
1999-12-20,12.0,12.0,12.0,12.0,400.0
1999-12-21,12.0,12.25,12.0,12.25,2200.0
1999-12-22,12.13,12.13,12.13,12.13,100.0
1999-12-23,12.0,12.0,12.0,12.0,100.0
1999-12-27,11.88,11.88,11.88,11.88,300.0
1999-12-28,11.88,11.88,11.88,11.88,0.0
1999-12-29,12.13,12.5,12.13,12.5,3400.0
1999-12-30,12.5,12.75,12.5,12.75,2000.0
