date,open,high,low,close,volume
2013-05-14,1.0,1.0,0.99,0.99,400.0
2013-05-15,0.99,0.99,0.99,0.99,750.0
2013-05-16,0.99,0.99,0.99,0.99,0.0
2013-05-17,0.99,0.99,0.99,0.99,0.0
2013-05-20,0.99,0.99,0.99,0.99,0.0
2013-05-21,0.95,1.0,0.95,1.0,1100.0
2013-05-22,1.0,1.0,1.0,1.0,0.0
2013-05-23,1.0,1.0,1.0,1.0,0.0
2013-05-24,1.0,1.0,1.0,1.0,0.0
2013-05-28,0.9,0.9,0.9,0.9,150.0
2013-05-29,0.9,0.9,0.9,0.9,5000.0
2013-05-30,1.0,1.0,1.0,1.0,1100.0
2013-05-31,1.0,1.0,1.0,1.0,0.0
2013-06-03,0.9,0.9,0.9,0.9,750.0
2013-06-04,0.9,0.9,0.8,0.83,9922.0
2013-06-05,0.85,0.85,0.83,0.83,4500.0
2013-06-06,0.83,0.83,0.83,0.83,3000.0
2013-06-07,1.0,1.0,1.0,1.0,300.0
2013-06-10,1.0,1.0,1.0,1.0,0.0
2013-06-11,0.8,1.0,0.8,1.0,5311.0
2013-06-12,1.0,1.1,1.0,1.0,24576.0
2013-06-13,1.19,1.19,1.0,1.0,7900.0
2013-06-14,1.0,1.0,1.0,1.0,3000.0
2013-06-17,1.05,1.1,1.05,1.07,7450.0
2013-06-18,1.1,1.19,1.1,1.15,8005.0
2013-06-19,1.15,1.15,1.05,1.05,2470.0
2013-06-20,1.0,1.04,0.85,1.0,3500.0
2013-06-21,1.0,1.05,1.0,1.05,700.0
2013-06-24,1.0,1.0,1.0,1.0,750.0
2013-06-25,1.0,1.05,1.0,1.0,1900.0
2013-06-26,0.86,0.87,0.8,0.85,39500.0
2013-06-27,0.85,0.85,0.7051,0.75,23317.0
2013-06-28,0.73,0.73,0.71,0.73,3850.0
2013-07-01,0.73,0.75,0.71,0.75,3400.0
2013-07-02,0.76,0.76,0.71,0.73,16539.0
2013-07-03,0.73,0.73,0.73,0.73,1000.0
2013-07-05,0.73,0.73,0.699,0.699,14600.0
2013-07-08,0.699,0.699,0.64,0.64,8550.0
2013-07-09,0.64,0.64,0.64,0.64,3100.0
2013-07-10,0.64,0.64,0.64,0.64,0.0
2013-07-11,0.65,0.77,0.65,0.77,6740.0
2013-07-12,0.77,0.77,0.5,0.65,6575.0
2013-07-15,0.62,0.62,0.5,0.59,109876.0
2013-07-16,0.59,0.64,0.5,0.56,55500.0
2013-07-17,0.51,0.61,0.5059,0.61,143572.0
2013-07-18,0.61,0.99,0.6,0.85,41050.0
2013-07-19,0.7,0.85,0.7,0.85,2000.0
2013-07-22,0.7,0.7,0.7,0.7,1000.0
2013-07-23,0.66,0.7,0.66,0.7,15200.0
2013-07-24,0.7,0.7,0.7,0.7,101.0
2013-07-25,0.76,0.86,0.75,0.86,13000.0
2013-07-26,0.86,0.86,0.8,0.85,2600.0
2013-07-29,0.75,0.82,0.7,0.82,8386.0
2013-07-30,0.75,0.8,0.55,0.8,10800.0
2013-07-31,0.75,0.8,0.68,0.8,4450.0
2013-08-01,0.75,0.75,0.75,0.75,2300.0
2013-08-02,0.78,0.8,0.75,0.8,7100.0
2013-08-05,0.8,0.81,0.8,0.81,9320.0
2013-08-06,0.82,0.82,0.82,0.82,4938.0
2013-08-07,0.82,0.82,0.82,0.82,0.0
2013-08-08,0.75,0.8,0.75,0.8,1600.0
