date,open,high,low,close,volume
2021-06-04,0.72,0.75,0.72,0.75,2980.0
2021-06-07,0.75,0.75,0.75,0.75,600.0
2021-06-08,0.75,0.75,0.75,0.75,5.0
2021-06-09,0.75,0.75,0.75,0.75,650.0
2021-06-10,0.75,0.75,0.75,0.75,0.0
2021-06-11,0.75,0.75,0.75,0.75,202.0
2021-06-14,0.8,0.8,0.724,0.724,1161.0
2021-06-15,0.724,0.724,0.724,0.724,0.0
2021-06-16,0.72,0.72,0.7001,0.7001,55205.0
2021-06-17,0.7,0.7,0.69,0.6952,7348.0
2021-06-18,0.6999,0.7,0.6719,0.6978,8583.0
2021-06-21,0.6978,0.6978,0.6978,0.6978,116.0
2021-06-22,0.6978,0.6978,0.6978,0.6978,0.0
2021-06-23,0.7,0.77,0.7,0.77,17134.0
2021-06-24,0.77,0.77,0.77,0.77,600.0
2021-06-25,0.77,0.77,0.77,0.77,0.0
2021-06-28,0.78,1.01,0.78,0.8363,103525.0
2021-06-29,0.8301,0.8301,0.8301,0.8301,200.0
2021-06-30,0.8301,0.8301,0.8301,0.8301,0.0
2021-07-01,0.8301,0.8301,0.8301,0.8301,480.0
2021-07-02,1.46,1.46,0.9,0.9,3238.0
2021-07-06,0.9,0.9,0.9,0.9,317.0
2021-07-07,0.9,0.95,0.9,0.95,2468.0
2021-07-08,0.9,0.9,0.8999,0.8999,24125.0
2021-07-09,1.25,1.25,0.8999,0.8999,10352.0
2021-07-12,0.9,0.9,0.9,0.9,898.0
2021-07-13,0.9,0.926,0.9,0.926,932.0
2021-07-14,0.8774,0.91,0.8774,0.91,2472.0
2021-07-15,0.902,0.9031,0.8774,0.902,808.0
2021-07-16,0.9,0.9001,0.8901,0.8901,37506.0
2021-07-19,0.8901,0.8901,0.8901,0.8901,70.0
2021-07-20,0.8901,0.8901,0.8901,0.8901,80.0
2021-07-21,0.8901,0.8901,0.8901,0.8901,0.0
2021-07-22,0.8999,0.8999,0.8999,0.8999,650.0
2021-07-23,1.1,1.1,0.88,0.885,72024.0
2021-07-26,0.89,0.89,0.89,0.89,204.0
2021-07-27,0.8026,0.88,0.7701,0.7701,9116.0
2021-07-28,0.7701,0.7701,0.7701,0.7701,0.0
2021-07-29,0.78,0.9,0.78,0.899,1267.0
2021-07-30,0.899,0.899,0.899,0.899,0.0
2021-08-02,0.899,0.899,0.899,0.899,0.0
2021-08-03,0.899,0.899,0.899,0.899,0.0
2021-08-04,0.899,0.899,0.899,0.899,61.0
2021-08-05,0.899,0.899,0.899,0.899,0.0
2021-08-06,0.899,0.899,0.899,0.899,0.0
2021-08-09,0.899,0.899,0.899,0.899,0.0
2021-08-10,0.7699,0.7867,0.7699,0.7867,3753.0
2021-08-11,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-12,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-13,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-16,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-17,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-18,0.7867,0.7867,0.7867,0.7867,0.0
2021-08-19,0.7124,0.7124,0.7101,0.7101,2510.0
2021-08-20,0.7102,0.7102,0.71,0.71,3610.0
2021-08-23,0.6401,0.6401,0.6001,0.6001,2105.0
2021-08-24,0.6,0.6,0.58,0.58,3997.0
2021-08-25,0.58,0.58,0.5501,0.57,3971.0
2021-08-26,0.54,0.54,0.54,0.54,2037.0
2021-08-27,0.54,0.54,0.54,0.54,1.0
2021-08-30,0.54,0.54,0.54,0.54,11.0
2021-08-31,0.5505,0.5505,0.53,0.53,5236.0
2021-09-01,0.53,0.5699,0.45,0.535,28116.0
2021-09-02,0.55,0.55,0.5331,0.55,2400.0
2021-09-03,0.55,0.55,0.55,0.55,1.0
2021-09-07,0.5002,0.5002,0.4981,0.5002,6285.0
2021-09-08,0.5337,0.54,0.4801,0.51,5939.0
2021-09-09,0.51,0.51,0.51,0.51,14.0
2021-09-10,0.52,0.55,0.52,0.52,2531.0
2021-09-13,0.5201,0.5205,0.5151,0.5151,1147.0
2021-09-14,0.64,0.64,0.54,0.54,6899.0
2021-09-15,0.579,0.58,0.57,0.58,9152.0
2021-09-16,0.59,0.59,0.59,0.59,1166.0
2021-09-17,0.56,0.56,0.56,0.56,2619.0
2021-09-20,0.56,0.56,0.56,0.56,47.0
2021-09-21,0.56,0.56,0.56,0.56,0.0
2021-09-22,0.56,0.56,0.56,0.56,0.0
2021-09-23,0.5699,0.5699,0.5699,0.5699,100.0
2021-09-24,0.56,0.5722,0.56,0.5722,1456.0
2021-09-27,0.585,0.585,0.55,0.55,6535.0
2021-09-28,0.55,0.5615,0.52,0.55,178129.0
2021-09-29,0.53,0.53,0.53,0.53,6300.0
2021-09-30,0.52,0.52,0.51,0.51,17373.0
2021-10-01,0.57,0.57,0.505,0.54,7713.0
2021-10-04,0.505,0.5496,0.4903,0.4999,98772.0
2021-10-05,0.5199,0.5199,0.5199,0.5199,315.0
2021-10-06,0.5075,0.518,0.5075,0.518,7166.0
2021-10-07,0.5199,0.5199,0.5199,0.5199,371.0
2021-10-08,0.518,0.518,0.518,0.518,179.0
2021-10-11,0.5001,0.5001,0.4951,0.5,31586.0
2021-10-12,0.508,0.508,0.508,0.508,1019.0
