date,open,high,low,close,volume
2019-06-26,20.0,20.18,20.0,20.16,1759094.0
2019-06-27,20.15,20.15,20.01,20.02,721415.0
2019-06-28,20.08,20.99,20.04,20.799,471073.0
2019-07-01,20.8,21.95,20.8,21.77,471996.0
2019-07-02,22.08,22.24,21.46,21.75,367254.0
2019-07-03,21.83,21.83,21.355,21.7,180237.0
2019-07-05,21.97,23.11,21.9,22.04,350800.0
2019-07-08,22.11,22.11,20.51,21.7,355833.0
2019-07-09,21.83,22.84,21.65,22.45,293440.0
2019-07-10,22.42,22.75,21.95,22.02,300636.0
2019-07-11,22.25,22.4,22.02,22.15,176430.0
2019-07-12,22.34,22.75,22.34,22.63,236835.0
2019-07-15,22.47,22.75,22.41,22.75,246990.0
2019-07-16,22.75,22.75,22.3301,22.55,208222.0
2019-07-17,22.75,22.75,22.1,22.11,154452.0
2019-07-18,22.2,22.42,21.5,21.82,142627.0
2019-07-19,22.18,22.5,22.08,22.315,242250.0
2019-07-22,22.75,22.8,21.85,22.29,165591.0
2019-07-23,22.4,22.482,22.12,22.4,113525.0
2019-07-24,22.4,22.4,21.81,22.3,112950.0
2019-07-25,22.25,22.4,22.07,22.33,110475.0
2019-07-26,22.35,22.39,22.0,22.07,76402.0
2019-07-29,22.02,22.5,21.92,22.5,127689.0
2019-07-30,22.4,22.4,22.02,22.25,100906.0
2019-07-31,22.4,22.46,21.74,21.74,206970.0
2019-08-01,22.0,22.13,21.735,22.07,114991.0
2019-08-02,21.0,21.01,20.5,20.9,411508.0
2019-08-05,20.7,20.7,20.0,20.08,353475.0
2019-08-06,20.5,20.88,20.27,20.75,266045.0
2019-08-07,20.74,20.963,20.3,20.68,203619.0
2019-08-08,20.79,21.49,20.6,21.2,182730.0
2019-08-09,21.45,21.729,21.06,21.55,122439.0
2019-08-12,21.21,21.5,20.75,20.96,129948.0
2019-08-13,20.96,21.5,20.96,21.27,156631.0
2019-08-14,21.0,21.19,19.9,20.836,307807.0
2019-08-15,20.62,20.78,20.32,20.32,181585.0
2019-08-16,20.69,20.77,20.409,20.48,137983.0
2019-08-19,20.66,20.98,20.58,20.94,125302.0
2019-08-20,20.93,21.19,20.74,20.892,134346.0
2019-08-21,21.2,21.2,20.886,21.05,120535.0
2019-08-22,21.14,21.14,20.76,20.99,125166.0
2019-08-23,21.09,21.2,20.43,20.5,171671.0
2019-08-26,20.71,21.0,20.47,20.85,155931.0
2019-08-27,21.0,21.0,20.49,20.49,161919.0
2019-08-28,20.59,20.88,20.35,20.35,152513.0
2019-08-29,20.56,21.0,20.48,20.858,149171.0
2019-08-30,21.1,21.13,20.51,20.76,118218.0
2019-09-03,20.6,20.88,20.28,20.57,147317.0
2019-09-04,20.96,20.96,20.51,20.6,112237.0
2019-09-05,20.67,20.82,20.6,20.6,168001.0
2019-09-06,20.61,21.0,20.6,20.91,107283.0
2019-09-09,21.09,21.2,20.75,20.83,154092.0
2019-09-10,21.01,21.1,20.77,20.97,110583.0
2019-09-11,20.95,21.08,20.78,20.884,144477.0
2019-09-12,21.0,21.25,20.85,21.17,147062.0
2019-09-13,21.01,21.197,20.65,20.83,99026.0
2019-09-16,20.65,20.998,20.65,20.897,75626.0
2019-09-17,20.8,21.0,20.7,20.75,116672.0
2019-09-18,20.61,20.74,20.5,20.62,78269.0
2019-09-19,20.67,20.94,20.52,20.85,94090.0
2019-09-20,20.81,20.972,20.604,20.82,70063.0
2019-09-23,20.8,21.0,20.6,20.86,73440.0
2019-09-24,21.0,21.0,20.6,20.77,120311.0
2019-09-25,20.8,21.0,20.51,20.55,191572.0
2019-09-26,20.64,20.68,20.22,20.33,124374.0
2019-09-27,20.5,20.75,20.261,20.65,111613.0
2019-09-30,20.8,20.84,20.61,20.71,135553.0
2019-10-01,20.85,20.94,20.51,20.63,158450.0
2019-10-02,20.7,20.82,20.1,20.25,133348.0
2019-10-03,20.32,20.515,20.165,20.21,128912.0
2019-10-04,20.3,20.394,20.2,20.36,59566.0
2019-10-07,20.39,20.4,20.21,20.27,77289.0
2019-10-08,20.27,20.329,20.065,20.15,143072.0
2019-10-09,20.16,20.27,19.91,20.02,194990.0
2019-10-10,20.14,20.14,19.95,19.99,165980.0
2019-10-11,20.05,20.203,19.6,19.76,518536.0
2019-10-14,19.89,20.08,19.797,19.975,142688.0
2019-10-15,19.99,20.108,19.98,20.02,178594.0
2019-10-16,19.96,20.02,19.81,19.92,173418.0
2019-10-17,19.95,19.99,19.7,19.95,168832.0
2019-10-18,19.82,19.94,19.76,19.83,103457.0
2019-10-21,19.85,19.85,19.61,19.62,189352.0
2019-10-22,19.65,19.74,19.62,19.68,153740.0
2019-10-23,19.7,20.0,19.61,20.0,100450.0
2019-10-24,20.02,20.101,19.79,19.88,85340.0
2019-10-25,19.81,19.98,19.73,19.73,108628.0
