date,open,high,low,close,volume
2018-03-08,11.02,11.94,10.67,11.03,1910550.0
2018-03-09,11.1,11.43,11.0,11.0,275778.0
2018-03-12,11.03,11.03,10.31,10.43,259535.0
2018-03-13,10.25,10.6,10.14,10.31,133705.0
2018-03-14,10.33,10.47,10.33,10.47,44826.0
2018-03-15,10.47,10.87,10.47,10.85,64335.0
2018-03-16,10.84,11.123,10.5,10.87,102282.0
2018-03-19,10.9,10.9,10.25,10.25,88018.0
2018-03-20,10.25,10.452,10.25,10.25,26997.0
2018-03-21,10.27,10.83,10.27,10.41,28333.0
2018-03-22,10.33,10.35,10.25,10.25,20415.0
2018-03-23,10.26,10.39,10.25,10.31,22953.0
2018-03-26,10.4,10.5,10.26,10.46,8010.0
2018-03-27,10.45,10.45,8.66,9.99,65928.0
2018-03-28,9.82,10.25,9.75,9.83,16071.0
2018-03-29,10.0,10.25,10.0,10.24,24681.0
2018-04-02,10.5,11.06,10.5,10.84,103452.0
2018-04-03,11.2,11.2,10.5,10.59,104979.0
2018-04-04,10.5,10.89,10.5,10.5,83553.0
2018-04-05,10.59,11.105,10.5,11.06,131546.0
2018-04-06,10.96,11.149,10.5,11.05,45917.0
2018-04-09,10.915,11.0,10.011,10.17,75625.0
2018-04-10,10.31,10.8,9.29,9.79,88930.0
2018-04-11,9.36,9.86,8.92,8.94,43568.0
2018-04-12,8.9,9.515,8.72,8.94,33754.0
2018-04-13,8.95,9.465,8.95,9.23,12450.0
2018-04-16,9.28,9.475,8.92,9.26,21694.0
2018-04-17,8.99,9.41,8.95,8.95,82552.0
2018-04-18,8.95,9.025,8.7,8.82,15519.0
2018-04-19,8.92,8.93,8.77,8.86,23398.0
2018-04-20,9.16,10.224,9.038,9.28,10890.0
2018-04-23,9.06,9.149,8.95,9.04,10041.0
2018-04-24,8.86,8.86,6.76,7.54,74776.0
2018-04-25,7.61,8.049,7.45,7.63,19321.0
2018-04-26,8.0,8.0,7.5,7.75,27615.0
2018-04-27,7.75,7.875,7.5,7.5,13987.0
2018-04-30,7.51,7.61,7.43,7.6,22108.0
2018-05-01,7.5,7.561,7.45,7.47,18686.0
2018-05-02,7.52,7.82,7.02,7.02,16678.0
