date,open,high,low,close,volume
2020-03-31,18.0,23.75,18.0,23.39,2869.0
2020-04-01,22.99,22.99,14.5,14.5,8611.0
2020-04-02,12.03,15.6,11.55,15.2,4775.0
2020-04-03,13.05,14.8,13.05,14.8,972.0
2020-04-06,14.05,14.52,12.12,14.19,3926.0
2020-04-07,12.24,12.24,11.35,11.79,5711.0
2020-04-08,11.67,12.8,11.0,12.8,9339.0
2020-04-09,12.4,12.66,12.35,12.66,4252.0
2020-04-13,12.91,12.91,12.91,12.91,255.0
2020-04-14,13.0,14.3,13.0,14.22,2653.0
2020-04-15,12.1,12.37,12.1,12.37,3198.0
2020-04-16,11.72,12.6,11.72,12.6,4757.0
2020-04-17,13.0,13.03,12.36,12.75,5813.0
2020-04-20,12.61,12.9,12.4,12.9,6010.0
2020-04-21,12.6,12.95,12.54,12.83,10191.0
2020-04-22,12.67,12.79,12.5,12.55,9060.0
2020-04-23,12.56,12.63,12.0,12.42,18155.0
2020-04-24,12.5,12.5,11.56,12.0,23039.0
2020-04-27,11.69,11.99,11.59,11.89,27164.0
2020-04-28,11.99,12.0,11.8,11.92,36813.0
2020-04-29,11.59,12.0,11.56,11.9,23781.0
2020-04-30,11.9,11.9,11.65,11.9,20233.0
2020-05-01,11.86,11.88,11.42,11.6,11823.0
2020-05-04,12.0,12.0,11.69,11.81,11071.0
2020-05-05,11.76,11.78,11.08,11.08,10832.0
2020-05-06,10.95,10.95,10.1,10.69,16551.0
2020-05-07,11.05,13.03,10.95,11.08,11029.0
2020-05-08,11.15,11.43,10.32,10.62,18939.0
2020-05-11,10.91,11.34,10.14,10.36,13835.0
2020-05-12,9.9,10.71,9.9,10.35,21267.0
2020-05-13,10.6,10.6,9.24,9.24,22039.0
2020-05-14,9.4,10.09,9.3,9.31,4749.0
2020-05-15,9.4,9.8,9.23,9.45,5992.0
2020-05-18,9.33,9.5,8.94,9.12,11446.0
2020-05-19,9.32,9.59,9.27,9.56,21809.0
2020-05-20,9.42,9.6,9.06,9.6,21758.0
2020-05-21,9.63,9.98,9.54,9.86,13123.0
2020-05-22,9.76,10.59,9.76,10.36,16124.0
2020-05-26,10.37,10.45,10.12,10.43,18339.0
2020-05-27,10.32,10.32,10.17,10.25,14175.0
2020-05-28,10.27,10.53,10.17,10.42,22535.0
2020-05-29,10.41,11.01,10.16,10.72,36974.0
2020-06-01,10.66,10.7,10.3,10.46,25499.0
2020-06-02,10.54,10.79,10.45,10.45,38864.0
2020-06-03,10.5,10.63,10.36,10.62,29057.0
2020-06-04,10.55,11.0,10.55,10.97,15963.0
2020-06-05,10.91,11.24,10.74,10.99,31296.0
2020-06-08,10.88,11.12,10.75,10.9,24995.0
2020-06-09,10.89,11.0,10.66,10.7,23177.0
2020-06-10,10.84,11.03,10.69,10.86,23602.0
2020-06-11,10.9,11.32,10.44,10.47,84357.0
2020-06-12,10.78,11.29,10.67,11.06,25662.0
2020-06-15,11.17,11.2,10.7,10.87,35859.0
2020-06-16,10.87,11.57,10.75,11.17,29550.0
2020-06-17,11.04,11.91,11.04,11.28,42872.0
2020-06-18,11.1,12.49,11.1,11.4,25183.0
2020-06-19,11.4,12.2,11.4,12.17,48978.0
2020-06-22,12.19,12.75,12.19,12.58,63931.0
2020-06-23,12.56,12.74,12.2,12.6,40076.0
2020-06-24,12.55,12.58,12.1,12.54,41427.0
2020-06-25,12.2,12.38,11.88,12.03,41388.0
2020-06-26,12.15,12.43,11.9,12.09,50364.0
2020-06-29,12.18,12.18,11.68,12.05,83182.0
2020-06-30,12.04,12.12,11.96,12.07,35663.0
2020-07-01,12.15,12.15,12.0,12.01,29806.0
2020-07-02,12.03,12.37,11.91,12.09,18293.0
2020-07-06,12.04,12.07,11.92,11.97,15751.0
2020-07-07,11.99,12.08,11.78,11.82,26719.0
2020-07-08,12.0,12.19,11.88,12.03,23128.0
2020-07-09,12.03,12.03,11.7,11.85,48956.0
2020-07-10,11.9,11.96,11.72,11.93,44922.0
2020-07-13,12.0,12.0,11.7,11.83,22680.0
2020-07-14,11.83,12.03,11.71,12.0,40127.0
2020-07-15,12.01,12.3,11.91,12.17,74215.0
2020-07-16,12.1,12.15,11.58,11.58,11828.0
2020-07-17,11.72,11.88,11.61,11.7,24003.0
2020-07-20,11.76,11.78,11.56,11.64,21209.0
2020-07-21,11.77,11.86,11.56,11.67,21091.0
2020-07-22,11.74,11.84,11.6,11.7,18133.0
2020-07-23,11.73,11.77,11.51,11.55,8255.0
2020-07-24,11.6,11.69,11.5,11.6,26555.0
2020-07-27,11.53,11.54,11.38,11.45,11677.0
2020-07-28,11.42,11.4297,11.01,11.25,5311.0
2020-07-29,11.2,11.455,11.09,11.45,40143.0
2020-07-30,11.41,11.46,11.15,11.35,24794.0
2020-07-31,11.7,11.7285,11.55,11.71,36979.0
2020-08-03,11.66,11.7111,10.91,11.35,28226.0
2020-08-04,11.43,11.57,11.23,11.37,40680.0
2020-08-05,11.45,11.61,11.2033,11.44,17705.0
2020-08-06,11.46,11.49,11.02,11.36,17487.0
2020-08-07,11.44,11.62,11.0,11.2,36481.0
2020-08-10,11.34,11.37,10.4,11.1,22280.0
2020-08-11,11.05,11.15,10.87,11.1,8111.0
2020-08-12,11.26,11.26,10.41,10.63,19604.0
2020-08-13,10.46,10.88,10.46,10.53,9028.0
2020-08-14,10.38,10.4294,9.14,10.09,23382.0
2020-08-17,10.09,10.66,10.0,10.22,96368.0
2020-08-18,10.3,11.0,10.14,10.17,40739.0
2020-08-19,10.53,10.53,9.61,9.61,30748.0
2020-08-20,10.1,10.15,9.48,9.74,30433.0
2020-08-21,9.56,9.79,8.775,9.08,42670.0
2020-08-24,9.26,9.26,8.1,8.12,57934.0
2020-08-25,8.38,9.19,8.0,8.6,22072.0
2020-08-26,9.0,9.0,8.42,8.51,4722.0
2020-08-27,8.89,9.78,8.56,8.76,6925.0
2020-08-28,9.12,9.12,8.5401,8.78,11111.0
2020-08-31,9.4,9.4,9.4,9.4,664.0
2020-09-01,8.48,8.48,8.13,8.4,17072.0
2020-09-02,8.2,8.4,7.7,7.93,43546.0
2020-09-03,7.7,7.73,7.0,7.0,13089.0
2020-09-04,6.97,7.0,6.83,6.84,7373.0
2020-09-08,6.8,7.11,6.5,7.11,7126.0
2020-09-09,7.44,8.55,7.29,8.29,53022.0
2020-09-10,8.1,8.92,8.03,8.65,32322.0
2020-09-11,8.49,8.7,8.3,8.65,34266.0
2020-09-14,8.4,8.825,8.3,8.41,62748.0
2020-09-15,8.5,8.72,8.41,8.51,41525.0
2020-09-16,8.5,8.77,8.5,8.68,22556.0
2020-09-17,8.59,8.7899,8.32,8.48,30523.0
2020-09-18,8.44,8.93,8.27,8.93,97665.0
2020-09-21,8.89,8.94,8.15,8.49,26432.0
2020-09-22,8.45,8.5,7.15,7.48,120394.0
2020-09-23,7.39,7.57,7.1,7.48,50121.0
2020-09-24,7.22,7.6,6.22,6.42,87552.0
2020-09-25,6.42,6.4201,6.2,6.22,8335.0
2020-09-28,6.53,6.815,5.79,6.22,42432.0
2020-09-29,6.44,6.72,5.95,6.09,33920.0
2020-09-30,6.18,6.2,5.43,5.79,106341.0
2020-10-01,6.2,6.2,5.2,5.5,89496.0
2020-10-02,5.41,5.56,4.66,4.66,64878.0
2020-10-05,4.69,5.1,4.51,4.84,18934.0
2020-10-06,4.84,5.21,4.3,4.55,50701.0
2020-10-07,4.42,4.7894,4.31,4.34,16984.0
2020-10-08,4.32,4.32,3.9,4.02,45694.0
2020-10-09,4.1,4.19,3.83,3.94,43451.0
2020-10-12,4.2,4.49,3.76,3.97,339765.0
2020-10-13,4.18,4.1899,3.8672,4.03,62487.0
2020-10-14,3.96,4.07,3.94,4.07,22155.0
2020-10-15,4.07,4.11,3.9,3.99,14806.0
2020-10-16,4.0435,4.64,3.6694,3.77,609759.0
2020-10-19,3.7,3.8,3.5778,3.64,49111.0
2020-10-20,3.64,3.67,3.54,3.6,41137.0
2020-10-21,3.5689,3.5689,3.3,3.4,36822.0
2020-10-22,3.51,3.65,3.35,3.57,66929.0
2020-10-23,3.6,3.65,3.4,3.45,23265.0
2020-10-26,3.44,3.44,3.27,3.32,27271.0
2020-10-27,3.23,3.24,3.0,3.05,44141.0
2020-10-28,3.05,3.1,2.87,2.9,38230.0
2020-10-29,2.9,2.91,2.7279,2.85,33568.0
2020-10-30,2.99,2.99,2.8001,2.87,9496.0
2020-11-02,2.87,3.0,2.65,2.65,33876.0
2020-11-03,2.7,2.7,2.48,2.5,42859.0
2020-11-04,2.51,2.6427,2.39,2.4,61276.0
2020-11-05,2.4,2.58,2.4,2.43,52544.0
2020-11-06,2.45,2.67,2.45,2.64,36448.0
2020-11-09,2.7,3.11,2.7,2.92,84579.0
2020-11-10,3.0,3.01,2.8001,2.9,30295.0
2020-11-11,2.92,3.09,2.9,2.905,31783.0
2020-11-12,2.93,3.16,2.93,3.16,93467.0
2020-11-13,3.19,3.425,3.1186,3.27,55137.0
2020-11-16,3.3,3.41,3.3,3.39,45306.0
2020-11-17,3.37,3.38,3.2376,3.3,37419.0
2020-11-18,3.3,3.33,3.1001,3.21,40089.0
2020-11-19,3.27,3.27,3.1,3.16,33774.0
2020-11-20,3.14,3.3,3.1297,3.19,23303.0
2020-11-23,3.18,3.18,2.96,3.05,45200.0
2020-11-24,2.98,3.0,2.91,2.95,53879.0
2020-11-25,2.92,3.0727,2.83,3.05,39973.0
2020-11-27,3.1,3.1,2.93,3.01,29511.0
2020-11-30,2.96,3.0,2.8,2.89,51954.0
2020-12-01,2.89,2.9,2.63,2.84,52178.0
2020-12-02,2.84,2.84,2.68,2.81,16507.0
2020-12-03,2.94,3.9199,2.8,3.35,314788.0
2020-12-04,3.35,3.35,2.86,2.99,166862.0
2020-12-07,3.05,3.1,2.9,2.93,51645.0
2020-12-08,2.25,2.5,2.17,2.4,1047121.0
2020-12-09,2.39,2.45,2.34,2.37,201395.0
2020-12-10,2.24,2.3799,2.21,2.26,287364.0
2020-12-11,2.33,2.39,2.25,2.28,295090.0
