date,open,high,low,close,volume
2006-04-03,17.26,17.43,17.2,17.25,87000.0
2006-04-04,17.2,17.45,17.08,17.16,90200.0
2006-04-05,17.24,17.32,17.15,17.25,155000.0
2006-04-06,17.49,17.55,17.3,17.45,129400.0
2006-04-07,17.45,17.45,17.17,17.43,132700.0
2006-04-10,17.64,17.9,17.6,17.77,152000.0
2006-04-11,17.85,18.0,17.8,17.84,150100.0
2006-04-12,17.78,17.87,17.75,17.8,193500.0
2006-04-13,17.81,17.81,17.65,17.74,102800.0
2006-04-17,17.75,17.87,17.75,17.82,211800.0
2006-04-18,18.03,18.23,17.94,18.18,266200.0
2006-04-19,18.12,18.55,18.12,18.48,284800.0
2006-04-20,18.68,18.85,18.09,18.1,290900.0
2006-04-21,18.25,18.59,18.1,18.55,147200.0
2006-04-24,18.57,18.78,18.32,18.74,182800.0
2006-04-25,18.8,19.1,18.77,18.92,164300.0
2006-04-26,18.9,19.07,18.75,18.76,138200.0
2006-04-27,18.71,18.86,18.35,18.65,121400.0
2006-04-28,18.68,18.95,18.68,18.9,111300.0
2006-05-01,19.02,19.32,19.0,19.3,155500.0
2006-05-02,19.36,19.6,19.35,19.46,157500.0
2006-05-03,19.58,19.6,19.3,19.42,114600.0
2006-05-04,19.27,19.369,19.1,19.25,96600.0
2006-05-05,19.35,19.73,19.3,19.73,94500.0
2006-05-08,19.68,20.15,19.52,20.08,93900.0
2006-05-09,20.3,20.8499,20.3,20.8,154900.0
2006-05-10,20.9,21.48,20.8,21.32,168700.0
2006-05-11,21.57,21.91,21.52,21.75,131500.0
2006-05-12,21.85,21.85,20.77,20.93,248100.0
2006-05-15,20.45,20.5564,20.01,20.21,172200.0
2006-05-16,20.39,20.949,20.28,20.77,133400.0
2006-05-17,20.68,20.93,20.05,20.25,114800.0
2006-05-18,20.3,20.4,20.18,20.25,91900.0
2006-05-19,20.19,20.34,19.13,20.12,200000.0
2006-05-22,19.9,20.2,19.35,20.2,96100.0
2006-05-23,20.3,21.42,20.3,21.01,108100.0
2006-05-24,20.65,20.9,20.46,20.6,105400.0
2006-05-25,20.65,21.77,20.65,21.43,111700.0
2006-05-26,21.48,21.54,21.11,21.33,133600.0
2006-05-30,21.5,21.7,21.31,21.512,82300.0
2006-05-31,21.6,21.9,21.5,21.723,123200.0
2006-06-01,21.5,21.88,21.35,21.8,56600.0
2006-06-02,21.8,22.5,21.8,22.3,124800.0
2006-06-05,22.48,22.97,22.4,22.46,143200.0
2006-06-06,22.21,22.29,21.8924,22.26,133400.0
2006-06-07,22.35,22.35,21.59,21.6,116900.0
2006-06-08,21.2,21.2,19.47,20.75,281900.0
2006-06-09,21.31,21.9,20.68,21.67,104100.0
2006-06-12,21.96,22.09,21.24,21.3,199200.0
2006-06-13,20.7,20.85,19.51,19.55,235900.0
2006-06-14,19.55,20.22,19.55,20.05,135200.0
2006-06-15,20.1,21.12,20.1,20.98,143400.0
2006-06-16,20.96,20.96,20.49,20.55,63400.0
2006-06-19,20.55,20.55,19.87,20.0,53000.0
2006-06-20,20.1,20.35,20.01,20.02,74400.0
2006-06-21,20.02,20.39,20.0,20.13,79900.0
2006-06-22,20.0,20.05,19.85,19.94,53800.0
2006-06-23,20.0,20.0,19.74,19.87,126100.0
2006-06-26,19.99,20.04,19.65,19.97,73900.0
2006-06-27,20.03,20.45,20.03,20.13,105000.0
2006-06-28,20.21,20.53,20.16,20.42,68700.0
2006-06-29,20.6,21.5,20.6,21.5,108500.0
2006-06-30,21.48,21.97,21.45,21.7,86500.0
2006-07-03,21.79,21.98,21.79,21.87,20700.0
2006-07-05,21.8,21.8,21.34,21.46,61200.0
2006-07-06,21.58,21.58,21.17,21.5,37800.0
2006-07-07,21.62,21.66,21.16,21.16,43800.0
2006-07-10,20.91,21.06,20.52,20.6,55500.0
2006-07-11,20.45,20.954,20.45,20.9,52700.0
2006-07-12,20.98,21.3,20.92,21.05,43800.0
2006-07-13,21.3,21.49,21.21,21.41,66500.0
2006-07-14,21.66,21.94,21.66,21.83,69200.0
2006-07-17,21.64,21.76,21.43,21.43,77900.0
2006-07-18,21.59,21.73,21.22,21.41,98100.0
2006-07-19,21.36,21.73,21.16,21.33,59700.0
2006-07-20,21.39,21.42,21.0,21.1,55000.0
2006-07-21,21.01,21.04,20.56,20.65,86700.0
2006-07-24,20.58,21.05,20.48,21.05,83300.0
2006-07-25,21.08,21.6999,21.08,21.69,110200.0
2006-07-26,21.74,21.95,21.6,21.74,94000.0
2006-07-27,21.81,21.92,21.37,21.37,43500.0
2006-07-28,21.53,21.7399,21.33,21.53,47500.0
2006-07-31,21.64,22.31,21.45,22.18,115100.0
2006-08-01,21.96,22.9,21.8,22.7878,171300.0
2006-08-02,23.02,23.65,22.92,22.96,116900.0
2006-08-03,22.81,22.81,22.2706,22.67,79100.0
2006-08-04,22.61,22.75,22.27,22.41,84900.0
2006-08-07,22.5,22.84,22.36,22.8299,82600.0
2006-08-08,22.8,23.0,22.8,22.95,129400.0
2006-08-09,23.0,23.1499,22.85,23.0,137800.0
2006-08-10,22.25,22.89,22.25,22.56,96300.0
2006-08-11,22.6,23.0,22.52,23.0,90000.0
2006-08-14,23.0,23.0,22.83,22.9499,77900.0
2006-08-15,23.0,23.5,22.9999,23.35,216700.0
2006-08-16,23.55,23.9,23.47,23.69,148300.0
2006-08-17,23.57,23.57,22.8,22.93,122500.0
2006-08-18,23.09,23.53,22.95,23.21,154000.0
2006-08-21,23.45,23.94,23.45,23.94,129600.0
2006-08-22,23.94,24.15,23.87,24.11,134000.0
2006-08-23,24.3,24.59,23.7501,24.25,109600.0
2006-08-24,24.35,24.97,24.24,24.89,130600.0
2006-08-25,25.0,25.87,25.0,25.2,188900.0
2006-08-28,25.06,25.12,24.64,24.73,168700.0
2006-08-29,24.73,24.73,24.14,24.34,149200.0
2006-08-30,24.48,24.48,23.52,23.95,154600.0
2006-08-31,23.95,24.39,23.81,24.24,82000.0
2006-09-01,24.33,24.67,24.2,24.52,92200.0
2006-09-05,24.0,24.24,23.52,23.56,153600.0
2006-09-06,23.27,23.27,22.45,22.85,256700.0
2006-09-07,22.52,22.53,21.6,22.1,264500.0
2006-09-08,21.98,22.16,21.49,21.53,192400.0
2006-09-11,21.16,21.16,20.3,20.58,338700.0
2006-09-12,20.55,21.3,20.2,20.28,273300.0
2006-09-13,20.6,21.52,20.54,21.4,231700.0
2006-09-14,21.66,21.8199,20.64,20.87,232900.0
2006-09-15,20.9,20.9,20.4,20.6,134600.0
2006-09-18,20.61,21.3,20.61,21.3,146800.0
2006-09-19,21.5,21.5,20.5,20.57,172400.0
2006-09-20,20.4,20.56,19.35,19.69,313200.0
2006-09-21,19.69,20.35,19.62,20.32,283600.0
2006-09-22,20.35,20.53,19.96,20.04,131200.0
2006-09-25,20.06,20.23,19.26,20.23,252000.0
2006-09-26,19.98,20.27,19.9,19.99,217700.0
2006-09-27,20.35,20.41,19.82,20.27,134800.0
2006-09-28,20.39,20.95,20.29,20.77,160600.0
2006-09-29,20.59,20.95,20.35,20.91,74800.0
2006-10-02,20.81,20.9,20.0,20.25,99300.0
