date,open,high,low,close,volume
2008-06-24,1.44,1.44,1.44,1.44,0.0
2008-06-25,1.44,1.44,1.44,1.44,0.0
2008-06-26,1.177,1.177,1.177,1.177,1000.0
2008-06-27,1.18,1.18,1.18,1.18,0.0
2008-06-30,1.18,1.18,1.18,1.18,0.0
2008-07-01,1.18,1.18,1.18,1.18,0.0
2008-07-02,0.9915,0.9915,0.9915,0.9915,19000.0
2008-07-03,0.99,0.99,0.99,0.99,0.0
2008-07-07,0.9985,0.9985,0.9985,0.9985,1100.0
2008-07-08,0.9735,0.9735,0.9735,0.9735,1000.0
2008-07-09,0.97,0.97,0.97,0.97,0.0
2008-07-10,0.97,0.97,0.94,0.97,3900.0
2008-07-11,0.97,0.97,0.97,0.97,0.0
2008-07-14,0.94,0.94,0.9,0.94,3800.0
2008-07-15,0.9335,0.9335,0.9335,0.9335,1000.0
2008-07-16,0.93,0.93,0.93,0.93,0.0
2008-07-17,0.93,0.93,0.93,0.93,0.0
2008-07-18,0.7605,0.7605,0.7605,0.7605,2000.0
2008-07-21,0.7715,0.7715,0.7715,0.7715,5000.0
2008-07-22,0.7397,0.7397,0.7397,0.7397,5000.0
2008-07-23,0.71,0.71,0.698,0.71,1300.0
2008-07-24,0.716,0.716,0.716,0.716,4000.0
2008-07-25,0.72,0.72,0.72,0.72,0.0
2008-07-28,0.7185,0.7185,0.7185,0.7185,1000.0
2008-07-29,0.72,0.72,0.72,0.72,0.0
2008-07-30,0.7869,0.7869,0.7869,0.7869,1000.0
2008-07-31,0.79,0.79,0.79,0.79,0.0
2008-08-01,0.79,0.79,0.79,0.79,0.0
2008-08-04,0.79,0.79,0.79,0.79,0.0
2008-08-05,0.7428,0.7428,0.7428,0.7428,4000.0
2008-08-06,0.71,0.71,0.71,0.71,500.0
2008-08-07,0.71,0.71,0.71,0.71,0.0
2008-08-08,0.62,0.6212,0.6119,0.6212,6000.0
2008-08-11,0.658,0.658,0.658,0.658,3000.0
2008-08-12,0.5226,0.5226,0.5226,0.5226,8000.0
2008-08-13,0.5291,0.5291,0.5291,0.5291,4000.0
2008-08-14,0.53,0.53,0.53,0.53,0.0
2008-08-15,0.5,0.5035,0.4946,0.5035,4500.0
2008-08-18,0.5235,0.5235,0.5235,0.5235,2000.0
2008-08-19,0.52,0.52,0.52,0.52,0.0
2008-08-20,0.52,0.52,0.52,0.52,0.0
2008-08-21,0.52,0.52,0.52,0.52,0.0
2008-08-22,0.52,0.52,0.52,0.52,0.0
2008-08-25,0.52,0.52,0.52,0.52,0.0
2008-08-26,0.52,0.52,0.52,0.52,0.0
2008-08-27,0.52,0.52,0.52,0.52,0.0
2008-08-28,0.52,0.52,0.52,0.52,0.0
2008-08-29,0.52,0.52,0.52,0.52,0.0
2008-09-02,0.52,0.52,0.52,0.52,0.0
2008-09-03,0.52,0.52,0.52,0.52,0.0
2008-09-04,0.52,0.52,0.52,0.52,0.0
2008-09-05,0.52,0.52,0.52,0.52,0.0
2008-09-08,0.52,0.52,0.52,0.52,0.0
2008-09-09,0.52,0.52,0.52,0.52,0.0
2008-09-10,0.53,0.5553,0.5286,0.5286,8000.0
2008-09-11,0.53,0.53,0.53,0.53,0.0
2008-09-12,0.53,0.53,0.53,0.53,0.0
2008-09-15,0.55,0.5668,0.5473,0.5473,7500.0
2008-09-16,0.51,0.5459,0.5078,0.5078,4500.0
2008-09-17,0.51,0.51,0.5,0.51,6200.0
2008-09-18,0.48,0.51,0.48,0.48,15000.0
2008-09-19,0.47,0.49,0.47,0.47,10500.0
2008-09-22,0.47,0.47,0.47,0.47,0.0
2008-09-23,0.47,0.47,0.47,0.47,0.0
2008-09-24,0.47,0.47,0.47,0.47,0.0
2008-09-25,0.47,0.47,0.47,0.47,0.0
2008-09-26,0.47,0.47,0.47,0.47,0.0
2008-09-29,0.49,0.5098,0.4874,0.4874,15000.0
2008-09-30,0.49,0.49,0.49,0.49,0.0
2008-10-01,0.49,0.49,0.49,0.49,0.0
2008-10-02,0.49,0.49,0.49,0.49,0.0
2008-10-03,0.49,0.49,0.49,0.49,0.0
2008-10-06,0.4283,0.4283,0.4283,0.4283,2000.0
2008-10-07,0.43,0.43,0.43,0.43,0.0
2008-10-08,0.4068,0.4068,0.4068,0.4068,2500.0
